鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新莊區,房地(土地+建物),新北市新莊區中正路436號1樓,180.0,住,,,1051101,土地1建物2車位0,見其他登記事項,2,廠辦,商業用,加強磚造,0570203,343.23,0,0,0,無,無,有,50000,146,,0.0,0,,RPTNMLLJJILFFBF77CC
新莊區,房地(土地+建物),新北市新莊區中正路350號,138.31,住,,,1051011,土地1建物4車位0,見其他登記事項,4,店面(店鋪),商業用,加強磚造,0640507,376.72,0,0,0,無,無,無,66000,175,,0.0,0,,RPTQMLLJJILFFBF08CC
林口區,建物,新北市林口區仁愛路二段522號15樓之3,19.13,商,,,1050929,土地0建物1車位1,十五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970729,187.04,3,2,2,有,有,有,19500,104,坡道平面,39.18,0,,RPTRMLLJJILFFBF18CC
汐止區,房地(土地+建物),新北市汐止區新台五路一段181號18樓,0.0,商,,,1051031,土地1建物1車位0,十八層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890523,93.82,2,2,1,有,有,有,19000,203,,0.0,0,,RPQNMLLJJILFFDF67CC
淡水區,建物,新北市淡水區鄧公路３０巷２弄１號四樓,0.0,住,,,1051004,土地0建物1車位1,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780619,163.85,5,2,3,有,有,無,16500,101,坡道平面,0.0,0,租四層+五層+夾層,RPVOMLLJJILFFEF38CC
淡水區,房地(土地+建物),新北市淡水區中正東路二段87之5號十六樓,2.86,住,,,1051031,土地1建物1車位0,十六層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0880704,44.75,1,1,1,有,有,有,15000,335,,0.0,0,,RPXOMLLJJILFFEF58CC
新店區,房地(土地+建物)+車位,新北市新店區禾豐六路20號,181.75,住,,,1051030,土地1建物1車位1,一層,2,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850203,120.86,4,2,3,有,有,無,43000,356,其他,35.87,0,,RPUNMLLJJILFFCF08DC
土城區,房地(土地+建物),新北市土城區延吉街137巷5號四樓,26.05,住,,,1050929,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691002,78.4,3,1,1,有,無,無,8000,102,,0.0,0,,RPROMLLJJILFFAF77EC
永和區,建物,新北市永和區環河西路一段77號23樓,0.0,住,,,1051020,土地0建物1車位0,二十三層,27,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0990722,175.06,3,2,2,有,有,有,34000,194,,0.0,0,,RPTPMLMJJILFFHF88EC
