編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTRMLLJJILFFBF18CC,8,100.47,住家用,鋼筋混凝土造,97年7月29日,十九層,
RPTRMLLJJILFFBF18CC,8,4.78,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPTNMLLJJILFFBF77CC,49,172.23,商業用,加強磚造,57年2月3日,二層,
RPTRMLLJJILFFBF18CC,8,1.86,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPTNMLLJJILFFBF77CC,49,171.00,商業用,加強磚造,57年2月3日,二層,
RPTRMLLJJILFFBF18CC,8,7.31,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPTRMLLJJILFFBF18CC,8,29.39,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPTRMLLJJILFFBF18CC,8,4.05,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPTRMLLJJILFFBF18CC,8,39.18,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPUNMLLJJILFFCF08DC,21,120.86,住家用,鋼筋混凝土造,85年2月3日,二層,
RPTQMLLJJILFFBF08CC,41,94.18,商業用,加強磚造,64年5月7日,四層,
RPTQMLLJJILFFBF08CC,41,94.18,住家用,加強磚造,64年5月7日,四層,
RPTQMLLJJILFFBF08CC,41,94.18,住家用,加強磚造,64年5月7日,四層,
RPTQMLLJJILFFBF08CC,41,94.18,住家用,加強磚造,64年5月7日,四層,
RPQNMLLJJILFFDF67CC,16,93.82,住家用,鋼筋混凝土造,89年5月23日,二十八層,
RPROMLLJJILFFAF77EC,36,78.40,住家用,鋼筋混凝土造,69年10月2日,四層,
RPTPMLMJJILFFHF88EC,6,113.26,集合住宅,鋼筋混凝土構造,99年7月22日,二十七層,
RPTPMLMJJILFFHF88EC,6,17.12,本共有部分之項目有Ｂ梯排煙室、特別安全梯、緊急昇降梯等３項。,鋼筋混凝土構造,99年7月22日,二十七層,
RPTPMLMJJILFFHF88EC,6,10.65,本共有部分之項目有水箱、消防幫浦室、陽台、騎樓、門廳、Ａ梯、Ｂ梯、門廳〈二〉、Ｃ梯、上部投影、車道、防空避難室兼停車空間、屋頂突出物〈一〉（Ａ梯、Ｂ梯、Ｃ梯、緊急昇降梯、特別安全梯）、屋頂突出物（二）（Ａ梯、Ｂ梯、Ｃ梯、梯間）、屋頂突出物〈三〉（水箱、機械室）等１５項。,鋼筋混凝土構造,99年7月22日,二十七層,
RPTPMLMJJILFFHF88EC,6,34.03,本共有部分之項目有Ａ棟排煙室、Ｂ棟排煙室、Ｃ棟排煙室、台電配電室〈一〉、台電配電室〈二〉、車道、供公眾使用停車空間、停車空間、垃圾收集室、緊急發電機房、電信機房、管理員室、Ａ棟水箱、Ｂ棟水箱、Ｃ棟水箱等１５項。,鋼筋混凝土構造,99年7月22日,二十七層,
RPRPMLMJJILFFIF58CC,9,25.33,店舖、集合住宅,鋼筋混凝土造,97年1月14日,五層,
RPVPMLMJJILFFIF98CC,23,162.21,住家用,鋼筋混凝土造,82年12月24日,七層,
RPWPMLMJJILFFIF09CC,2,33.62,集合住宅,鋼筋混凝土造,103年6月17日,五層,
RPSPMLMJJILFFIF68CC,9,25.33,店舖、集合住宅,鋼筋混凝土造,97年1月14日,五層,
RPUPMLMJJILFFIF88CC,10,150.50,住家用,鋼筋混凝土造,96年2月12日,十五層,
RPSNMLMJJILFFDF97CC,23,105.79,工商用,鋼造,83年3月30日,二十一層,
RPSOMLMJJILFFHF48CC,37,71.53,住家用,鋼筋混凝土造,68年12月14日,四層,
RPSPMLMJJILFFHF58CC,18,157.40,工業用,鋼筋混凝土造,88年2月27日,十八層,
RPSPMLMJJILFFHF58CC,18,157.40,工業用,鋼筋混凝土造,88年2月27日,十八層,
RPSPMLMJJILFFHF58CC,18,46.22,共有部分,鋼筋混凝土造,88年2月27日,十八層,
RPSPMLMJJILFFHF58CC,18,100.02,共有部分,鋼筋混凝土造,88年2月27日,十八層,
RPTPMLMJJILFFHF68CC,18,156.24,工業用,鋼筋混凝土造,88年2月27日,十八層,
RPTPMLMJJILFFHF68CC,18,224.01,工商用,鋼筋混凝土造,88年2月27日,十八層,
RPTPMLMJJILFFHF68CC,18,230.32,工商用,鋼筋混凝土造,88年2月27日,十八層,
RPTPMLMJJILFFHF68CC,18,156.24,工業用,鋼筋混凝土造,88年2月27日,十八層,
RPTPMLMJJILFFHF68CC,18,243.43,共有部分,鋼筋混凝土造,88年2月27日,十八層,
RPTPMLMJJILFFHF68CC,18,111.99,共有部分,鋼筋混凝土造,88年2月27日,十八層,
RPVOMLMJJILFFHF78CC,4,148.49,集合住宅,鋼骨鋼筋混凝土構造,101年10月19日,二十四層,
RPVOMLMJJILFFHF78CC,4,47.07,共有部分；本共有部分項目：游泳池、防災中心、排煙室、梯廳、交誼廳、公共服務空間、宴會廳、入口梯廳、緩衝空間、陽台、特別安全梯、電梯、戶外安全梯、消防機房、消防水箱、電梯機房、機械室、水箱、停車空間兼供眾使用停車空間、游泳池機房、發電機房、台電配電場所、垃圾裝卸位、垃圾儲藏室、電信機房、消防水池、汙水機房、雨水回收池、防空避難室兼停車空間等。,鋼骨鋼筋混凝土構造,101年10月19日,二十四層,
RPVOMLMJJILFFHF78CC,4,16.27,共有部分；本共有部分項目：梯廳、排煙室、陽台等,鋼骨鋼筋混凝土構造,101年10月19日,二十四層,
RPVOMLMJJILFFHF78CC,4,31.09,共有部分；本共有部分項目：車道、停車空間兼供公眾使用停車空間、停車空間、停車位等。,鋼骨鋼筋混凝土構造,101年10月19日,二十四層,
RPUOMLMJJILFFHF68CC,3,79.28,集合住宅,鋼筋混凝土構造,102年10月25日,二十三層,
RPUOMLMJJILFFHF68CC,3,38.12,共有部分,鋼筋混凝土構造,102年10月25日,二十三層,
RPUOMLMJJILFFHF68CC,3,37.15,共有部分,鋼筋混凝土構造,102年10月25日,二十三層,
RPSNMLNJJILFFCF97CC,17,160.73,工業用,鋼筋混凝土造,88年10月4日,八層,
RPSNMLNJJILFFCF97CC,17,12.47,共有部分,鋼筋混凝土造,88年10月4日,八層,
RPSNMLNJJILFFCF97CC,17,56.93,共有部分,鋼筋混凝土造,88年10月4日,八層,
RPTNMLNJJILFFCF08CC,17,153.80,工業用,鋼筋混凝土造,88年10月4日,八層,
RPTNMLNJJILFFCF08CC,17,11.94,共有部分,鋼筋混凝土造,88年10月4日,八層,
RPTNMLNJJILFFCF08CC,17,54.56,共有部分,鋼筋混凝土造,88年10月4日,八層,
RPOOMLNJJILFFCF67CC,35,72.90,住家用,鋼筋混凝土造,70年12月30日,五層,
RPSNMLNJJILFFDF08CC,1,108.85,住家用,鋼筋混凝土造,104年10月19日,十八層,
RPSNMLNJJILFFDF08CC,1,85.04,本共有部分之項目有：管委會使用空間、門廳、梯廳、車道、陽台、雨遮、中繼水箱、停車空間、機房、防空避難室兼停車空間、防災中心、樓梯間、消防水箱、電梯機房、屋頂水箱、鼓風機房、消防泵浦室、電信機房、緊急發電機室、台電配電室等２０項。,鋼筋混凝土造,104年10月19日,十八層,
RPPQMLMJJILFFBF77CC,25,1316.69,工廠、辦公室、倉庫,鋼筋混凝土造,80年6月27日,六層,
RPVOMLLJJILFFEF38CC,27,163.85,住家用,鋼筋混凝土造,78年6月19日,五層,
RPOOMLNJJILFFDF77CC,23,259.80,工業用,鋼筋混凝土造,83年1月15日,十四層,
RPOOMLNJJILFFDF77CC,23,96.96,共有部分,鋼筋混凝土造,83年1月15日,十四層,
RPQPMLMJJILFFAF67CC,6,32.45,住家用,鋼骨構造,99年7月15日,四十層,
RPQPMLMJJILFFAF67CC,6,2.20,本共有部分之項目有：樓梯間、台電配電室、走道、車道、停車空間、電信機房、梯間、管道間、消防泵浦室、消防水箱、機房、機械室、水箱等１３項,鋼骨構造,99年7月15日,四十六層,
RPQPMLMJJILFFAF67CC,6,3.58,本共有部分之項目有：頂蓋型開放空間、電梯、樓梯間、社區服務空間１．２．３、廁所、走廊、機車停車空間、梯廳、排煙室、社區服務空間健身房、梯間、機房、機車車道、高壓電表室、發電機室、機械室、電信機房、停車空間、健身房機械室等１９項,鋼骨構造,99年7月15日,四十六層,
RPQPMLMJJILFFAF67CC,6,12.40,本共有部分之項目有：梯廳、電梯、樓梯間、升降機緩衝機坑、自來水箱、消防水箱、機械室、水箱、排煙室、走廊、梯間、電樓梯間等１２項,鋼骨構造,99年7月15日,四十層,
RPXOMLLJJILFFEF58CC,17,32.76,住家用,鋼骨鋼筋混凝土造,88年7月4日,三十三層,
RPXOMLLJJILFFEF58CC,17,3.00,共有部分,鋼骨鋼筋混凝土造,88年7月4日,二十六層,
RPXOMLLJJILFFEF58CC,17,8.99,共有部分,鋼骨鋼筋混凝土造,88年7月4日,三十三層,
RPWOMLNJJILFFAF28CC,24,102.82,住商用,鋼筋混凝土造,82年2月20日,七層,
RPWOMLNJJILFFAF28CC,24,9.73,共有部分,鋼筋混凝土造,82年2月20日,七層,
RPPOMLMJJILFFEF87CC,8,57.81,一般服務業,鋼筋混凝土造,97年12月23日,二十四層,
RPPOMLMJJILFFEF87CC,8,16.68,共有部分,鋼筋混凝土造,97年12月23日,二十四層,
RPPOMLMJJILFFEF87CC,8,12.41,共有部分,鋼筋混凝土造,97年12月23日,二十四層,
RPTQMLNJJILFFEF58CC,8,41.00,一般服務業,鋼筋混凝土造,97年12月23日,二十四層,
RPTQMLNJJILFFEF58CC,8,13.09,共有部分,鋼筋混凝土造,97年12月23日,二十四層,
RPTQMLNJJILFFEF58CC,8,9.86,共有部分,鋼筋混凝土造,97年12月23日,二十四層,
RPTQMLNJJILFFEF58CC,8,34.83,共有部分,鋼筋混凝土造,97年12月23日,二十四層,
RPUQMLNJJILFFEF68CC,8,33.95,一般服務業,鋼筋混凝土造,97年12月23日,二十四層,
RPUQMLNJJILFFEF68CC,8,9.54,共有部分,鋼筋混凝土造,97年12月23日,二十四層,
RPUQMLNJJILFFEF68CC,8,8.75,共有部分,鋼筋混凝土造,97年12月23日,二十四層,
RPTOMLNJJILFFDF48EC,18,68.80,住家用,鋼筋混凝土造,88年2月3日,三十二層,
RPTOMLNJJILFFDF48EC,18,1.60,共有部分,鋼筋混凝土造,88年2月3日,三十三層,
RPTOMLNJJILFFDF48EC,18,2.23,共有部分,鋼筋混凝土造,88年2月3日,三十三層,
RPTOMLNJJILFFDF48EC,18,18.19,共有部分,鋼筋混凝土造,88年2月3日,三十二層,
RPUOMLNJJILFFDF58EC,18,42.69,停車空間兼防空避難室,鋼筋混凝土造,88年2月3日,三十三層,
RPVOMLNJJILFFDF68EC,18,21.34,停車空間兼防空避難室,鋼筋混凝土造,88年2月3日,三十三層,
RPRQMLOJJILFFEF48CC,8,36.59,住家用,鋼筋混凝土造,97年7月11日,十五層,
RPRQMLOJJILFFEF48CC,8,15.59,共有部分,鋼筋混凝土造,97年7月11日,十五層,
RPWOMLNJJILFFDF78EC,18,42.69,停車空間兼防空避難室,鋼筋混凝土造,88年2月3日,三十三層,
RPUQMLOJJILFFEF78CC,4,103.61,住家用,鋼筋混凝土造,101年11月1日,十四層,
RPUQMLOJJILFFEF78CC,4,20.93,本案共有部分項目有機械室、水箱、蓄水池、電樓梯間、排煙室等５項,鋼筋混凝土造,101年11月1日,十四層,
RPUQMLOJJILFFEF78CC,4,51.84,本案共有部分項目有消防機房、電信機房、發電機房、廣場式頂蓋型開放空間、污水機房、停車空間、台電配電場所、管委會使用空間、通廊、管理員室、防空避難室兼停車空間、機房、垃圾儲存空間、梯廳、門廳、騎樓、排煙室、陽台等１８項,鋼筋混凝土造,101年11月1日,十四層,
RPWNMLOJJILFFIF09CC,9,95.00,住家用,鋼筋混凝土造,97年1月25日,十五層,
RPWOMLOJJILFFHF09CC,18,204.94,工業用,鋼筋混凝土造,88年3月13日,八層,
RPWOMLOJJILFFHF09CC,18,72.90,共有部分,鋼筋混凝土造,88年3月13日,八層,
RPXOMLOJJILFFHF56CC,38,84.44,住家用,鋼筋混凝土造,67年8月18日,四層,
RPXNMLOJJILFFDF68CC,1,108.85,住家用,鋼筋混凝土造,104年10月19日,十八層,
RPXNMLOJJILFFDF68CC,1,80.73,本共有部分之項目有：管委會使用空間、門廳、梯廳、車道、陽台、雨遮、中繼水箱、停車空間、機房、防空避難室兼停車空間、防災中心、樓梯間、消防水箱、電梯機房、屋頂水箱、鼓風機房、消防泵浦室、電信機房、緊急發電機室、台電配電室等２０項。,鋼筋混凝土造,104年10月19日,十八層,
RPPNMLPJJILFFDF97CC,18,104.20,商業用,鋼筋混凝土造,88年4月14日,九層,
RPPNMLPJJILFFDF97CC,18,27.53,共有部分,鋼筋混凝土造,88年4月14日,九層,
RPQNMLRJJILFFDF28CC,2,269.01,工業用,鋼骨構造,103年10月13日,三十五層,
