編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUQMLLJJILFFAH08CA,會稽段,16.08,都市：住,10000,47,持分移轉,07840000
RPWOMLNJJILFFAH28CA,大有段,23.33,都市：住,100000,352,持分移轉,01500000
RPOPMLMJJILFFAH47CA,龍安段,99.00,都市：住,1,1,全筆移轉,01100001
RPXPMLNJJILFFAH48CA,中埔段,6.42,都市：住,100000,312,持分移轉,07690000
RPTOMLLKJILFFAH87CA,龍祥段,16.92,都市：住,10000,106,持分移轉,00180000
RPXPMLLKJILFFAH38CA,國際段,118.24,都市：農,1,1,全筆移轉,01350000
RPXPMLLKJILFFAH38CA,國際段,118.20,都市：農,1,1,全筆移轉,01360000
RPRPMLMJJILFFAH77CA,中山段,17.90,都市：住,10000,166,持分移轉,02300000
RPWOMLLKJILFFAH18CA,桃圳段,72.56,都市：住,2,1,持分移轉,08660000
RPQPMLMJJILFFAH67CA,忠義段,4.51,都市：住,10000,33,持分移轉,05140000
RPRQMLOKJILFFAH18CA,大有段,21.88,都市：住,10000,43,持分移轉,07040000
RPTQMLNJJILFFAH18CA,富國段,1.78,都市：住,100000,23,持分移轉,08530000
RPSRMLMJJILFFBH18CA,忠福段,121.36,都市：住,1,1,全筆移轉,33330000
RPTNMLRJJILFFBH38CA,樹林子段過溪子小段,91.50,都市：農,1000,50,持分移轉,00720002
RPTNMLRJJILFFBH38CA,樹林子段過溪子小段,2.22,都市：農,10000,200,持分移轉,00720016
RPQQMLNJJILFFBH97CA,普義段,51.49,都市：其他:乙種工業區,1080000,209832,持分移轉,01990000
RPTOMLRJJILFFBH48CA,成功段,2.00,都市：商,43200,17,持分移轉,07580000
RPQOMLTJJILFFBH38CA,仁愛段,22.09,都市：住,10000,729,持分移轉,07490013
RPRPMLRJJILFFBH38CA,仁德段,203.25,都市：其他:道路用地,2862923,500000,持分移轉,03090049
RPXQMLTJJILFFBH66CA,富強段,6.79,都市：住,10000,23,持分移轉,06400000
RPXQMLTJJILFFBH66CA,富強段,5.73,都市：住,10000,23,持分移轉,06410000
RPPRMLTJJILFFBH58CA,健行段,47.40,都市：住,10000,567,持分移轉,01170000
RPRQMLQKJILFFBH48CA,埔頂段,373.77,非都市：一般農業區 ; 非都市編定：甲種建築用地,16,4,持分移轉,00090000
RPVOMLQKJILFFAH58CA,埔子段埔子小段,16.79,都市：住,10000,195,持分移轉,17900006
RPSPMLLLJILFFBH08CA,遠東段,32.35,都市：住,30000,1914,持分移轉,01040000
RPOPMLLKJILFFAH47CA,和平段,17.04,都市：住,100000,315,持分移轉,02500000
RPWOMLRJJILFFBH78CA,成功段,6.94,都市：商,6967866240,9533504,持分移轉,07580000
RPTOMLNLJILFFBH28CA,中工段,75.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,11860006
RPPNMLTLJILFFAH28CA,新埔段,47.90,都市：住,100000,1109,持分移轉,10300000
RPRVMLMLJILFFBH68CA,環東段,21.48,都市：住,10000,135,持分移轉,09780000
RPSVMLMLJILFFBH78CA,環東段,.16,都市：住,10000,1,持分移轉,09780000
RPSNMLNJJILFFCH97CA,永昌段,14.42,非都市：特定農業區 ; 非都市編定：農牧用地,14,1,持分移轉,10830000
RPSNMLNJJILFFCH97CA,永昌段,70.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10670000
RPSNMLNJJILFFCH97CA,永昌段,14.89,非都市：特定農業區 ; 非都市編定：甲種建築用地,14,1,持分移轉,10730000
RPVNMLNJJILFFCH28CA,龍源段,126.03,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,02670001
RPUNMLRJJILFFCH58CA,石門段,8.03,都市：其他:旅館區,200000,213,持分移轉,00340000
RPSNMLKKJILFFCH77CA,仁和段,10.64,都市：其他:道路用地,70,2,持分移轉,03020000
RPSNMLKKJILFFCH77CA,仁和段,71.80,都市：住,70,2,持分移轉,03030000
RPSNMLKKJILFFCH77CA,仁和段,6.23,都市：其他:道路用地,70,2,持分移轉,03060000
RPQOMLQKJILFFAH08CA,大林段,24.89,都市：住,100000,1169,持分移轉,05970000
RPXNMLPKJILFFCH78CA,三洽水段,2056.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05480059
RPWNMLPKJILFFCH68CA,三洽水段,2055.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05480012
RPRNMLPLJILFFBH18CA,石頭段,23.16,都市：住,10000,306,持分移轉,04830000
RPSNMLOLJILFFBH18CA,興南段興南小段,.58,都市：商,20000,79,持分移轉,01790008
RPSNMLOLJILFFBH18CA,興南段興南小段,10.07,都市：商,20000,79,持分移轉,01940004
RPSNMLOLJILFFBH18CA,興南段興南小段,.36,都市：商,20000,79,持分移轉,01940006
RPXUMLMLJILFFBH56CA,環東段,23.55,都市：住,10000,148,持分移轉,09780000
RPPOMLLJKILFFBH57CA,富台段,1039.10,都市：住,10000,3840,持分移轉,02220000
RPPOMLLJKILFFBH57CA,富台段,15.03,都市：其他:屬公共設施用地。土地取得方式為徵購、市地重劃,10000,3840,持分移轉,02220001
RPQNMLNKJILFFBH77CA,富強段,8.54,都市：住,10000,52,持分移轉,01360000
RPWOMLMLJILFFCH58CA,南龍段,31.65,都市：住,10000,62,持分移轉,02400000
RPQOMLMJJILFFDH87CA,永寧段,86.84,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,194,持分移轉,02480000
RPQOMLMJJILFFDH87CA,永寧段,28.21,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,308,持分移轉,02490000
RPQOMLMJJILFFDH87CA,永寧段,.29,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,8,持分移轉,04520000
RPPOMLNJJILFFDH87CA,頭重溪段,5.93,都市：住,30000,41,持分移轉,01660001
RPPOMLNJJILFFDH87CA,頭重溪段,5.93,都市：住,30000,41,持分移轉,01660001
RPPOMLNJJILFFDH87CA,頭重溪段,5.93,都市：住,30000,41,持分移轉,01660001
RPROMLNJJILFFDH08CA,頭重溪段,17.07,都市：住,10000,91,持分移轉,00860000
RPQPMLNJJILFFDH08CA,雙榮段,22.29,都市：住,100000,875,持分移轉,02440000
RPRPMLNJJILFFDH18CA,雙榮段,27.39,都市：住,100000,1075,持分移轉,02440000
RPXOMLOLJILFFCH88CA,仁愛段,38.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,200,持分移轉,07530000
RPXOMLOLJILFFCH88CA,仁愛段,1.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,200,持分移轉,07540000
RPSPMLNJJILFFDH28CA,雙榮段,35.14,都市：住,100000,1379,持分移轉,02440000
RPQNMLMJJILFFDH77CA,下田心子段下田心子小段,95.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05830042
