編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLMKJILFFAI67CA,坡道機械,0,,
RPVNMLTKJILFFAI88CA,坡道平面,0,,
RPTNMLQJJILFFAI28CA,坡道機械,0,14.31,
RPUNMLQJJILFFAI38CA,坡道平面,0,29.42,
RPOQMLRKJILFFAI28CA,坡道平面,0,,
RPOQMLRKJILFFAI28CA,坡道平面,0,,
RPVNMLQJJILFFAI48CA,坡道平面,0,30.46,
RPWNMLQJJILFFAI58CA,坡道平面,0,30.46,
RPXNMLOJJILFFAI48CA,坡道平面,0,,
RPUNMLTLJILFFAI88CA,坡道平面,320000,,
RPUNMLTLJILFFAI88CA,坡道平面,320000,,
RPUNMLTLJILFFAI88CA,坡道平面,320000,,
RPUNMLTLJILFFAI88CA,坡道平面,350000,,
RPVNMLTLJILFFAI98CA,坡道機械,650000,14.31,
RPWNMLOJJILFFAI38CA,坡道機械,0,,
RPPNMLMKJILFFAI57CA,坡道機械,0,,
RPOPMLPKJILFFAI97CA,坡道平面,0,17.09,
RPOOMLOKJILFFAI77CA,一樓平面,0,,
RPPOMLLJKILFFAI57CA,坡道機械,450000,14.31,
RPQOMLLJKILFFAI67CA,坡道機械,575000,14.31,
RPQOMLLJKILFFAI67CA,坡道機械,575000,14.31,
RPVNMLLKJILFFAI28EA,坡道平面,0,,
RPOOMLRJKILFFAI08CA,坡道機械,0,,
RPQPMLSLJILFFAI58CA,坡道平面,0,,
RPXNMLLJKILFFAI28CA,升降機械,0,,
RPTNMLLJKILFFAI87CA,坡道平面,320000,,
RPTNMLLJKILFFAI87CA,坡道平面,380000,,
RPTNMLLJKILFFAI87CA,坡道平面,350000,,
RPTNMLLJKILFFAI87CA,坡道平面,380000,,
RPRNMLLJKILFFAI67CA,坡道平面,0,30.46,
RPPOMLOLJILFFAI97CA,坡道機械,0,,
RPVNMLNLJILFFAI38CA,升降機械,0,,
RPWOMLLLJILFFAI38CA,坡道平面,0,,
RPWOMLLLJILFFAI38CA,坡道平面,0,,
RPOOMLKMJILFFAI57CA,坡道機械,0,,
RPXNMLSKJILFFAI09DA,坡道平面,0,,
RPROMLLJKILFFAI77CA,坡道平面,1000000,30.46,
RPSPMLSLJILFFAI78CA,坡道平面,0,,
RPTNMLPJKILFFAI28CA,坡道平面,0,,
RPTOMLLJKILFFAI97CA,坡道機械,600000,14.31,
RPOOMLLLJILFFAI57CA,升降機械,0,,
RPTOMLMJKILFFAI08CA,升降機械,0,,
RPPNMLOJKILFFAI77CA,坡道平面,0,,
RPWNMLNJKILFFAI38CA,坡道平面,0,,
RPUNMLQJKILFFAI48CA,坡道機械,600000,14.31,
