編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSQMLTJJHMFFDK76CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPRNMLKKJHMFFDK18CB,大同段,1.65,都市：商,100000,85,持分移轉,07060000
RPTQMLTJJHMFFDK86CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPVNMLTJJHMFFDK76CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPSOMLTJJHMFFDK56CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPXOMLTJJHMFFDK07CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPQQMLTJJHMFFDK56CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPORMLTJJHMFFDK09CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPQNMLKKJHMFFDK08CB,大同段,1.69,都市：商,100000,87,持分移轉,07060000
RPWNMLTJJHMFFDK86CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPSNMLKKJHMFFDK28CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPTNMLKKJHMFFDK38CB,大同段,1.65,都市：商,100000,85,持分移轉,07060000
RPVNMLKKJHMFFDK58CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPUNMLKKJHMFFDK48CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPROMLKKJHMFFDK28CB,大同段,1.69,都市：商,100000,87,持分移轉,07060000
RPTOMLKKJHMFFDK48CB,大同段,1.69,都市：商,100000,87,持分移轉,07060000
RPOOMLKKJHMFFDK97CB,大同段,1.65,都市：商,100000,85,持分移轉,07060000
RPVOMLKKJHMFFDK68CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPSOMLKKJHMFFDK38CB,大同段,1.65,都市：商,100000,85,持分移轉,07060000
RPPOMLKKJHMFFDK08CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPWNMLKKJHMFFDK68CB,大同段,1.65,都市：商,100000,85,持分移轉,07060000
RPWOMLKKJHMFFDK78CB,大同段,1.65,都市：商,100000,85,持分移轉,07060000
RPUOMLKKJHMFFDK58CB,大同段,1.69,都市：商,100000,87,持分移轉,07060000
RPXOMLKKJHMFFDK88CB,大同段,1.65,都市：商,100000,85,持分移轉,07060000
RPQPMLKKJHMFFDK28CB,大同段,1.69,都市：商,100000,87,持分移轉,07060000
RPOPMLKKJHMFFDK08CB,大同段,1.69,都市：商,100000,87,持分移轉,07060000
RPRPMLKKJHMFFDK38CB,大同段,1.69,都市：商,100000,87,持分移轉,07060000
RPUPMLKKJHMFFDK68CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPPPMLKKJHMFFDK18CB,大同段,1.98,都市：商,100000,102,持分移轉,07060000
RPSPMLKKJHMFFDK48CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPWPMLKKJHMFFDK88CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPVPMLKKJHMFFDK78CB,大同段,1.69,都市：商,100000,87,持分移轉,07060000
RPTPMLKKJHMFFDK58CB,大同段,1.63,都市：商,100000,84,持分移轉,07060000
RPOQMLKKJHMFFDK18CB,大同段,1.98,都市：商,100000,102,持分移轉,07060000
RPXPMLKKJHMFFDK98CB,大同段,1.65,都市：商,100000,85,持分移轉,07060000
RPPQMLKKJHMFFDK28CB,大同段,1.69,都市：商,100000,87,持分移轉,07060000
