編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLSJJILFFAO88CA,光復段,56.44,都市：住,100000,148,持分移轉,02990000
RPUOMLSJJILFFAO66CA,西濱段,76.37,都市：住,1,1,全筆移轉,05570000
RPPPMLOJJILFFAO48CA,光復段,52.63,都市：住,100000,138,持分移轉,02990000
RPPNMLNKJILFFAO28CA,高翠段,2.01,都市：其他:道路用地(以市地重劃方式開發規定),40,7,持分移轉,05920001
RPTNMLTJJILFFAO56CA,南門段一小段,2.67,都市：商,10000,78,持分移轉,00400000
RPRPMLOJJILFFAO68CA,北門段,17.43,都市：商,10000,210,持分移轉,17730000
RPSNMLNKJILFFAO58CA,高翠段,3.54,都市：其他:道路用地(以市地重劃方式開發規定),120,37,持分移轉,05920001
RPSNMLNKJILFFAO58CA,高翠段,6.75,都市：其他:部份是道路用地(以市地重劃方式開發規定),40,1,持分移轉,03360000
RPSNMLNKJILFFAO58CA,高翠段,.63,都市：其他:道路用地(以市地重劃方式開發規定),40,1,持分移轉,03360001
RPSNMLNKJILFFAO58CA,高翠段,2.09,都市：其他:道路用地(以市地重劃方式開發規定),40,1,持分移轉,03370000
RPSNMLNKJILFFAO58CA,高翠段,2.71,都市：其他:道路用地(以市地重劃方式開發規定),40,1,持分移轉,03390000
RPSNMLNKJILFFAO58CA,高翠段,.16,都市：其他:道路用地(以市地重劃方式開發規定),40,1,持分移轉,03390001
RPSNMLNKJILFFAO58CA,高翠段,66.21,都市：其他:道路用地(以市地重劃方式開發規定),300,85,持分移轉,05920000
RPQNMLRJJILFFAO68CA,虎山段,197.40,非都市：特定農業區 ; 非都市編定：農牧用地,394926,59221,持分移轉,04610000
RPQPMLOJJILFFAO58CA,北門段,17.43,都市：商,10000,210,持分移轉,17730000
RPROMLPJJILFFAO68CA,光武段,13.54,都市：住,100000,156,持分移轉,06030000
RPROMLPJJILFFAO68CA,光武段,.02,都市：其他:綠地用地,100000,156,持分移轉,06030001
RPROMLPJJILFFAO68CA,光武段,.01,都市：其他:綠地用地,100000,156,持分移轉,06030002
RPROMLPJJILFFAO68CA,光武段,.00,都市：其他:綠地用地,100000,156,持分移轉,06030003
RPWOMLRJJILFFAO76CA,光復段,19.75,都市：住,4,1,持分移轉,12180000
RPQOMLNKJILFFAO48CA,高翠段,201.16,都市：其他:道路用地.公園兼兒童遊樂場用地.綠地用地,10000,264,持分移轉,02140000
RPVOMLPKJILFFAO56CA,國道段,19.75,都市：商,100000,290,持分移轉,10350000
RPRQMLOKJILFFAO88CA,自由段,18.28,都市：住,10000,202,持分移轉,04360000
RPOQMLOKJILFFAO58CA,東光段,26.99,都市：商,100000,454,持分移轉,00220000
RPXOMLPKJILFFAO76CA,國道段,16.96,都市：商,100000,249,持分移轉,10350000
RPWOMLPKJILFFAO66CA,國道段,17.37,都市：商,100000,255,持分移轉,10350000
RPPNMLRKJILFFAO68CA,北門段,38.59,都市：住,10000,161,持分移轉,21230000
RPQNMLRKJILFFAO78CA,北門段,40.03,都市：住,10000,167,持分移轉,21230000
RPRNMLRKJILFFAO88CA,北門段,38.59,都市：住,10000,161,持分移轉,21230000
RPOPMLSKJILFFAO88CA,唐高段,9.97,都市：住,10000,249,持分移轉,00140000
RPRNMLRJJILFFAO88DA,西濱段,111.47,都市：其他:公園兼兒童遊樂場用地,600,76,持分移轉,07320000
RPWPMLPLJILFFAO07EA,新興段一小段,7.66,都市：住,10000,96,持分移轉,00450000
RPXPMLPKJILFFAO86CA,新莊段,357.49,都市：其他:產服,1,1,全筆移轉,02590000
RPXPMLPKJILFFAO86CA,新莊段,86.51,都市：其他:道路用地,1,1,全筆移轉,02590001
RPRNMLQKJILFFAO78CA,金山段,82.50,都市：住,1,1,全筆移轉,12510000
RPQNMLQKJILFFAO68CA,崙子段,83.00,都市：住,1,1,全筆移轉,01610000
RPXPMLRKJILFFAO07CA,大湖段,57.11,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05590000
RPXPMLRKJILFFAO07CA,大湖段,26.62,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05520000
RPXPMLRKJILFFAO07CA,大湖段,12.49,非都市：一般農業區 ; 非都市編定：丙種建築用地,24,1,持分移轉,05710000
RPSOMLNKJILFFAO68CA,光復段,56.82,都市：住,100000,149,持分移轉,02990000
RPTOMLNKJILFFAO78CA,光復段,56.82,都市：住,100000,149,持分移轉,02990000
RPXNMLOKJILFFAO56CA,延壽段,5908.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07750004
RPXNMLOKJILFFAO56CA,延壽段,56.66,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,1126,持分移轉,07750006
RPXNMLOKJILFFAO56CA,延壽段,38.22,非都市：山坡地保育區 ; 非都市編定：林業用地,10000,1126,持分移轉,07760000
RPSNMLOKJILFFAO68CA,中山段三小段,16.85,都市：商,10000,37,持分移轉,03040000
RPOOMLNKJILFFAO28CA,新興段,3.00,都市：住,12,3,持分移轉,06190000
RPQNMLNKJILFFAO38CA,新興段一小段,12.54,都市：住,76960,800,持分移轉,01170000
RPQNMLNKJILFFAO38CA,新興段一小段,4.77,都市：住,76960,800,持分移轉,01180000
RPOPMLPKJILFFAO58CA,國道段,17.16,都市：商,100000,252,持分移轉,10350000
RPPNMLTJJILFFAO78CA,唐高段,11.73,都市：住,10000,293,持分移轉,00140000
RPQNMLKKJILFFAO08CA,東明段,13.95,都市：商,3003995,12458,持分移轉,00720000
RPWNMLOKJILFFAO09CA,中山段三小段,13.66,都市：商,10000,30,持分移轉,03040000
RPVVOLRJLHMFFAO97EA,中山段三小段,48.73,都市：商,10000,107,持分移轉,03040000
RPVQMLRJJILFFAO86CA,民主段,8.66,都市：住,200000,876,持分移轉,07740001
RPRPMLRJJILFFAO98CA,唐高段,25.62,都市：住,10000,2100,持分移轉,06940000
RPRPMLRJJILFFAO98CA,唐高段,68.00,都市：住,1,1,全筆移轉,06940001
RPUOMLRJJILFFAO56CA,溪橋段,64.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06050000
RPPNMLQJJILFFAO48CA,仙水段,14.29,都市：住,100000,472,持分移轉,04250000
RPQNMLQJJILFFAO58CA,崙子段,79.00,都市：住,1,1,全筆移轉,02050008
RPQNMLQJJILFFAO58CA,崙子段,3.00,都市：住,1,1,全筆移轉,02090015
RPORMLSJJILFFAO98CA,武陵段,13.15,都市：住,100000,86,持分移轉,03160003
RPPNMLPJJILFFAO38CA,曲溪段,29.60,都市：住,1155,24,持分移轉,06070000
RPVOMLRJJILFFAO66CA,東山段一小段,60.37,都市：住,10000,304,持分移轉,09820000
RPROMLRJJILFFAO88CA,柑林段,196.35,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05840010
RPVNMLOKJILFFAO98CA,中山段三小段,28.23,都市：商,10000,62,持分移轉,03040000
RPUNMLOKJILFFAO88CA,中山段三小段,17.31,都市：商,10000,38,持分移轉,03040000
RPTNMLOKJILFFAO78CA,中山段三小段,17.31,都市：商,10000,38,持分移轉,03040000
RPTOMLRJJILFFAO09CA,溪橋段,291.28,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00810000
RPTOMLRJJILFFAO09CA,溪橋段,337.98,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00820000
RPOQMLRJJILFFAO78CA,民主段,42.20,都市：住,5,1,持分移轉,04490000
RPVQMLSJJILFFAO96CA,長春段,15.66,都市：其他:科技產業專用區,100000,161,持分移轉,13410000
RPVQMLSJJILFFAO96CA,長春段,.35,都市：住,100000,161,持分移轉,13850001
RPVQMLSJJILFFAO96CA,長春段,.08,都市：住,100000,161,持分移轉,13850002
RPVOMLNKJILFFAO98CA,忠孝段,3.00,都市：住,1,1,全筆移轉,04320001
RPSPMLOKJILFFAO88CA,武陵段,33.73,都市：住,10000,2536,持分移轉,04990000
RPQRMLSJJILFFAO56CA,光武段,32.64,都市：住,100000,291,持分移轉,11490000
RPTPMLOKJILFFAO98CA,東山段二小段,29.00,都市：住,20,2,持分移轉,04930000
RPTPMLOKJILFFAO98CA,東山段二小段,1.50,都市：住,10,1,持分移轉,04930001
RPUNMLRJJILFFAO09CA,國道段,18.78,都市：商,100000,168,持分移轉,10010000
RPRNMLOKJILFFAO58CA,中山段三小段,14.57,都市：商,10000,32,持分移轉,03040000
RPWOMLKKJILFFAO78CA,東明段,29.72,都市：其他:第一種住宅區、道路用地,100000000,76456,持分移轉,00490000
RPOSMLSJJILFFAO66EA,虎林段,17.92,非都市：特定農業區 ; 非都市編定：甲種建築用地,7,1,持分移轉,01830000
RPOSMLSJJILFFAO66EA,虎林段,67.19,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01830001
RPSRMLSJJILFFAO86DA,東香段,54.31,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,317,持分移轉,00850072
RPSRMLSJJILFFAO86DA,東香段,.62,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,106,持分移轉,00860000
RPSRMLSJJILFFAO86DA,東香段,.04,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,106,持分移轉,00870000
RPSRMLSJJILFFAO86DA,東香段,1.07,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,106,持分移轉,01200000
RPSRMLSJJILFFAO86DA,東香段,.37,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,11,持分移轉,01610000
RPURMLSJJILFFAO96CA,民富段,46.86,都市：住,100000,1839,持分移轉,04290000
RPURMLSJJILFFAO96CA,民富段,2.43,都市：其他:道路用地,115,1,持分移轉,04290025
RPRRMLSJJILFFAO66CA,光武段,32.64,都市：住,100000,291,持分移轉,11490000
RPTRMLSJJILFFAO86CA,光武段,25.35,都市：住,100000,226,持分移轉,11490000
