鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
莿桐鄉,土地,樹子腳段2026地號,4206.0,,特定農業區,農牧用地,1050902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9240000,2197,,0.0,0,,RPVNMLLJJILFFAP68CA,0.0,0.0,0.0,,
斗六市,土地,光明段297-1地號,100.0,,工業區,丁種建築用地,1051021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2750000,27500,,0.0,0,,RPRNMLMJJILFFAP38CA,0.0,0.0,0.0,,
斗六市,房地(土地+建物),雲林縣斗六市部子２８之２號,135.48,,鄉村區,乙種建築用地,1050911,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050418,216.67,4,3,5,有,無,6500000,30000,,0.0,0,,RPPOMLRJJILFFAP78CA,207.03,0.0,9.64,,
斗南鎮,房地(土地+建物),雲林縣斗南鎮新生一路２１號八樓之九,9.49,住,,,1051019,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890529,63.79,2,1,1,有,有,1600000,25082,,0.0,0,,RPRNMLNJJILFFBP58CA,42.24,0.0,1.97,,
斗南鎮,房地(土地+建物),雲林縣斗南鎮信義路２５巷２２弄１８號,114.24,工,,,1051015,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1001011,197.06,5,2,4,有,無,6800000,34507,,0.0,0,1.含增建或未登記建物。2.包含現況傢俱、家電用品等。3.權利人共二人。,RPTNMLKKJILFFBP58CA,182.9,1.32,12.84,,
崙背鄉,土地,東興段279地號,2026.24,,特定農業區,農牧用地,1051018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7091840,3500,,0.0,0,,RPRNMLMJJILFFCP58CA,0.0,0.0,0.0,,
崙背鄉,土地,南榮段401-35地號,157.84,住,,,1050923,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,34845,,0.0,0,交易含未登記建物,RPUNMLMJJILFFCP88CA,0.0,0.0,0.0,,
崙背鄉,土地,大豐段196地號,3346.0,,特定農業區,農牧用地,1051017,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2342200,700,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLMJJILFFCP09CA,0.0,0.0,0.0,,
崙背鄉,土地,中勸段1096地號,81.48,住,,,1050823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,739431,9075,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLMJJILFFCP38CA,0.0,0.0,0.0,,
