編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLTLJILFFAP47EB,水碓東段,122.21,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,14830001
RPWNMLTLJILFFAP47EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地,29,1,持分移轉,14830020
RPXNMLTLJILFFAP57EB,水碓東段,112.48,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,14830005
RPXNMLTLJILFFAP57EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地,29,1,持分移轉,14830020
RPOOMLTLJILFFAP76EB,水碓東段,112.59,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,14830014
RPOOMLTLJILFFAP76EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地,29,1,持分移轉,14830020
RPVNMLKMJILFFAP56EB,水碓東段,116.14,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,14830003
RPVNMLKMJILFFAP56EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地,29,1,持分移轉,14830020
RPWOMLTLJILFFAP57EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地,29,1,持分移轉,14830020
RPWOMLTLJILFFAP57EB,水碓東段,108.95,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,14830019
RPTNMLKMJILFFAP98EB,水碓東段,181.65,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,14830000
RPTNMLKMJILFFAP98EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地,29,1,持分移轉,14830020
RPPOMLTLJILFFAP86EB,水碓東段,106.74,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,14830017
RPPOMLTLJILFFAP86EB,水碓東段,21.80,非都市：一般農業區 ; 非都市編定：甲種建築用地,29,1,持分移轉,14830020
