編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLMJJILFFAW96DA,28,48.26,住家用,鋼筋混凝土加強磚造,77年7月1日,一層,一層
SPRNMLNJJILFFAW66CA,2,27.60,集合住宅,鋼筋混凝土造,103年10月16日,三層,二層 陽台
SPRNMLNJJILFFAW66CA,2,4.19,共有部分：本共有部分之項目計有樓梯間、走廊等二項。,鋼筋混凝土造,103年10月16日,三層,
RPRNMLNJJILFFAW56CA,2,19.54,集合住宅,鋼筋混凝土造,103年10月20日,三層,一層 陽台
RPRNMLNJJILFFAW56CA,2,3.52,共有部分：本共有部分之項目計有樓梯間、水箱等二項。,鋼筋混凝土造,103年10月20日,三層,
RPSNMLKKJILFFAW09CA,76,40.66,住家用,見其他登記事項,30年1月18日,一層,一層
RPUNMLLJKILFFAW86DA,,182.83,集合住宅,鋼筋混凝土造,105年8月23日,三層,一層 二層 三層 陽台
RPUNMLLJKILFFAW86DA,,182.83,集合住宅,鋼筋混凝土造,105年8月23日,三層,一層 二層 三層 陽台
RPRNMLLJKILFFAW56DA,,182.83,集合住宅,鋼筋混凝土造,105年8月23日,三層,一層 二層 三層 陽台
RPTNMLQKJILFFAW17CA,1,41.29,集合住宅,鋼筋混凝土造,104年11月25日,八層,五層 陽台
RPTNMLQKJILFFAW17CA,1,24.79,共有部分：本共有部分項目有：管委會空間、電樓梯間、梯廳、車道、走廊、防空避難室兼停車空間、受電箱、台電配電場所、電信機房、蓄水池、汙水處理機房、消防泵浦室、水箱等十三項。,鋼筋混凝土造,104年11月25日,八層,
RPTNMLLLJILFFAW76CA,1,67.24,集合住宅,鋼筋混凝土造,104年12月30日,三層,三層 陽台
RPTNMLLLJILFFAW76CA,1,4.42,共有部分：本共有部分之項目有樓梯間及陽台等二項。,鋼筋混凝土造,104年12月30日,三層,
RPUNMLLLJILFFAW86CA,1,26.36,集合住宅,鋼筋混凝土造,105年1月26日,三層,二層 陽台
RPUNMLLLJILFFAW86CA,1,8.76,共有部分：本共有部分之項目有車道、停車空間、消防蓄水池、蓄水箱、消防機械室、發電機室、樓梯間、電梯廳、管理室、電信室、玄關、大廳及陽台等１３項。,鋼筋混凝土造,105年1月26日,三層,
RPXNMLLLJILFFAW17CA,7,274.69,農舍,鋼筋混凝土造,98年10月16日,二層,一層 二層 陽台 屋頂突出物
RPVNMLNLJILFFAW27DA,1,92.35,集合住宅,鋼筋混凝土造,105年4月19日,三層,三層 陽台
RPVNMLNLJILFFAW27DA,1,6.12,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,105年4月19日,三層,
RPQNMLNLJILFFAW66CA,1,58.52,見其他登記事項,鋼筋混凝土造,105年1月19日,三層,二層
RPQNMLNLJILFFAW66CA,1,7.68,見其他登記事項,鋼筋混凝土造,105年1月19日,三層,
RPXNMLPLJILFFAW57CA,1,53.26,見其他登記事項,鋼筋混凝土造,105年1月19日,三層,一層
RPXNMLPLJILFFAW57CA,1,7.68,見其他登記事項,鋼筋混凝土造,105年1月19日,三層,
RPWNMLPLJILFFAW47CA,1,69.38,集合住宅,鋼筋混凝土造,104年11月25日,八層,八層 陽台 雨遮
RPWNMLPLJILFFAW47CA,1,40.89,共有部分：本共有部分項目有：管委會空間、電樓梯間、梯廳、車道、走廊、防空避難室兼停車空間、受電箱、台電配電場所、電信機房、蓄水池、汙水處理機房、消防泵浦室、水箱等十三項。,鋼筋混凝土造,104年11月25日,八層,
RPQNMLNKKILFFAW66CA,1,57.96,見其他登記事項,鋼筋混凝土造,105年5月9日,三層,二層
RPQNMLNKKILFFAW66CA,1,5.30,見其他登記事項,鋼筋混凝土造,105年5月9日,三層,
RPVNMLPLJILFFAW37CA,,171.82,住家用,鋼筋混凝土造,104年9月18日,三層,一層 二層 三層 屋頂突出物
RPUNMLPLJILFFAW27CA,,169.01,住家用,鋼筋混凝土造,104年9月18日,三層,一層 二層 三層 屋頂突出物
RPSNMLSLJILFFAW37CA,1,146.69,住家用,鋼筋混凝土造,104年12月30日,三層,一層 二層 三層 陽台
RPTNMLLJKILFFAW66CA,1,83.52,集合住宅,鋼筋混凝土造,104年5月29日,三層,一層 陽台
RPTNMLLJKILFFAW66CA,1,5.05,共有部分：本共有部分之項目為樓梯間。,鋼筋混凝土造,104年5月29日,三層,
RPPNMLRJKILFFAW86CA,4,100.55,集合住宅,鋼筋混凝土造,101年11月28日,十層,二層 陽台 雨遮
RPPNMLRJKILFFAW86CA,4,31.42,共有部分：本共有部分之項目有防空避難室、消防機械室兼發電機室、消防水池、清水池、昇降機道、安全梯、梯廳、雨遮、機械室、水箱等十項。,鋼筋混凝土造,101年11月28日,十層,
RPQNMLPJKILFFAW76CA,1,38.29,集合住宅,鋼筋混凝土造,104年11月25日,八層,四層 陽台
RPQNMLPJKILFFAW76CA,1,22.98,共有部分：本共有部分項目有：管委會空間、電樓梯間、梯廳、車道、走廊、防空避難室兼停車空間、受電箱、台電配電場所、電信機房、蓄水池、汙水處理機房、消防泵浦室、水箱等十三項。,鋼筋混凝土造,104年11月25日,八層,
RPTNMLKLKILFFAW86DA,,160.00,,,,,
RPPNMLLKKILFFAW98CA,3,193.69,住家用,鋼筋混凝土造,103年3月11日,三層,一層 二層 三層 陽台
RPWNMLLJKILFFAW96CA,,51.98,集合住宅,鋼筋混凝土造,105年6月17日,七層,四層 陽台 雨遮
RPWNMLLJKILFFAW96CA,,20.40,共有部分：本共有部分之項目有梯間、防空避難室兼停車空間、消防水池、機電消防室、台電配電室、雨遮、汽車升降機房、汽車昇降道、清水池、電信室、車道、外廊、水錶室、水箱、電梯機房等１５項。,鋼筋混凝土造,105年6月17日,七層,
RPOOMLLJKILFFAW88CA,1,22.50,見其他登記事項,鋼筋混凝土造,105年1月25日,三層,
