編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLMJKHMFFBF18CB,丹鳳段,11.68,都市：住,100000,191,持分移轉,04460000
RPQNMLMJKHMFFBF57CB,丹鳳段,11.68,都市：住,100000,191,持分移轉,04460000
RPQOMLMJKHMFFBF67CB,丹鳳段,11.68,都市：住,100000,191,持分移轉,04460000
RPXNMLMJKHMFFBF28CB,丹鳳段,11.68,都市：住,100000,191,持分移轉,04460000
RPPNMLMJKHMFFBF47CB,丹鳳段,10.46,都市：住,100000,171,持分移轉,04460000
RPRNMLMJKHMFFBF67CB,丹鳳段,8.01,都市：住,100000,131,持分移轉,04460000
RPVNMLMJKHMFFBF08CB,丹鳳段,11.68,都市：住,100000,191,持分移轉,04460000
RPUNMLMJKHMFFBF97CB,丹鳳段,11.68,都市：住,100000,191,持分移轉,04460000
RPWOMLMJKHMFFIF98CB,中園段,29.58,都市：住,10000,205,持分移轉,00330000
RPOPMLMJKHMFFIF28CB,中園段,29.30,都市：住,10000,203,持分移轉,00330000
RPSNMLSJKHMFFIF09CB,中園段,55.99,都市：住,10000,388,持分移轉,00330000
RPTNMLRKKHMFFBF48CB,光明段,24.31,都市：住,100000,1196,持分移轉,10100000
RPROMLTJKHMFFBF48CB,丹鳳段,18.65,都市：住,100000,305,持分移轉,04460000
RPTOMLTJKHMFFBF68CB,丹鳳段,18.71,都市：住,100000,306,持分移轉,04460000
RPPNMLRJKHMFFBF97CB,力行段,29.71,都市：住,10000,142,持分移轉,05440000
RPXNMLTJKHMFFBF98CB,丹鳳段,18.53,都市：住,100000,303,持分移轉,04460000
RPPOMLTJKHMFFBF28CB,丹鳳段,11.68,都市：住,100000,191,持分移轉,04460000
RPXOMLTJKHMFFBF09CB,丹鳳段,16.15,都市：住,100000,264,持分移轉,04460000
RPSNMLRJKHMFFBF28CB,力行段,29.71,都市：住,10000,142,持分移轉,05440000
RPRNMLRJKHMFFBF18CB,力行段,24.90,都市：住,10000,119,持分移轉,05440000
RPWOMLTJKHMFFBF98CB,丹鳳段,11.68,都市：住,100000,191,持分移轉,04460000
RPWNMLRKKHMFFBF78CB,光明段,13.58,都市：住,100000,668,持分移轉,10100000
RPUNMLRKKHMFFBF58CB,光明段,18.35,都市：住,100000,903,持分移轉,10100000
RPVNMLRKKHMFFBF68CB,光明段,18.23,都市：住,100000,897,持分移轉,10100000
RPVOMLRKKHMFFBF78CB,光明段,14.16,都市：住,100000,697,持分移轉,10100000
RPUOMLRKKHMFFBF68CB,光明段,14.37,都市：住,100000,707,持分移轉,10100000
RPSOMLRKKHMFFBF48CB,光明段,18.82,都市：住,100000,926,持分移轉,10100000
RPWOMLRKKHMFFBF88CB,光明段,13.58,都市：住,100000,668,持分移轉,10100000
RPQOMLRKKHMFFBF28CB,光明段,18.90,都市：住,100000,930,持分移轉,10100000
RPROMLRKKHMFFBF38CB,光明段,14.16,都市：住,100000,697,持分移轉,10100000
RPTOMLRKKHMFFBF58CB,光明段,18.23,都市：住,100000,897,持分移轉,10100000
RPXNMLRKKHMFFBF88CB,光明段,13.29,都市：住,100000,654,持分移轉,10100000
RPOOMLRKKHMFFBF08CB,光明段,24.31,都市：住,100000,1196,持分移轉,10100000
RPPOMLRKKHMFFBF18CB,光明段,18.23,都市：住,100000,897,持分移轉,10100000
RPOPMLRKKHMFFBF18CB,光明段,14.16,都市：住,100000,697,持分移轉,10100000
RPTPMLRKKHMFFBF68CB,光明段,18.35,都市：住,100000,903,持分移轉,10100000
RPUPMLRKKHMFFBF78CB,光明段,9.92,都市：住,100000,488,持分移轉,10100000
RPVPMLRKKHMFFBF88CB,光明段,14.37,都市：住,100000,707,持分移轉,10100000
RPPPMLRKKHMFFBF28CB,光明段,18.90,都市：住,100000,930,持分移轉,10100000
RPQPMLRKKHMFFBF38CB,光明段,14.45,都市：住,100000,711,持分移轉,10100000
RPSPMLRKKHMFFBF58CB,光明段,14.16,都市：住,100000,697,持分移轉,10100000
