編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWOMLOLKHMFFAG78DB,星月段,103.87,都市：住,1,1,全筆移轉,04720005
RPVOMLOLKHMFFAG68DB,星月段,116.72,都市：住,1,1,全筆移轉,04720008
RPXOMLOLKHMFFAG88DB,星月段,123.83,都市：住,1,1,全筆移轉,04720000
RPOPMLOKLHMFFBG08CB,公園段,10.07,都市：其他:健康休閒專用區,10000,95,持分移轉,00570001
RPPPMLOKLHMFFBG18CB,公園段,10.07,都市：其他:健康休閒專用區,10000,95,持分移轉,00570001
RPOPMLOLKHMFFAG08DB,星月段,114.98,都市：住,1,1,全筆移轉,04720001
RPOPMLOLKHMFFAG08DB,星月段,4.54,都市：住,1,1,全筆移轉,04720014
RPOPMLOLKHMFFAG08DB,星月段,15.25,都市：住,1,1,全筆移轉,04720015
RPQPMLOKLHMFFBG28CB,公園段,9.01,都市：其他:健康休閒專用區,10000,85,持分移轉,00570001
RPSPMLOKLHMFFBG48CB,公園段,10.07,都市：其他:健康休閒專用區,10000,95,持分移轉,00570001
RPRPMLOKLHMFFBG38CB,公園段,10.07,都市：其他:健康休閒專用區,10000,95,持分移轉,00570001
RPTPMLOKLHMFFBG58CB,公園段,9.01,都市：其他:健康休閒專用區,10000,85,持分移轉,00570001
RPUPMLOKLHMFFBG68CB,公園段,9.01,都市：其他:健康休閒專用區,10000,85,持分移轉,00570001
RPVPMLOKLHMFFBG78CB,公園段,8.27,都市：其他:健康休閒專用區,10000,78,持分移轉,00570001
RPWPMLOKLHMFFBG88CB,公園段,9.01,都市：其他:健康休閒專用區,10000,85,持分移轉,00570001
RPXPMLOKLHMFFBG98CB,公園段,8.27,都市：其他:健康休閒專用區,10000,78,持分移轉,00570001
RPOQMLOKLHMFFBG18CB,公園段,8.27,都市：其他:健康休閒專用區,10000,78,持分移轉,00570001
RPSQMLOKLHMFFBG58CB,公園段,8.27,都市：其他:健康休閒專用區,10000,78,持分移轉,00570001
RPTQMLOKLHMFFBG68CB,公園段,8.27,都市：其他:健康休閒專用區,10000,78,持分移轉,00570001
RPWQMLOKLHMFFBG98CB,公園段,8.27,都市：其他:健康休閒專用區,10000,78,持分移轉,00570001
RPVQMLOKLHMFFBG88CB,公園段,8.27,都市：其他:健康休閒專用區,10000,78,持分移轉,00570001
RPORMLOKLHMFFBG28CB,公園段,9.01,都市：其他:健康休閒專用區,10000,85,持分移轉,00570001
RPQRMLOKLHMFFBG48CB,公園段,10.07,都市：其他:健康休閒專用區,10000,95,持分移轉,00570001
RPXQMLOKLHMFFBG09CB,公園段,8.27,都市：其他:健康休閒專用區,10000,78,持分移轉,00570001
RPRRMLOKLHMFFBG58CB,公園段,10.07,都市：其他:健康休閒專用區,10000,95,持分移轉,00570001
RPQPMLRKLHMFFBG68DB,深福段,16.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03180009
RPQPMLRKLHMFFBG68DB,深福段,74.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03180010
RPPPMLRKLHMFFBG58DB,深福段,100.20,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03180001
RPPPMLRKLHMFFBG58DB,深福段,23.24,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,03180003
RPRPMLRKLHMFFBG78DB,深福段,74.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03180011
RPRPMLRKLHMFFBG78DB,深福段,16.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03180012
RPSPMLRKLHMFFBG88DB,深福段,16.62,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03180017
RPSPMLRKLHMFFBG88DB,深福段,72.18,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03180018
RPUPMLRKLHMFFBG09DB,深福段,23.22,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,03180004
RPUPMLRKLHMFFBG09DB,深福段,104.74,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03180006
RPWPMLRKLHMFFBG66DB,深福段,75.30,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03180015
RPWPMLRKLHMFFBG66DB,深福段,16.65,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03180016
RPVPMLRKLHMFFBG56DB,深福段,104.27,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03180005
RPVPMLRKLHMFFBG56DB,深福段,23.22,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,03180004
RPROMLQLMHMFFAG58CB,大德段,73.67,非都市：特定農業區 ; 非都市編定：農牧用地,24,1,持分移轉,05810000
RPROMLQLMHMFFAG58CB,大德段,134.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05790003
RPROMLQLMHMFFAG58CB,大德段,18.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05790036
RPTOMLQLMHMFFAG78CB,大德段,73.67,非都市：特定農業區 ; 非都市編定：農牧用地,24,1,持分移轉,05810000
RPTOMLQLMHMFFAG78CB,大德段,134.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05790005
RPTOMLQLMHMFFAG78CB,大德段,18.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05790032
RPSOMLQLMHMFFAG68CB,大德段,73.67,非都市：特定農業區 ; 非都市編定：農牧用地,24,1,持分移轉,05810000
RPSOMLQLMHMFFAG68CB,大德段,18.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05790021
RPSOMLQLMHMFFAG68CB,大德段,134.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05790010
RPOPMLQLMHMFFAG38CB,大德段,73.67,非都市：特定農業區 ; 非都市編定：農牧用地,24,1,持分移轉,05810000
RPOPMLQLMHMFFAG38CB,大德段,18.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05790038
RPOPMLQLMHMFFAG38CB,大德段,140.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05790042
RPRPMLNLKHMFFAG28DB,星月段,113.44,都市：住,1,1,全筆移轉,04720004
RPUNMLNLKHMFFAG38DB,星月段,119.91,都市：住,1,1,全筆移轉,04720009
RPTNMLNLKHMFFAG28DB,星月段,123.07,都市：住,1,1,全筆移轉,04720010
RPTPMLNLKHMFFAG48DB,星月段,113.45,都市：住,1,1,全筆移轉,04720002
RPPPMLNLKHMFFAG08DB,星月段,95.11,都市：住,1,1,全筆移轉,04720006
RPSPMLNLKHMFFAG38DB,星月段,113.45,都市：住,1,1,全筆移轉,04720003
RPOPMLNLKHMFFAG97DB,星月段,113.55,都市：住,1,1,全筆移轉,04720007
RPOPMLQLMHMFFBG48CB,拔雅林三段,19.94,都市：住,100000,546,持分移轉,07360000
