編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTQMLMJKHMFFBH48CC,石頭段,.00,都市：商,,,,00420014
RPSNMLNJKHMFFFH78EC,興仁段,16.32,都市：商,,,,06080000
RPTNMLQJKHMFFAH48CC,大樹林段,.00,都市：住,,,,17800021
RPSNMLQJKHMFFHH09CC,蔗園段,168.38,都市：工,,,,05400000
RPSNMLQJKHMFFHH09CC,蔗園段,168.49,都市：工,,,,05390000
RPSOMLQJKHMFFAH48CC,同安段,42.70,都市：住,,,,13900000
RPVNMLSJKHMFFFH86DC,福興段,23.83,都市：住,,,,09400000
RPRPMLSJKHMFFFH66DC,豐田段,27.17,都市：住,,,,14880000
RPSOMLRJKHMFFFH56DC,豐田段,33.59,都市：住,,,,14490000
RPXNMLRJKHMFFHH07CC,善捷段,22.28,都市：住,,,,00030000
RPOOMLQJKHMFFHH78CC,善捷段,18.56,都市：住,,,,00020000
RPQPMLSJKHMFFAH58CC,寶山段,16.26,都市：住,,,,08360000
RPRPMLSJKHMFFAH68CC,三元段,16.17,都市：住,,,,08280000
RPOPMLSJKHMFFAH38CC,龍安段,7.43,都市：住,,,,02690000
RPSPMLSJKHMFFAH78CC,龍祥段,19.39,都市：住,,,,01090000
RPSPMLSJKHMFFAH78CC,龍祥段,.02,都市：住,,,,01090000
RPTPMLSJKHMFFAH88CC,會稽段,36.36,都市：住,,,,00980000
RPPOMLSJKHMFFCH58CC,烏樹林段,20.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03350054
RPPNMLKKKHMFFDH87CC,梅獅段,.00,都市：住,,,,04340000
RPSNMLKKKHMFFDH18CC,大金山下段大金山下小段,.00,都市：住,,,,00460000
RPUNMLKKKHMFFHH78CC,善捷段,26.11,都市：商,,,,00030000
RPUNMLKKKHMFFEH48CC,大新段,9.15,非都市： ; 非都市編定：,,,,02290000
RPRNMLKKKHMFFFH28CC,大智段,66.98,都市：住,,,,06630000
RPTNMLKKKHMFFFH58DC,興仁段,8.31,都市：商,,,,05890000
RPVNMLKKKHMFFFH78DC,興仁段,13.98,都市：商,,,,06080000
RPPNMLMKKHMFFAH77CC,桃園段長美小段,174.00,非都市： ; 非都市編定：,,,,02340002
RPPNMLNJKHMFFHH58DC,山鶯段,79.04,都市：住,,,,03470000
RPTNMLNKKHMFFFH78CC,大華段,2.75,都市：住,,,,07840000
RPTNMLNKKHMFFFH78CC,大華段,8.35,都市：住,,,,07900000
RPRPMLNKKHMFFBH48DC,石頭段,87.00,都市：商,,,,03910008
RPWOMLNKKHMFFAH78DC,江南段,14.97,都市：住,,,,01450000
RPPQMLNKKHMFFAH28DC,雲林段,3.70,都市：住,,,,03130000
RPRQMLNKKHMFFAH48DC,同德段,20.51,都市：其他:,,,,00250000
RPTNMLNKKHMFFGH98DC,西社段,72.80,都市：住,,,,08550000
RPTOMLOKKHMFFDH78CC,大金山下段大金山下小段,.00,都市：住,,,,00100004
RPOPMLNKKHMFFAH97CC,慈文段,.00,都市：住,,,,21540001
RPTPMLNKKHMFFBH58CC,中興段,.00,都市：住,,,,05610000
RPPPMLOKKHMFFBH28CC,忠福段,.00,都市：住,,,,21020000
RPVOMLOKKHMFFBH78CC,興南段公坡小段,.00,都市：農,,,,00750000
RPWPMLSJKHMFFBH66CC,下埔頂段,1177.40,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,01390000
RPWPMLSJKHMFFBH66CC,下埔頂段,5739.57,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,01410000
RPXOMLOKKHMFFBH98CC,中壢埔頂段,.00,都市：住,,,,17650000
RPTOMLRJKHMFFBH78CC,三座屋段三座屋小段,17.13,都市：住,,,,04670002
RPWOMLKKKHMFFBH48CC,中壢埔頂段,.00,都市：住,,,,18360003
RPQOMLRJKHMFFBH48CC,青平段,345.10,都市：住,,,,01830001
RPROMLKKKHMFFBH97CC,興南段中壢老小段,38.00,都市：商,,,,01190001
RPROMLKKKHMFFBH97CC,興南段中壢老小段,.27,都市：商,,,,01200000
RPSQMLOKKHMFFAH58CC,龍安段,18.72,都市：住,,,,02420000
RPPOMLPKKHMFFBH28CC,環東段,.00,都市：住,,,,07760001
RPRPMLOKKHMFFAH38CC,陽明段,.00,都市：住,,,,01120000
RPQPMLPKKHMFFAH38CC,小檜溪段,25.80,都市：住,,,,06870002
RPTNMLPKKHMFFHH56CC,興華段,42.94,都市：住,,,,05690000
RPPPMLPKKHMFFAH28CC,春日段,34.62,都市：住,,,,11630000
RPQOMLPKKHMFFBH38CC,青昇段,275.78,都市：住,,,,03510000
RPROMLPKKHMFFDH68CC,大金山下段月眉山下小段,.00,都市：住,,,,00460000
RPQOMLPKKHMFFEH68CC,長興段,1694.81,都市：工,,,,06800000
RPWNMLQKKHMFFEH66CC,五福段,.00,都市：住,,,,03300000
RPSNMLQKKHMFFHH56CC,善捷段,14.44,都市：住,,,,00020000
RPPNMLQKKHMFFHH88CC,精忠段,19.61,都市：住,,,,13370000
RPRNMLQKKHMFFFH98DC,興仁段,20.97,都市：商,,,,06080000
RPROMLQKKHMFFFH98CC,福興段,.00,都市：商,,,,09610000
RPWOMLPKKHMFFFH76CC,興仁段,.00,都市：商,,,,06080000
RPOOMLSKKHMFFAH38CC,慈文段,.00,都市：住,,,,07810000
RPQNMLRKKHMFFHH09CC,興華段,14.10,都市：住,,,,00910000
RPWNMLQKKHMFFHH96CC,龜山段,.00,都市：商,,,,10280000
RPROMLSKKHMFFBH78CC,後興段,.00,都市：住,,,,04990003
RPPOMLRKKHMFFBH48CC,中原段,.00,都市：住,,,,03820000
RPPNMLSKKHMFFEH78CC,六福段,.00,都市：工,,,,03270000
RPXNMLQKKHMFFEH76CC,客運二段,.00,都市：住,,,,01740000
RPRQMLKLKHMFFBH28CC,中壢埔頂段,.00,都市：住,,,,15460000
RPSOMLKLKHMFFEH48CC,竹圍段拔子林小段,37.65,都市：住,,,,01910000
RPPQMLKLKHMFFBH08CC,培英段,23.91,都市：其他:,,,,00010000
RPOOMLRKKHMFFEH68CC,河底段,15.00,都市：住,,,,02570000
RPORMLQKKHMFFBH58CC,三座屋段三座屋小段,17.13,都市：住,,,,04670002
RPXOMLPKKHMFFBH09CC,青平段,60.67,都市：住,,,,00430000
RPXNMLKLKHMFFFH98CC,大智段,.00,都市：住,,,,00770000
RPXNMLKLKHMFFGH09CC,振平段,.00,都市：住,,,,02190000
RPPOMLKLKHMFFDH08CC,幼獅段,.00,都市：住,,,,12240000
RPRNMLKLKHMFFEH38DC,宏昌段,394.36,非都市：特定農業區 ; 非都市編定：農牧用地,,,,06730000
