編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSJKHMFFDN98CA,永泰段,199.89,都市：農,3996,2313,持分移轉,07100000
RPPNMLSJKHMFFDN98CA,永泰段,333.42,都市：住,8,5,持分移轉,07270000
RPPNMLSJKHMFFDN98CA,永泰段,1213.43,都市：住,8,5,持分移轉,07300001
RPPNMLSJKHMFFDN98CA,永泰段,348.26,都市：農,8,5,持分移轉,07320000
RPPNMLSJKHMFFDN98CA,永泰段,225.33,都市：其他:計畫道路用地,8,5,持分移轉,07330000
RPVOMLTJKHMFFAN86CA,台鳳段,100.10,非都市：山坡地保育區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,08960002
RPQOMLNJKHMFFDN68CA,中央段,941.34,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,10750000
RPQOMLNJKHMFFDN68CA,中央段,317.07,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,10760000
RPQOMLNJKHMFFDN68CA,中央段,108.04,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,10770000
RPQOMLNJKHMFFDN68CA,中央段,64.04,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,10780000
RPQOMLNJKHMFFDN68CA,中央段,973.05,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,10790000
RPQOMLNJKHMFFDN68CA,中央段,22.20,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,10810000
RPWNMLQJKHMFFAN56CA,莿桐段,76.00,都市：住,1,1,全筆移轉,16340009
RPRNMLNJKHMFFFN88CA,永豐段,95.04,都市：住,1,1,全筆移轉,06430014
RPQNMLSJKHMFFDN09CA,永泰段,.45,都市：住,8,5,持分移轉,06410000
RPOOMLRKKHMFFAN68CA,南郭段南郭小段,21.04,都市：住,10000,43,持分移轉,05290000
RPQNMLSJKHMFFDN09CA,永泰段,53.72,都市：其他:計畫道路用地,8,5,持分移轉,06430000
RPQNMLSJKHMFFDN09CA,永泰段,128.92,都市：農,3996,2313,持分移轉,07110000
RPQNMLSJKHMFFDN09CA,永泰段,549.79,都市：住,3996,2313,持分移轉,07110001
RPQNMLSJKHMFFDN09CA,永泰段,13.22,都市：住,3996,2313,持分移轉,07140000
RPQNMLSJKHMFFDN09CA,永泰段,1.62,都市：其他:計畫道路用地,8,5,持分移轉,07210000
RPQNMLSJKHMFFDN09CA,永泰段,2.84,都市：住,8,5,持分移轉,07230000
RPQNMLSJKHMFFDN09CA,永泰段,31.80,都市：農,8,5,持分移轉,07300000
RPTNMLMJKHMFFFN98CA,中寮段,795.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05320003
RPTNMLMJKHMFFFN98CA,中寮段,145.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05330001
RPTNMLMJKHMFFFN98CA,中寮段,39.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,05340000
RPTNMLMJKHMFFFN98CA,中寮段,181.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05340001
