編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVPMLQJKHMFFAO76CA,坡道平面,0,31.27,
RPVPMLQJKHMFFAO76CA,坡道平面,0,27.12,
RPPRMLPKKHMFFAO98CA,一樓平面,1050000,26.55,
RPSSMLPKKHMFFAO76CA,一樓平面,1150000,26.55,
RPRSMLPKKHMFFAO66CA,坡道平面,1050000,26.55,
RPPNMLQJKHMFFAO58CA,坡道平面,0,,
RPQQMLTJKHMFFAO66CA,坡道平面,1150000,29.29,
RPWOMLQJKHMFFAO96EA,坡道平面,0,28.04,
RPPRMLQJKHMFFAO98CA,坡道平面,0,,
RPRPMLMLKHMFFAO78CA,坡道平面,0,,
RPTNMLKKKHMFFAO48CA,坡道平面,0,16.30,
RPTNMLKKKHMFFAO48CA,坡道平面,0,16.30,
RPTPMLSKKHMFFAO86CA,坡道平面,1000000,34.91,
RPUPMLSKKHMFFAO96CA,坡道平面,1000000,34.91,
RPVPMLSKKHMFFAO07CA,坡道平面,1000000,34.91,
RPQOMLLLKHMFFAO48CA,坡道平面,1000000,34.91,
RPROMLLLKHMFFAO58CA,坡道平面,1000000,34.91,
RPPNMLKLLHMFFAO48EA,坡道平面,0,,
RPXNMLKKKHMFFAO88CA,坡道機械,0,,
RPTSMLPKKHMFFAO86CA,坡道平面,0,,
RPVNMLQKKHMFFAO66CA,一樓平面,0,,
RPQOMLOKKHMFFAO68CA,坡道平面,1000000,,
RPSOMLPKKHMFFAO98CA,坡道機械,700000,19.95,
RPVOMLKLKHMFFAO88CA,坡道機械,0,,
RPSOMLOKKHMFFAO88CA,坡道平面,0,,
RPSOMLOKKHMFFAO88CA,坡道平面,0,,
RPSOMLOKKHMFFAO88CA,坡道平面,0,,
RPSOMLOKKHMFFAO88CA,坡道平面,0,,
RPPPMLPKKHMFFAO78CA,坡道機械,700000,19.95,
RPOPMLPKKHMFFAO68CA,坡道機械,750000,19.95,
RPTOMLPKKHMFFAO09CA,坡道機械,750000,19.95,
RPSNMLSJKHMFFAO09CA,坡道平面,0,24.09,
RPUNMLSJKHMFFAO66CA,坡道平面,0,,
RPROMLNKKHMFFAO68CA,坡道平面,0,37.43,
RPRNMLOKKHMFFAO68CA,坡道平面,1000000,33.07,
RPXPMLRKKHMFFAO17CA,坡道平面,0,,
RPUNMLNKKHMFFAO88CA,坡道平面,0,25.46,
RPUNMLNKKHMFFAO88CA,坡道平面,0,25.46,
RPXOMLTJKHMFFAO17CA,坡道平面,900000,27.58,
RPRPMLLJLHMFFAO58CA,坡道平面,0,,
RPWOMLPKKHMFFAO76CA,坡道機械,700000,19.95,
RPUQMLQJLHMFFAO86CA,坡道平面,1100000,28.10,
RPPNMLPJLHMFFAO58CA,坡道平面,0,25.00,
RPPNMLPJLHMFFAO58CA,坡道平面,0,25.00,
RPUOMLPKKHMFFAO56CA,坡道機械,750000,19.95,
RPRNMLSKKHMFFAO09CA,其他,0,7.88,
RPVOMLPKKHMFFAO66CA,坡道機械,750000,19.95,
RPRSMLQJLHMFFAO76CA,坡道平面,1350000,28.10,
RPTSMLQJLHMFFAO96CA,坡道平面,1100000,28.10,
RPVSMLQJLHMFFAO17CA,坡道平面,1200000,28.10,
RPOQMLQJLHMFFAO88CA,坡道平面,1100000,28.10,
RPQQMLQJLHMFFAO09CA,坡道平面,1150000,28.10,
RPSQMLQJLHMFFAO66CA,坡道平面,1200000,28.10,
RPOVMLQJLHMFFAO76CA,坡道平面,1100000,28.10,
RPOSMLQJLHMFFAO09CA,坡道平面,1100000,28.10,
RPQVMLQJLHMFFAO96CA,坡道平面,1200000,28.10,
RPTTMLQJLHMFFAO07CA,坡道平面,1100000,28.10,
RPSTMLQJLHMFFAO96CA,坡道平面,1200000,28.10,
RPWTMLQJLHMFFAO37CA,坡道平面,1100000,28.10,
RPPTMLQJLHMFFAO66CA,坡道平面,1200000,28.10,
RPVPMLQJLHMFFAO86CA,坡道平面,1100000,28.10,
RPSUMLQJLHMFFAO07CA,坡道平面,1100000,28.10,
RPXTMLQJLHMFFAO47CA,坡道平面,1100000,28.10,
RPTUMLQJLHMFFAO17CA,坡道平面,1100000,28.10,
RPPUMLQJLHMFFAO76CA,坡道平面,1100000,28.10,
RPSVMLQJLHMFFAO17CA,坡道平面,1100000,28.10,
RPTVMLQJLHMFFAO27CA,坡道平面,1100000,28.10,
RPXVMLQJLHMFFAO67CA,坡道平面,1100000,28.10,
RPRNMLOLKHMFFAO78CA,坡道平面,1300000,24.79,
RPVRMLQJLHMFFAO07CA,坡道平面,1100000,28.10,
RPSNMLRJLHMFFAO09CA,坡道平面,1100000,28.10,
RPROMLRJLHMFFAO09CA,坡道平面,1100000,28.10,
RPPQMLRJLHMFFAO09CA,坡道平面,1200000,28.10,
RPPQMLRJLHMFFAO09CA,坡道平面,1200000,28.10,
RPOPMLRJLHMFFAO88CA,坡道平面,1100000,28.10,
RPXNMLRJLHMFFAO96CA,坡道平面,1200000,28.10,
RPVOMLRJLHMFFAO86CA,坡道平面,1100000,28.10,
RPOWMLQJLHMFFAO86CA,坡道平面,1350000,28.10,
RPQNMLRJLHMFFAO88CA,坡道平面,1100000,28.10,
RPWQMLRJLHMFFAO17CA,坡道平面,1200000,28.10,
RPXQMLRJLHMFFAO27CA,坡道平面,1200000,28.10,
RPQWMLQJLHMFFAO07CA,坡道平面,1200000,28.10,
RPTPMLRJLHMFFAO76CA,坡道平面,1200000,28.10,
RPWPMLRJLHMFFAO07CA,坡道平面,1200000,28.10,
RPUTMLRJLHMFFAO27CA,坡道平面,1200000,28.10,
RPVTMLRJLHMFFAO37CA,坡道平面,1200000,28.10,
RPSTMLRJLHMFFAO07CA,坡道平面,1100000,28.10,
RPRUMLRJLHMFFAO07CA,坡道平面,1100000,28.10,
RPXTMLRJLHMFFAO57CA,坡道平面,1100000,28.10,
RPTSMLRJLHMFFAO07CA,坡道平面,1200000,28.10,
RPXSMLRJLHMFFAO47CA,坡道平面,1100000,28.10,
RPPUMLRJLHMFFAO86CA,坡道平面,1100000,28.10,
RPOTMLRJLHMFFAO66CA,坡道平面,1200000,28.10,
RPTUMLRJLHMFFAO27CA,坡道平面,1100000,28.10,
RPXUMLRJLHMFFAO67CA,坡道平面,1200000,28.10,
RPWUMLRJLHMFFAO57CA,坡道平面,1100000,28.10,
RPTNPLRJLHMFFAO86CA,坡道平面,1100000,28.10,
RPSQMLRJLHMFFAO76CA,坡道平面,1200000,28.10,
RPXWOLRJLHMFFAO08CA,坡道平面,1200000,28.10,
RPOSMLRJLHMFFAO56CA,坡道平面,1200000,28.10,
RPOOPLRJLHMFFAO09CA,坡道平面,1100000,28.10,
RPUOPLRJLHMFFAO07CA,坡道平面,1200000,28.10,
RPROPLRJLHMFFAO76CA,坡道平面,1200000,28.10,
RPTPPLRJLHMFFAO07CA,坡道平面,1100000,28.10,
RPWPPLRJLHMFFAO37CA,坡道平面,1200000,28.10,
RPPQPLRJLHMFFAO76CA,坡道平面,1100000,28.10,
RPSVMLRJLHMFFAO27CA,坡道平面,1200000,28.10,
RPOWMLRJLHMFFAO96CA,坡道平面,1100000,28.10,
RPOPPLRJLHMFFAO56CA,坡道平面,1200000,28.10,
RPWNMLNKKHMFFAO66EA,坡道機械,0,,
RPTWOLRJLHMFFAO67CA,坡道平面,1200000,28.10,
RPTSPLRJLHMFFAO37CA,坡道平面,1200000,28.10,
RPVSPLRJLHMFFAO57CA,坡道平面,1350000,28.10,
RPXSPLRJLHMFFAO77CA,坡道平面,1200000,28.10,
RPSRPLRJLHMFFAO17CA,坡道平面,1200000,28.10,
RPTRPLRJLHMFFAO27CA,坡道平面,1200000,28.10,
RPTRPLRJLHMFFAO27CA,坡道平面,1200000,28.10,
RPRSPLRJLHMFFAO17CA,坡道平面,1200000,28.10,
RPRSPLRJLHMFFAO17CA,坡道平面,1200000,28.10,
RPXQPLRJLHMFFAO57CA,坡道平面,1200000,28.10,
RPQRPLRJLHMFFAO96CA,坡道平面,1100000,28.10,
RPQRPLRJLHMFFAO96CA,坡道平面,1100000,28.10,
RPOQPLRJLHMFFAO66CA,坡道平面,1200000,28.10,
RPOQPLRJLHMFFAO66CA,坡道平面,1200000,28.10,
RPOQPLRJLHMFFAO66CA,坡道平面,1100000,28.10,
RPXOPLRJLHMFFAO37CA,坡道平面,1200000,28.10,
RPXOPLRJLHMFFAO37CA,坡道平面,1200000,28.10,
RPTOPLRJLHMFFAO96CA,坡道平面,1100000,28.10,
RPTOPLRJLHMFFAO96CA,坡道平面,1100000,28.10,
