編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSJKHMFFEP66CA,新街段,32.00,都市：住,1,1,全筆移轉,05160220
RPQNMLQJKHMFFBP88CA,西岐段,36.70,都市：住,3370,367,持分移轉,06770030
RPQNMLPKKHMFFBP98DA,林子段,275.99,非都市：特定農業區 ; 非都市編定：農牧用地,96,7,持分移轉,12290000
RPQNMLQJKHMFFCP09DA,新街段,2.48,都市：住,5,1,持分移轉,14450000
RPQNMLQJKHMFFCP09DA,新街段,27.20,都市：住,5,1,持分移轉,14460000
RPRNMLQJKHMFFCP56DA,埤頭埧段,2905.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10990000
RPSNMLNJKHMFFBP78CA,東仁段,1667.00,都市：工,1,1,全筆移轉,03520000
RPTNMLNJKHMFFCP09DA,田尾段,582.00,非都市：特定農業區 ; 非都市編定：農牧用地,1703,582,持分移轉,06160000
RPPNMLSJKHMFFFP76CA,尚德段,1311.64,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,11990000
RPPNMLRJKHMFFFP66CA,程海段,228.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,36,4,持分移轉,03100000
RPVNMLNLKHMFFAP66DA,重光段,34.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,17020,3830,持分移轉,12740005
RPVNMLNLKHMFFAP66DA,重光段,158.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12740008
RPTNMLTJKHMFFFP37DA,新中段,26.58,都市：住,17,1,持分移轉,09570016
RPTNMLTJKHMFFFP37DA,新中段,85.50,都市：住,1,1,全筆移轉,09570034
RPQNMLKKKHMFFAP38DA,斗六段,46.44,都市：商,400,157,持分移轉,00380177
RPSNMLNKKHMFFBP98DA,大埤段,437.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14110001
RPTNMLTJKHMFFEP27DA,埔尾段,19.54,都市：商,150336000,2889215,持分移轉,04000000
RPTNMLTJKHMFFEP27DA,埔尾段,19.54,都市：商,150336000,2889215,持分移轉,04000000
RPTNMLRJKHMFFCP96EA,有勸段,2487.04,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04810000
RPPNMLNKKHMFFEP88CA,南陽段,16.13,都市：商,10000,18,持分移轉,01530000
RPUNMLRJKHMFFCP07EA,崙東段,3852.71,都市：農,1,1,全筆移轉,01730000
RPRNMLSJKHMFFCP66CA,公館段,3287.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03780001
RPPNMLTJKHMFFCP56CA,新庄子段大北園小段,67.28,非都市： ; 非都市編定：,1,1,全筆移轉,04630002
RPPNMLOKKHMFFEP98CA,口湖段,2456.50,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,06870000
RPQNMLNKKHMFFCP78CA,有勸段,1369.52,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05170000
RPWNMLRJKHMFFAP86CA,九老爺段,54.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05940004
RPQNMLOKKHMFFBP78CA,田子林段,1840.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,25720000
