編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLSJKHMFFAW17DA,54,42.16,商業用,鋼筋混凝土造,51年8月15日,二層,一層 二層 騎樓
RPSNMLTJKHMFFAW47DA,8,227.64,農舍,鋼筋混凝土造,97年12月25日,二層,一層 二層 陽台 屋頂突出物
RPQNMLTJKHMFFAW27DA,3,57.74,見其他登記事項,鋼筋混凝土造,102年10月25日,三層,一層
RPQNMLTJKHMFFAW27DA,3,4.91,見其他登記事項,鋼筋混凝土造,102年10月25日,三層,
RPTNMLOKKHMFFAW17DA,,88.10,集合住宅,鋼筋混凝土造,105年10月18日,三層,一層 陽台 雨遮
RPTNMLOKKHMFFAW17DA,,6.16,共有部分：本共有部分之項目有樓梯間及雨遮等２項。,鋼筋混凝土造,105年10月18日,三層,
RPRNMLOKKHMFFAW96DA,,88.10,集合住宅,鋼筋混凝土造,105年10月18日,三層,二層 陽台 雨遮
RPRNMLOKKHMFFAW96DA,,6.16,共有部分：本共有部分之項目有樓梯間及雨遮等２項。,鋼筋混凝土造,105年10月18日,三層,
RPSNMLOKKHMFFAW07DA,,88.10,集合住宅,鋼筋混凝土造,105年10月18日,三層,三層 陽台 雨遮
RPSNMLOKKHMFFAW07DA,,6.16,共有部分：本共有部分之項目有樓梯間及雨遮等２項。,鋼筋混凝土造,105年10月18日,三層,
RPXNMLRKKHMFFAW77CA,,56.00,集合住宅,鋼筋混凝土造,105年8月30日,三層,二層 陽台
RPXNMLRKKHMFFAW77CA,,3.26,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,105年8月30日,三層,
RPPOMLRKKHMFFAW07CA,1,91.99,集合住宅,鋼筋混凝土造,105年5月10日,三層,一層
RPPOMLRKKHMFFAW07CA,1,11.14,共有部份：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,105年5月10日,三層,
RPSNMLLJLHMFFAW66CA,,58.04,店舖診所類場所,鋼筋混凝土造,105年11月25日,四層,一層
RPSNMLLJLHMFFAW66CA,,29.81,共有部分：本共有部分之項目有樓梯間、梯廳、安全梯、升降機道及水塔間等５項。,鋼筋混凝土造,105年11月25日,四層,
SPSNMLLJLHMFFAW76CA,,58.80,辦公室,鋼筋混凝土造,105年11月25日,四層,二層 陽台
SPSNMLLJLHMFFAW76CA,,29.81,共有部分：本共有部分之項目有樓梯間、梯廳、安全梯、升降機道及水塔間等５項。,鋼筋混凝土造,105年11月25日,四層,
RPPNMLOLKHMFFAW76CA,,67.01,見其他登記事項,鋼筋混凝土造,106年1月10日,三層,一層
RPPNMLOLKHMFFAW76CA,,6.22,見其他登記事項,鋼筋混凝土造,106年1月10日,三層,
RPSNMLOLKHMFFAW07CA,,67.01,見其他登記事項,鋼筋混凝土造,106年1月10日,三層,三層
RPSNMLOLKHMFFAW07CA,,6.21,見其他登記事項,鋼筋混凝土造,106年1月10日,三層,
RPQNMLMLKHMFFAW66CA,,69.72,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,一層
RPQNMLMLKHMFFAW66CA,,6.11,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,
RPQNMLOLKHMFFAW86CA,,64.78,見其他登記事項,鋼筋混凝土造,106年1月10日,三層,三層
RPQNMLOLKHMFFAW86CA,,5.98,見其他登記事項,鋼筋混凝土造,106年1月10日,三層,
RPRNMLLJLHMFFAW56CA,,151.34,集合住宅,鋼筋混凝土造,105年10月17日,三層,一層 二層 三層 陽台 雨遮
RPSNMLMJLHMFFAW86DA,,153.75,集合住宅,鋼筋混凝土造,105年10月18日,三層,一層 二層 三層 陽台
RPSNMLNJLHMFFAW86CA,,77.17,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,二層
RPSNMLNJLHMFFAW86CA,,6.82,見其他登記事項,鋼筋混凝土造,105年11月9日,三層,
RPSNMLKLLHMFFAW76CA,,73.93,集合住宅,鋼筋混凝土造,105年11月23日,三層,一層
RPSNMLKLLHMFFAW76CA,,4.62,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,105年11月23日,三層,
SPSNMLKLLHMFFAW86CA,,80.84,集合住宅,鋼筋混凝土造,105年11月23日,三層,二層 陽台
SPSNMLKLLHMFFAW86CA,,4.62,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,105年11月23日,三層,
RPQNMLKLLHMFFAW56CA,1,76.80,集合住宅,鋼筋混凝土造,104年12月1日,十層,九層 陽台 雨遮
RPQNMLKLLHMFFAW56CA,1,6.31,共有部分：本共有部分之項目有梯廳１項。,鋼筋混凝土造,104年12月1日,十層,
