編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNJKHMFFAX76DA,後寮段,17.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,30350002
RPPNMLKKKHMFFAX98CA,城北段,1158.12,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09310000
RPQNMLOKKHMFFAX86CA,光榮段,13.76,非都市： ; 非都市編定：,10000,117,持分移轉,04960000
RPPNMLQKKHMFFAX96CA,中衛段,697.87,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16610000
RPRNMLKKKHMFFAX56CA,城北段,1195.80,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09300000
RPSNMLSJKHMFFAX57EA,湖西北段,251.72,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,04330000
RPRNMLSJKHMFFAX47EA,湖西北段,19.62,非都市：一般農業區 ; 非都市編定：農牧用地,12,1,持分移轉,04340000
RPPNMLRJKHMFFAX96CA,吉貝西段,252.63,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,09800000
RPPNMLRJKHMFFAX96CA,吉貝西段,6.38,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,09810000
RPQNMLSJKHMFFAX37EA,湖西北段,125.86,非都市：一般農業區 ; 非都市編定：農牧用地,12,1,持分移轉,04330000
RPQNMLSJKHMFFAX37EA,湖西北段,19.62,非都市：一般農業區 ; 非都市編定：農牧用地,12,1,持分移轉,04340000
RPPNMLOKKHMFFAX76CA,城北段,1318.86,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09760000
RPUNMLSJKHMFFAX77EA,湖西北段,39.24,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,04340000
RPSNMLTJKHMFFAX47CA,林投南段,285.80,非都市： ; 非都市編定：,1,1,全筆移轉,11160000
RPTNMLSJKHMFFAX67EA,湖西北段,125.86,非都市：一般農業區 ; 非都市編定：農牧用地,12,1,持分移轉,04330000
RPPNMLSJKHMFFAX27EA,湖西北段,62.93,非都市：一般農業區 ; 非都市編定：農牧用地,24,1,持分移轉,04330000
RPPNMLSJKHMFFAX27EA,湖西北段,9.81,非都市：一般農業區 ; 非都市編定：農牧用地,24,1,持分移轉,04340000
RPPNMLSJKHMFFAX27EA,湖西北段,46.95,非都市：一般農業區 ; 非都市編定：農牧用地,24,1,持分移轉,04390000
RPPNMLNKKHMFFAX76DA,東石新段,195.82,非都市：一般農業區 ; 非都市編定：農牧用地,100000,52005,持分移轉,04800000
RPRNMLPKKHMFFAX17DA,後寮南段,350.02,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10970000
RPPNMLPKKHMFFAX86CA,文石段,1388.20,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13660000
RPSNMLPKKHMFFAX27DA,中屯新,123.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,15700000
RPQNMLKKOHOFFAX17DA,文化段,173.52,非都市： ; 非都市編定：,1,1,全筆移轉,01960001
RPQNMLPKKHMFFAX17EA,林投南段,12.86,非都市：一般農業區 ; 非都市編定：農牧用地,15,1,持分移轉,00800000
RPQNMLPKKHMFFAX17EA,林投南段,10.44,非都市： ; 非都市編定：,15,1,持分移轉,00800001
RPQNMLPKKHMFFAX17EA,林投南段,143.44,非都市：一般農業區 ; 非都市編定：農牧用地,15,1,持分移轉,00840000
RPQNMLPKKHMFFAX17EA,林投南段,98.20,非都市：一般農業區 ; 非都市編定：農牧用地,10,1,持分移轉,01170000
RPQNMLPKKHMFFAX17EA,林投南段,74.31,非都市：一般農業區 ; 非都市編定：農牧用地,15,1,持分移轉,01250000
RPQNMLPKKHMFFAX17EA,林投南段,2.86,非都市：一般農業區 ; 非都市編定：農牧用地,15,1,持分移轉,01280000
RPQNMLPKKHMFFAX17EA,林投南段,84.74,非都市：一般農業區 ; 非都市編定：農牧用地,10,1,持分移轉,01630000
RPQNMLQKKHMFFAX07CA,山水東段,328.79,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03090000
