編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSOMLMJNHMFFAA47CA,木柵段二小段,14.50,都市：住,4,1,持分移轉,04750000
RPPPMLMJNHMFFBA37CA,福星段四小段,3.10,都市：商,10000,29,持分移轉,03130000
RPRPMLMJNHMFFBA57CA,華中段一小段,51.36,都市：住,100000,674,持分移轉,01180000
RPUSMLPKNHMFFAA48CA,景美段五小段,1.24,都市：其他:市場用地,100000,35,持分移轉,03480000
RPQNMLTJNHMFFBA97CA,青年段一小段,16.57,都市：商,35897,72,持分移轉,01290000
RPPNMLPJNHMFFAA37CA,永昌段四小段,10.53,都市：住,158,1,持分移轉,06380000
RPTNMLNJNHMFFBA67CA,延平段一小段,16.00,都市：商,450,90,持分移轉,06180000
RPTNMLNJNHMFFBA67CA,延平段一小段,15.20,都市：商,450,90,持分移轉,06190000
RPRNMLTJNHMFFAA97CA,興隆段二小段,4.60,都市：住,10000,14,持分移轉,02410000
RPQNMLOJNHMFFBA47CA,福星段二小段,19.00,都市：商,1,1,全筆移轉,03300000
RPQNMLOJNHMFFBA47CA,福星段二小段,50.00,都市：商,1,1,全筆移轉,03310000
RPXNMLKKNHMFFBA87CA,青年段二小段,42.63,都市：住,100000,259,持分移轉,00180000
RPXNMLKKNHMFFBA87CA,青年段一小段,1.80,都市：住,100000,259,持分移轉,07110000
RPXNMLKKNHMFFBA87CA,青年段一小段,.86,都市：住,100000,259,持分移轉,07110003
RPXNMLKKNHMFFBA87CA,青年段二小段,.34,都市：住,100000,259,持分移轉,00180039
RPOOMLLJNHMFFCA17CA,中山段三小段,4.38,都市：商,10000,88,持分移轉,00670000
RPQPMLMKNHMFFBA57CA,雙連段二小段,.16,都市：住,100000,5,持分移轉,07820000
RPPQMLMJNHMFFCA57CA,榮星段五小段,16.22,都市：住,10000,80,持分移轉,05440000
RPUNMLOLNHMFFBA08CA,文昌段一小段,21.93,都市：住,100000,2173,持分移轉,08180000
RPQQMLMJNHMFFCA67CA,潭美段五小段,44.04,都市：住,10000,127,持分移轉,01150000
RPRQMLMJNHMFFCA77CA,金泰段,47.09,都市：住,500000,224,持分移轉,00720000
RPQNMLNJNHMFFCA47CA,西湖段四小段,49.79,都市：其他:科技工業區(A區),100000,3283,持分移轉,00590000
RPRNMLNJNHMFFCA57CA,西湖段四小段,73.55,都市：其他:科技工業區(A區),100000,4850,持分移轉,00590000
RPTQMLMJNHMFFCA97CA,康寧段三小段,23.43,都市：住,100000,1032,持分移轉,00750000
RPXNMLOJNHMFFCA28CA,榮星段五小段,20.91,都市：住,10000,763,持分移轉,01010000
RPRPMLOJNHMFFCA87CA,中山段三小段,8.10,都市：商,10000,108,持分移轉,01900000
RPVNMLKKNHMFFCA77CA,康寧段三小段,55.06,都市：住,33,1,持分移轉,05470002
RPOQMLPKNHMFFCA87CA,碧湖段二小段,21.54,都市：住,5920,90,持分移轉,05120000
RPSNMLPLNHMFFBA97CA,漢中段三小段,4.35,都市：商,100000,117,持分移轉,08160000
RPWOMLTKNHMFFCA88CA,東湖段一小段,1.04,都市：商,10000,8,持分移轉,00320005
RPXOMLTKNHMFFCA98CA,東湖段一小段,.65,都市：商,10000,5,持分移轉,00320005
RPVOMLMLNHMFFCA18CA,石潭段四小段,10.14,都市：住,10000,239,持分移轉,02540001
RPVOMLMLNHMFFCA18CA,石潭段四小段,42.71,都市：住,10000,239,持分移轉,02540000
RPUOMLQLNHMFFCA48CA,石潭段四小段,64.50,都市：住,30000,2370,持分移轉,03050000
RPTNMLPLNHMFFBA08CA,漢中段三小段,5.58,都市：商,100000,150,持分移轉,08160000
RPOPMLLKNHMFFCA37CA,長安段四小段,13.11,都市：住,10000,415,持分移轉,05140000
RPRRMLPJNHMFFCA18CA,吉林段三小段,.26,都市：商,100000,20,持分移轉,08690000
RPUOMLMJNHMFFDA97CA,永吉段二小段,.14,都市：商,10000,1,持分移轉,00830000
RPUOMLMJNHMFFDA97CA,永吉段二小段,.00,都市：商,10000,1,持分移轉,00850001
RPUOMLMJNHMFFDA97CA,永吉段二小段,.00,都市：商,10000,1,持分移轉,01220000
RPQPMLMJNHMFFDA67CA,逸仙段三小段,10.00,都市：住,67,10,持分移轉,04290000
RPQPMLMJNHMFFDA67CA,逸仙段三小段,17.00,都市：住,8,2,持分移轉,04260000
RPRPMLMJNHMFFDA77CA,福德段一小段,44.19,都市：住,16,1,持分移轉,06550000
RPPOMLMJNHMFFDA47CA,寶清段五小段,4.76,都市：商,10000,66,持分移轉,00060000
RPSNMLOJNHMFFDA87CA,玉成段五小段,25.10,都市：住,10000,498,持分移轉,00030000
RPXNMLOJNHMFFDA38CA,吳興段三小段,33.49,都市：住,20000,329,持分移轉,00070008
RPWOMLMKOHMFFBA18CA,延平段一小段,30.60,都市：商,100,30,持分移轉,04950000
RPWOMLMKOHMFFBA18CA,延平段一小段,2.70,都市：其他:特定專用區(供一般商業使用)。,100,30,持分移轉,04950001
