編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLMJNHMFFAB47CC,22,23.15,住家用,鋼筋混凝土造,84年1月13日,十九層,
RPQNMLMJNHMFFAB47CC,22,3.81,共有部份,鋼筋混凝土造,84年1月13日,十九層,
RPQNMLMJNHMFFAB47CC,22,8.34,梯間．水箱．機械室,鋼筋混凝土造,84年1月13日,十九層,
RPQPMLLJNHMFFCB77CC,36,117.22,住商用,鋼筋混凝土造,69年11月18日,三層,
RPRPMLLJNHMFFCB87CC,47,133.51,店舖、住宅,加強磚造,59年7月7日,二層,
RPWNMLLJNHMFFCL66DC,26,187.96,住商用,鋼筋混凝土造,80年8月20日,三層,
RPPPMLLJNHMFFCB67CC,36,80.92,住商用,鋼筋混凝土造,69年11月18日,三層,
RPORMLMJNHMFFCB87CC,28,289.26,住商用,加強磚造,78年3月7日,二層,
RPXOMLLJNHMFFCB48DC,35,197.80,住家用,鋼筋混凝土造,71年7月27日,五層,
RPWNMLLJNHMFFBB08CC,17,98.38,住家用,鋼筋混凝土造,89年2月16日,九層,
RPWNMLLJNHMFFBB08CC,17,78.74,共有部份,鋼筋混凝土造,89年2月16日,九層,
RPRNMLMJNHMFFBB67CC,2,105.07,集合住宅,鋼筋混凝土造,104年4月13日,十五層,
RPRNMLMJNHMFFBB67CC,2,30.27,本共有部分係依使用執照之建築概要表記載項目有：人行道，門廳，公共服務空間，頂蓋型開放空間，外廊，管理員室，環保資源室，緊急昇降機，排煙室，戶外安全梯，梯廳，梯間，樓梯間，水錶室，水箱，機械室等１６項,鋼筋混凝土造,104年4月13日,十五層,
RPRNMLMJNHMFFBB67CC,2,46.86,本共有部分係依使用執照之建築概要表記載項目有：停車空間，消防機房，污水機房，水箱，緊急昇降機，排煙室，一般安全梯，機房，防空避難室兼停車空間，台電配電室，緊急發電機房，電信機房，景觀機房等１３項,鋼筋混凝土造,104年4月13日,十五層,
RPQNMLNJNHMFFBB67CC,2,88.84,住家用,鋼筋混凝土造,103年12月9日,十二層,
