編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLLJNHMFFCF68CC,1,60.82,店舖,鋼筋混凝土構造,105年4月29日,四層,
RPTNMLLJNHMFFDF38CC,21,85.15,住家用,鋼骨鋼筋混凝土造,85年7月10日,二十四層,
RPWNMLLJNHMFFCF58CC,1,89.93,集合住宅,鋼筋混凝土造,105年4月29日,四層,
RPQOMLLJNHMFFAF87CC,40,80.99,住家用,加強磚造,65年11月27日,四層,
RPQNMLLJNHMFFAF97EC,1,109.91,技術服務業,鋼筋混凝土造,105年6月2日,十四層,
RPQNMLLJNHMFFAF97EC,1,84.91,本共有部份項目有：停車空間兼防空避難室、機電設備空間〈Ａ、Ｂ、Ｃ、Ｄ、Ｅ、Ｆ、Ｇ、Ｈ〉、污水處理機房、排煙室、安全梯、排煙排風管道、排煙進風管道、消防泵浦室、水箱、空調進風管道、空調排風管道、供公眾使用停車空間、緊急發電機室、停獎專用安全梯、發電機進風管道、發電機排風管道、電信室、電錶室、台電配電室、機車車道、梯廳、無障礙廁所、女廁、男廁、陽台、緊急升降機、機電設備空間、消防水箱、水箱、電梯機房等３０項。,鋼筋混凝土造,105年6月2日,十四層,
RPPNMLLJNHMFFAF87EC,7,38.44,住家用,鋼骨構造,99年7月15日,四十三層,
RPPNMLLJNHMFFAF87EC,7,1.83,本共有部分之項目有：樓梯間、台電配電室、走道、車道、停車空間、電信機房、梯間、管道間、消防泵浦室、消防水箱、機房、機械室、水箱等１３項,鋼骨構造,99年7月15日,四十六層,
RPPNMLLJNHMFFAF87EC,7,3.68,本共有部分之項目有：頂蓋型開放空間、電梯、樓梯間、社區服務空間１．２．３、廁所、走廊、機車停車空間、梯廳、排煙室、社區服務空間健身房、梯間、機房、機車車道、高壓電表室、發電機室、機械室、電信機房、停車空間、健身房機械室等１９項,鋼骨構造,99年7月15日,四十六層,
RPPNMLLJNHMFFAF87EC,7,8.82,本共有部分之項目有：梯廳、電梯、樓梯間、升降機緩衝機坑、自來水箱、消防水箱、機械室、水箱、排煙室、走廊、梯間、電樓梯間、雨水水箱等１３項,鋼骨構造,99年7月15日,四十三層,
RPPNMLLJNHMFFAF87EC,7,1.38,本共有部分之項目有：梯廳等１項,鋼骨構造,99年7月15日,四十三層,
RPPOMLMJNHMFFDF38EC,20,36.84,商業用,鋼筋混凝土造,86年7月3日,二十六層,
RPRNMLMJNHMFFIF78CC,28,104.63,店鋪、住家、停車間,鋼筋混凝土造,78年6月7日,五層,
RPRNMLMJNHMFFIF78CC,28,119.32,店鋪、住家、停車間,鋼筋混凝土造,78年6月7日,五層,
