編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWOMLLJNHMFFAH48CA,坡道平面,0,29.34,
RPVOMLLJNHMFFAH38CA,坡道平面,1200000,29.34,
RPRPMLNJNHMFFAH28CA,坡道平面,0,,
RPVPMLLJNHMFFAH48CA,坡道平面,0,35.61,
RPPNMLPJNHMFFAH08CA,坡道平面,0,36.59,
RPPOMLMJNHMFFAH87CA,坡道平面,0,57.75,
RPRNMLSJNHMFFAH58CA,坡道平面,0,32.44,
RPXNMLPJNHMFFAH88CA,坡道平面,1650000,29.07,
RPXNMLPJNHMFFAH88CA,坡道平面,1650000,29.07,
RPURMLTJNHMFFAH76CA,坡道平面,0,,
RPPNMLNLNHMFFAH08CA,坡道平面,0,,
RPVNMLPJNHMFFAH68CA,坡道平面,1800000,33.85,
RPWNMLPJNHMFFAH78CA,坡道平面,1650000,29.07,
RPWNMLPJNHMFFAH78CA,坡道平面,1650000,29.07,
RPSRMLMJNHMFFBH58CA,坡道平面,0,21.09,
RPSRMLMJNHMFFBH58CA,坡道平面,0,21.09,
RPXRMLMJNHMFFBH09CA,坡道平面,1000000,27.39,
RPVNMLNJNHMFFBH58CA,一樓平面,0,,
RPQNMLNJNHMFFBH08CA,坡道平面,0,,
RPWRMLSJNHMFFBH96CA,坡道平面,0,21.05,
RPWRMLSJNHMFFBH96CA,坡道平面,0,21.05,
RPPSMLSJNHMFFBH98CA,坡道平面,0,21.05,
RPPSMLSJNHMFFBH98CA,坡道平面,0,21.05,
RPXRMLSJNHMFFBH07CA,坡道平面,1300000,21.05,
RPRSMLSJNHMFFBH56CA,坡道平面,0,21.05,
RPRSMLSJNHMFFBH56CA,坡道平面,0,21.05,
RPXNMLSKNHMFFAH66CA,坡道平面,1100000,29.82,
RPRNMLTJNHMFFBH78CA,坡道平面,0,,
RPSSMLSJNHMFFBH66CA,坡道平面,0,21.05,
RPSSMLSJNHMFFBH66CA,坡道平面,0,21.05,
RPVNMLSKNHMFFAH09CA,坡道平面,1100000,29.82,
RPPPMLKKNHMFFBH97CA,坡道平面,0,59.63,
RPQNMLOJNHMFFCH28CA,坡道平面,1000000,35.78,
RPTNMLPJNHMFFCH68CA,坡道平面,0,,
RPOPMLPLNHMFFBH48CA,坡道平面,0,40.68,
RPWOMLPLNHMFFBH56CA,坡道平面,0,40.68,
RPWNMLLJNHMFFDH68CA,坡道平面,0,,
RPSOMLOLNHMFFBH68CA,坡道平面,0,13.35,
RPOOMLMJNHMFFDH08CA,坡道平面,1150000,27.28,
RPQOMLMJNHMFFDH28CA,坡道平面,1100000,25.28,
RPROMLNJNHMFFDH48CA,坡道平面,1250000,33.66,
RPSNMLLKNHMFFDH38CA,坡道平面,1300000,36.38,
RPRNMLNLNHMFFDH58CA,坡道平面,1000000,36.38,
RPQPMLMKNHMFFEH58CA,一樓平面,0,,
RPQNMLSKNHMFFEH98CA,其他,270000,29.58,
RPRNMLSKNHMFFEH09CA,其他,270000,29.58,
RPVOMLTJNHMFFEH96CA,坡道平面,0,,
RPQRMLNLNHMFFAH58CA,坡道平面,0,31.24,
RPWOMLTJNHMFFEH07CA,坡道平面,0,,
RPTOMLSKNHMFFEH76CA,坡道平面,850000,42.08,
RPSOMLNLNHMFFFH98CA,坡道平面,1200000,31.60,
RPUOMLNLNHMFFFH56CA,坡道平面,1250000,31.60,
RPVOMLNLNHMFFFH66CA,坡道平面,1200000,31.60,
RPRNMLLKNHMFFCH18CA,坡道平面,1150000,27.99,
RPQNMLLKNHMFFCH08CA,坡道平面,1200000,27.99,
RPSNMLPJNHMFFAH48DA,坡道平面,0,41.54,
