鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉政九街３２號十樓之十三,9.15,住,,,1060413,土地1建物1車位1,十層,十層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0970606,58.41,1,1,1,有,有,3700000,63345,坡道機械,5.88,0,,RPPPMLMJNHMFFBJ28CA,29.12,3.13,0.0,,
竹北市,土地,大學段185地號,138.89,住,,,1060218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19800000,142559,,0.0,0,,RPRPMLMJNHMFFBJ48CA,0.0,0.0,0.0,,
新埔鎮,房地(土地+建物),新竹縣新埔鎮大享路９巷３弄１號,406.36,,山坡地保育區,丙種建築用地,1060322,土地7建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0930402,254.15,5,2,3,有,有,18000000,70824,,0.0,0,,RPQNMLNJNHMFFBJ28CA,236.28,0.0,17.87,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路２０３號２０樓,19.05,商,,,1060323,土地1建物1車位1,二十層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041102,232.2,4,2,3,有,有,15900000,75731,坡道平面,35.45,1000000,,RPUOMLNJNHMFFBJ78CA,117.69,4.78,11.49,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明一路３號三樓,28.32,住,,,1060331,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930601,149.51,3,2,2,有,有,8600000,57525,坡道平面,0.0,0,,RPSPMLNJNHMFFBJ68CA,85.73,0.0,6.15,,
竹北市,房地(土地+建物),新竹縣竹北市鳳岡路一段３９８巷２１弄２５號,74.36,,山坡地保育區,丙種建築用地,1060410,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0891123,138.41,4,2,3,有,有,4900000,35402,,0.0,0,,RPPOMLOJNHMFFBJ38CA,125.72,2.27,10.42,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功八路１8８號十六樓之二,20.54,商,,,1060418,土地1建物1車位2,十六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031009,253.22000000000003,4,2,2,有,有,12000000,48284,坡道平面,62.68,2800000,,RPROMLOJNHMFFBJ58CA,110.78,11.74,6.02,,
竹北市,土地,貓兒錠段山腳小段724-1地號,2500.0,,特定農業區,農牧用地,1060307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17771875,7109,,0.0,0,,RPTNMLPJNHMFFBJ78CA,0.0,0.0,0.0,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路一段５２７號十一樓,71.54,住,,,1060427,土地1建物1車位1,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020515,424.87,5,2,3,有,無,29800000,70139,坡道平面,0.0,0,,RPWNMLPJNHMFFBJ09CA,211.15,17.32,27.4,,
