編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLNJNHMFFAM88CA,中寮段,1917.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02620000
RPPNMLOKNHMFFAM58CA,龍眼林段,9738.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07230030
RPTNMLTKNHMFFAM86CA,南田子段,104.76,非都市：一般農業區 ; 非都市編定：農牧用地,21,4,持分移轉,02740000
RPTNMLTKNHMFFAM86CA,南田子段,76.83,非都市：一般農業區 ; 非都市編定：水利用地,12,2,持分移轉,03600000
RPTNMLTKNHMFFAM86CA,南田子段,544.40,非都市：一般農業區 ; 非都市編定：丙種建築用地,2016,136,持分移轉,03710000
RPWNMLOJNHMFFAM56CA,南田子段,1232.01,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03020000
RPUNMLOLNHMFFAM56CA,同源段,92.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05160000
RPVNMLPJNHMFFAM56CA,牛運堀段,398.83,非都市：一般農業區 ; 非都市編定：農牧用地,240,4,持分移轉,05870000
RPOOMLRKNHMFFAM88CA,新?下段,1944.18,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05600000
RPUNMLPKNHMFFAM56CA,茄苳腳段,91.00,都市：住,1,1,全筆移轉,04390022
RPSOMLRKNHMFFAM66CA,二重溪段,275.64,非都市：山坡地保育區 ; 非都市編定：農牧用地,25,1,持分移轉,04060000
RPSOMLRKNHMFFAM66CA,二重溪段,148.96,非都市：山坡地保育區 ; 非都市編定：農牧用地,25,1,持分移轉,04070000
RPTNMLMJNHMFFBM78CA,大堀段,104.93,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03900000
RPPNMLTKNHMFFBM56CA,新埔段,1242.92,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02910000
RPWOMLNJNHMFFBM66CA,新興段,24.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1194,持分移轉,02410000
RPQOMLSJNHMFFCM66CA,虎仔耳段,74.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01350005
RPPOMLLJNHMFFCM48CA,興池段,1937.88,都市：工,1,1,全筆移轉,14210000
RPOOMLLJNHMFFCM38CA,興池段,79.55,都市：住,1,1,全筆移轉,08120000
RPXNMLTJNHMFFCM37CA,水尾段,1058.00,非都市：山坡地保育區 ; 非都市編定：國土保安用地,1,1,全筆移轉,02410039
RPXNMLTJNHMFFCM37CA,水尾段,2246.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02410141
RPXNMLTJNHMFFCM37CA,水尾段,1103.00,非都市：山坡地保育區 ; 非都市編定：國土保安用地,1,1,全筆移轉,02410154
RPXNMLTJNHMFFCM37CA,水尾段,637.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02414190
RPXNMLLJNHMFFCM56CA,興池段,88.20,都市：住,1,1,全筆移轉,08130000
RPRNMLOLNHMFFCM09CA,西塔山段,3428.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00050010
RPRNMLOJNHMFFDM98CA,雲林段,7.97,都市：住,29,1,持分移轉,16540034
RPRNMLOJNHMFFDM98CA,雲林段,17.00,都市：住,1,1,全筆移轉,16540036
RPRNMLOJNHMFFDM98CA,雲林段,99.00,都市：住,1,1,全筆移轉,16540062
