編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLMJNHMFFAO98DC,23,54.92,住家用,鋼筋混凝土造,83年1月31日,九層,
RPPOMLLJNHMFFAO68CC,14,261.14,店舖、住宅,鋼筋混凝土造,92年7月3日,三層,
RPTNMLNJNHMFFAO56CC,2,126.67,店舖,鋼筋混凝土造,104年1月14日,二十三層,
RPTNMLNJNHMFFAO56CC,2,80.09,共有部分,鋼筋混凝土造,104年1月14日,二十三層,
RPTNMLNJNHMFFAO56CC,2,.02,共有部分,鋼筋混凝土造,104年1月14日,二十三層,
RPTNMLOJNHMFFAO66CC,,22.96,住宅、樓梯間,鋼筋混凝土造、加強磚造,,三層,
RPSOMLOJNHMFFAO66CC,,90.41,住家用,鋼筋混凝土造,,五層,
RPVOMLOJNHMFFAO96CC,20,33.61,商業用,鋼筋混凝土造,85年11月5日,十一層,
RPVOMLOJNHMFFAO96CC,20,14.21,避難室兼停車空間商場,鋼筋混凝土造,85年11月5日,十一層,
RPQPMLOJNHMFFAO56CC,23,65.27,住家用,鋼筋混凝土造,83年6月3日,六層,
RPPPMLOJNHMFFAO09CC,20,19.46,集合住宅,鋼筋混凝土造,86年7月15日,十二層,
RPQPMLOJNHMFFAO56CC,23,11.38,共有部分,鋼筋混凝土造,83年6月3日,八層,
RPPPMLOJNHMFFAO09CC,20,.92,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPQPMLOJNHMFFAO56CC,23,9.29,共有部分,鋼筋混凝土造,83年6月3日,八層,
RPPPMLOJNHMFFAO09CC,20,1.13,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPPPMLOJNHMFFAO09CC,20,5.33,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPPPMLOJNHMFFAO09CC,20,3.30,走廊,鋼筋混凝土造,86年7月15日,十二層,
RPWOMLOJNHMFFAO07CC,22,25.23,住家用,鋼筋混凝土造,83年10月29日,六層,
RPWOMLOJNHMFFAO07CC,22,5.42,共有部分,鋼筋混凝土造,83年10月29日,六層,
RPWOMLOJNHMFFAO07CC,22,3.00,共有部分,鋼筋混凝土造,83年10月29日,六層,
RPXOMLOJNHMFFAO17CC,21,29.02,住家用,鋼筋混凝土造,85年9月13日,十二層,
RPXOMLOJNHMFFAO17CC,21,6.52,防空避難室兼停車空間,鋼筋混凝土造,85年9月13日,十二層,
RPRPMLOJNHMFFAO66CC,1,63.44,集合住宅,鋼筋混凝土造,104年11月30日,五層,
RPRPMLOJNHMFFAO66CC,1,35.65,共有部分,鋼筋混凝土造,104年11月30日,五層,
RPVNMLTJNHMFFAO37CC,,91.01,住家用,加強磚造,,四層,
RPVNMLTJNHMFFAO37CC,33,8.61,住家用,鋼筋混凝土造,73年7月14日,五層,
RPPOMLTJNHMFFAO86CC,,82.88,住家用,鋼筋混凝土造,,五層,
RPPOMLTJNHMFFAO86CC,,8.91,共有部分,鋼筋混凝土造,,五層,
RPSPMLOJNHMFFAO76CC,17,30.60,住家用,鋼筋混凝土造,89年4月17日,十四層,
RPSPMLOJNHMFFAO76CC,17,8.72,共有部分,鋼筋混凝土造,89年4月17日,十四層,
RPTNMLTJNHMFFAO17CC,5,133.85,集合住宅,鋼筋混凝土造,101年10月15日,二十五層,
RPTNMLTJNHMFFAO17CC,5,27.53,共有部分,鋼筋混凝土造,101年10月15日,二十五層,
RPTNMLTJNHMFFAO17CC,5,27.52,共有部分,鋼筋混凝土造,101年10月15日,二十五層,
