編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLSJNHMFFAX77CA,中衛段,424.84,非都市： ; 非都市編定：,1,1,全筆移轉,03720000
RPTNMLSJNHMFFAX77CA,中衛段,615.00,非都市： ; 非都市編定：,1,1,全筆移轉,03720002
RPSNMLSJNHMFFAX67CA,尖山中段,50.30,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,13590000
RPSNMLSJNHMFFAX67CA,尖山中段,294.73,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,13600000
RPSNMLSJNHMFFAX67CA,尖山中段,87.78,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,13610000
RPSNMLSJNHMFFAX67CA,尖山中段,15.50,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,13630000
RPPNMLMKNHMFFAX86CA,文石段,128.55,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13600000
RPPNMLPJNHMFFAX07CA,文光段,28.65,非都市： ; 非都市編定：,100000,657,持分移轉,00570000
RPQNMLOJNHMFFAX07CA,,1155.50,非都市： ; 非都市編定：,1,1,全筆移轉,03800000
RPQNMLMKNHMFFAX17EA,林投南段,134.90,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08260000
RPPNMLSJNHMFFAX37CA,,135.53,非都市： ; 非都市編定：,6,1,持分移轉,16140000
RPPNMLSJNHMFFAX37CA,,135.53,非都市： ; 非都市編定：,6,1,持分移轉,16140000
RPPNMLKKNHMFFAX86EA,機場段,3.42,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,10880001
RPSNMLMKNHMFFAX17CA,北極段,67.15,非都市： ; 非都市編定：,2,1,持分移轉,08300000
RPTNMLKKNHMFFAX07CA,,27.09,非都市： ; 非都市編定：,100000,327,持分移轉,00200000
RPTNMLKKNHMFFAX07CA,,3.51,非都市： ; 非都市編定：,100000,327,持分移轉,00540000
RPRNMLLKNHMFFAX96CA,興仁段,44.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,04530000
RPRNMLLKNHMFFAX96CA,興仁段,44.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,04530000
RPSNMLKKNHMFFAX96CA,望安段,8.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03460000
RPSNMLLKNHMFFAX07CA,,487.62,非都市： ; 非都市編定：,1,1,全筆移轉,00990000
