鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中正區,房地(土地+建物),基隆市中正區義一路１９４巷３號,28.0,商,,,1060718,土地1建物1車位0,一層，二層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,0481001,46.46,2,1,1,有,無,2500000,53810,,0.0,0,,RPVNMLNJQHMFFBC38CA,46.46,0.0,0.0,,
中正區,房地(土地+建物),基隆市中正區新豐街３８０號１０樓,13.58,住,,,1060622,土地2建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,76.07000000000001,2,1,1,有,有,2800000,36808,,0.0,0,,RPOOMLNJQHMFFBC77CA,57.47,0.0,6.93,,
信義區,房地(土地+建物),基隆市信義區深澳坑路２之５號１６樓之１８,8.19,住,,,1060708,土地4建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850426,46.83,1,1,1,有,有,1400000,29895,,0.0,0,,RPQOMLNJQHMFFBC97CA,27.74,0.0,8.76,,
信義區,房地(土地+建物)+車位,基隆市信義區正信路１７９之５號２樓,20.36,住,,,1060722,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840302,118.28,3,2,2,有,有,4500000,38045,升降機械,0.0,0,,RPVNMLLJQHMFFBC18CA,84.1,0.0,11.09,,
中正區,土地,調和段548地號,48.58,住,,,1060801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,24702,,0.0,0,,RPPNMLMKQHMFFBC77CA,0.0,0.0,0.0,,
仁愛區,土地,成功段1388地號,47.0,住,,,1060719,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,23404,,0.0,0,含增建或未登記建物。,RPSPMLQKQHMFFBC68CA,0.0,0.0,0.0,,
仁愛區,房地(土地+建物),基隆市仁愛區復興街５２之２號４樓,25.28,住,,,1060701,土地6建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770107,94.59,3,2,2,有,無,3800000,40173,,0.0,0,,RPRNMLTKQHMFFBC68CA,83.55,0.0,11.04,,
暖暖區,房地(土地+建物),基隆市暖暖區過港路１０巷２１０號１０樓,14.01,其他,,,1060712,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850615,66.52,1,2,1,有,有,2850000,42844,,0.0,0,,RPXNMLMJQHMFFCC58CA,52.9,0.0,6.2,,
中山區,土地,大德段756-112地號,196.0,住,,,1060627,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,15306,,0.0,0,含增建或未登記建物。,RPPNMLNJQHMFFCC87CA,0.0,0.0,0.0,,
