編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLPJQHMFFAE08CA,11,136.55,住家用,鋼筋混凝土造,95年8月8日,十五層,十五層 陽台 雨遮
RPPNMLPJQHMFFAE08CA,11,21.28,共有部份,鋼筋混凝土造,95年8月8日,十五層,
RPPNMLPJQHMFFAE08CA,11,50.79,共有部份,鋼筋混凝土造,95年8月8日,十五層,
RPRNMLNJQHMFFAE08CA,35,73.59,住家用,鋼筋混凝土造,71年3月17日,十二層,五層
RPSNMLPKQHMFFAE48CA,18,52.39,住家用,鋼筋混凝土造,88年9月30日,十四層,二層 陽台 雨遮
RPSNMLPKQHMFFAE48CA,18,18.24,共有部份,鋼筋混凝土造,88年9月30日,十四層,
RPROMLSJQHMFFAE68CA,11,54.16,住家用,鋼筋混凝土造,95年8月9日,十五層,十層 陽台 雨遮
RPROMLSJQHMFFAE68CA,11,25.42,共有部份,鋼筋混凝土造,95年8月9日,十五層,
RPPPMLTJQHMFFAE68CA,49,89.99,住家用,加強磚造,57年3月20日,二層,一層 二層
RPUNMLNJQHMFFAE38CA,41,65.94,,鋼筋混凝土造,65年5月19日,四層,四層
RPWNMLNJQHMFFAE58CA,3,232.87,住家用,鋼筋混凝土造,103年12月12日,二十九層,二十一層 陽台 雨遮
RPWNMLNJQHMFFAE58CA,3,129.49,本共有部分之項目有防空避難室兼停車空間、樓梯間、防災中心、外廊、門廳、頂蓋型廣場式開放空間、頂蓋型沿街步道式開放空間、公共服務空間、中繼水箱、出入口緩衝空間、管理員室、管委會使用空間、機械室、水箱等十四項,鋼筋混凝土造,103年12月12日,二十九層,
RPXOMLOKQHMFFAE98CA,34,52.72,住家用,加強磚造,72年7月20日,二層,一層 二層 陽台 夾層
RPXOMLOKQHMFFAE98CA,34,52.72,住家用,加強磚造,72年7月20日,二層,一層 二層 陽台 夾層
RPXNMLNJQHMFFBE78CA,24,24.67,住家用,鋼筋混凝土造,82年10月5日,十二層,九層 花台
