編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLNJQHMFFBJ98CA,黃梨園段,1279.07,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05510000
RPPPMLMJQHMFFBJ58CA,公園段,142.73,都市：住,1,1,全筆移轉,04210004
RPPOMLRJQHMFFBJ98CA,永興段,7.53,都市：商,10000,14,持分移轉,04950000
RPTNMLSJQHMFFBJ76CA,翰林段,130.43,都市：住,1,1,全筆移轉,09240000
RPXNMLOKQHMFFBJ86CA,自強段,42.73,都市：住,10000,190,持分移轉,03480000
RPVNMLOKQHMFFBJ66CA,自強段,42.73,都市：住,10000,190,持分移轉,03480000
RPUNMLOKQHMFFBJ56CA,自強段,42.73,都市：住,10000,190,持分移轉,03480000
RPTNMLOKQHMFFBJ09CA,自強段,42.73,都市：住,10000,190,持分移轉,03480000
RPQNMLNJQHMFFCJ68CA,國王段,58.06,非都市：特定農業區 ; 非都市編定：丁種建築用地,100000,755,持分移轉,05030000
RPQNMLNJQHMFFCJ68CA,國王段,2.10,非都市：特定農業區 ; 非都市編定：丁種建築用地,100000,755,持分移轉,05030016
RPQNMLNJQHMFFCJ68CA,國王段,7.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,134,1,持分移轉,05070000
RPPNMLNJQHMFFCJ58CA,旭光段,26.24,都市：住,10000,115,持分移轉,03420000
RPPNMLNJQHMFFCJ58CA,旭光段,1.05,都市：其他:公園兼兒童遊樂場,10000,115,持分移轉,03420001
RPPNMLNJQHMFFCJ58CA,旭光段,.14,都市：其他:道路用地,10000,115,持分移轉,03420002
RPXOMLNJQHMFFCJ86CA,上德段,123.98,都市：住,1,1,全筆移轉,01230000
RPSNMLRJQHMFFCJ66CA,志學段,24.68,都市：其他:科技商務服務專用區,100000,139,持分移轉,03260000
RPSNMLRJQHMFFCJ66CA,志學段,.19,都市：其他:科技商務服務專用區,100000,139,持分移轉,03260004
RPSNMLRJQHMFFCJ66CA,志學段,.01,都市：其他:科技商務服務專用區,100000,139,持分移轉,03260005
RPPPMLLJQHMFFCJ58CA,雞油凸段八分寮小段,36.42,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,12,1,持分移轉,00350000
RPRNMLMJQHMFFCJ68CA,鄉所段,425.04,都市：住,1,1,全筆移轉,01450000
RPRNMLMJQHMFFCJ68CA,鄉所段,2.55,都市：住,1,1,全筆移轉,01450001
RPRNMLMJQHMFFCJ68CA,鄉所段,336.83,都市：住,1,1,全筆移轉,01460000
RPTNMLNJQHMFFDJ09CA,中義段,109.42,都市：住,1,1,全筆移轉,05410000
RPQOMLOJQHMFFDJ98CA,中義段,73.21,都市：住,1,1,全筆移轉,00710051
RPQOMLOJQHMFFDJ98CA,中義段,25.02,都市：住,18,1,持分移轉,00710000
RPROMLOJQHMFFDJ09CA,青埔子段,1545.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04180000
RPROMLOJQHMFFDJ09CA,青埔子段,901.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04190000
RPROMLOJQHMFFDJ09CA,青埔子段,525.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04200000
RPROMLOJQHMFFDJ09CA,青埔子段,1125.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16890000
RPQNMLSJQHMFFDJ66CA,德興段,15.41,非都市：特定農業區 ; 非都市編定：農牧用地,480,4,持分移轉,07030000
RPQNMLSJQHMFFDJ66CA,德興段,4.92,非都市：特定農業區 ; 非都市編定：甲種建築用地,480,4,持分移轉,06720000
RPQNMLSJQHMFFDJ66CA,德興段,30.70,非都市：特定農業區 ; 非都市編定：農牧用地,480,4,持分移轉,06730000
RPQNMLSJQHMFFDJ66CA,德興段,6.95,非都市：特定農業區 ; 非都市編定：甲種建築用地,480,4,持分移轉,07060000
RPQNMLSJQHMFFDJ66CA,德興段,31.02,非都市：特定農業區 ; 非都市編定：農牧用地,480,4,持分移轉,07270000
RPQNMLSJQHMFFDJ66CA,德興段,20.33,非都市：特定農業區 ; 非都市編定：農牧用地,480,4,持分移轉,07280000
RPPNMLKKQHMFFDJ48CA,福陽段,30.64,非都市：一般農業區 ; 非都市編定：甲種建築用地,1000,19,持分移轉,05510000
RPQNMLOKQHMFFBJ78CA,家興段,44.01,都市：商,100000,1865,持分移轉,04270000
RPROMLKKQHMFFDJ78CA,中崙段,14.88,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,29,持分移轉,17440000
RPROMLKKQHMFFDJ78CA,中崙段,14.88,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,29,持分移轉,17440000
RPPNMLNKQHMFFDJ78CA,福陽段,26.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1101,持分移轉,02180002
RPPNMLNKQHMFFDJ78CA,福陽段,.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,570,持分移轉,03230000
RPSNMLMKQHMFFDJ98CA,福陽段,26.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1101,持分移轉,02180002
RPSNMLMKQHMFFDJ98CA,福陽段,.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,570,持分移轉,03230000
RPOOMLPKQHMFFCJ88CA,志學段,25.75,都市：其他:科技商務服務專用區,100000,145,持分移轉,03260000
RPOOMLPKQHMFFCJ88CA,志學段,.20,都市：其他:科技商務服務專用區,100000,145,持分移轉,03260004
RPOOMLPKQHMFFCJ88CA,志學段,.01,都市：其他:道路用地,100000,145,持分移轉,03260005
RPRNMLNKQHMFFDJ98CA,福陽段,26.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1109,持分移轉,02180002
RPRNMLNKQHMFFDJ98CA,福陽段,.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,574,持分移轉,03230000
RPQNMLNKQHMFFDJ88CA,福陽段,26.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1101,持分移轉,02180002
RPQNMLNKQHMFFDJ88CA,福陽段,.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,570,持分移轉,03230000
RPSNMLNKQHMFFDJ09CA,福陽段,27.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1166,持分移轉,02180002
RPSNMLNKQHMFFDJ09CA,福陽段,.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,603,持分移轉,03230000
RPVNMLNKQHMFFDJ76CA,福陽段,26.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1109,持分移轉,02180002
RPVNMLNKQHMFFDJ76CA,福陽段,.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,574,持分移轉,03230000
RPTOMLKMQHMFFBJ98CA,正興段,1087.84,都市：工,12,7,持分移轉,10180000
RPTOMLKMQHMFFBJ98CA,正興段,883.02,都市：工,12,7,持分移轉,10210000
RPTOMLKMQHMFFBJ98CA,正興段,211.99,都市：工,12,7,持分移轉,10210002
RPVOMLKMQHMFFBJ56CA,正興段,327.81,都市：農,12,1,持分移轉,10050000
RPVOMLKMQHMFFBJ56CA,正興段,3.84,都市：農,12,1,持分移轉,10050001
RPUOMLKMQHMFFBJ09CA,正興段,2294.67,都市：農,12,7,持分移轉,10050000
RPUOMLKMQHMFFBJ09CA,正興段,26.86,都市：農,12,7,持分移轉,10050001
RPWOMLKMQHMFFBJ66CA,正興段,983.43,都市：農,4,1,持分移轉,10050000
RPWOMLKMQHMFFBJ66CA,正興段,11.51,都市：農,4,1,持分移轉,10050001
RPXOMLKMQHMFFBJ76CA,正興段,155.40,都市：工,12,1,持分移轉,10180000
RPXOMLKMQHMFFBJ76CA,正興段,126.15,都市：工,12,1,持分移轉,10210000
RPXOMLKMQHMFFBJ76CA,正興段,30.28,都市：工,12,1,持分移轉,10210002
RPQOMLKMQHMFFBJ68CA,正興段,466.22,都市：工,4,1,持分移轉,10180000
RPQOMLKMQHMFFBJ68CA,正興段,378.44,都市：工,4,1,持分移轉,10210000
RPQOMLKMQHMFFBJ68CA,正興段,90.85,都市：工,4,1,持分移轉,10210002
RPVNMLOJQHMFFBJ56CA,縣華段,59.13,都市：住,1,1,全筆移轉,05410002
RPVNMLOJQHMFFBJ56CA,縣華段,20.28,都市：住,9,1,持分移轉,05410005
RPPPMLSKQHMFFDJ86CA,福陽段,21.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,915,持分移轉,02180002
RPPPMLSKQHMFFDJ86CA,福陽段,.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,473,持分移轉,03230000
SPXOMLSKQHMFFDJ67CA,福陽段,21.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,915,持分移轉,02180002
SPXOMLSKQHMFFDJ67CA,福陽段,.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,473,持分移轉,03230000
RPTOMLSKQHMFFDJ17CA,福陽段,21.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,917,持分移轉,02180002
RPTOMLSKQHMFFDJ17CA,福陽段,.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,474,持分移轉,03230000
RPSOMLSKQHMFFDJ07CA,福陽段,21.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,917,持分移轉,02180002
RPSOMLSKQHMFFDJ07CA,福陽段,.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,474,持分移轉,03230000
RPVOMLSKQHMFFDJ37CA,福陽段,21.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,917,持分移轉,02180002
RPVOMLSKQHMFFDJ37CA,福陽段,.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,474,持分移轉,03230000
RPWOMLSKQHMFFDJ47CA,福陽段,20.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,860,持分移轉,02180002
RPWOMLSKQHMFFDJ47CA,福陽段,.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,445,持分移轉,03230000
RPUOMLSKQHMFFDJ27CA,福陽段,21.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,917,持分移轉,02180002
