編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLMJQHMFFAP96CA,23,75.61,住家用,鋼筋混凝土造,83年7月1日,九層,九層 陽台
RPWNMLMJQHMFFAP96CA,23,31.51,共有部份,鋼筋混凝土造,83年7月1日,九層,
RPWNMLMJQHMFFAP96CA,23,14.85,共有部份,鋼筋混凝土造,83年7月1日,九層,
RPOOMLMJQHMFFAP88CA,32,116.28,住家用,加強磚造,74年4月10日,二層,一層 二層 騎樓 電梯樓梯間
RPQNMLNJQHMFFAP09CA,13,248.03,住家用,鋼筋混凝土造,93年8月18日,四層,一層 二層 三層 四層 見其他登記事項
RPPOMLMJQHMFFAP98CA,50,36.63,住家用,竹造,56年1月1日,一層,一層
RPRNMLNJQHMFFAP56CA,36,113.47,住商用,加強磚造,70年12月25日,二層,一層 二層 騎樓 電梯樓梯間
RPSNMLOKQHMFFAP86CA,1,70.56,集合住宅,鋼筋混凝土造,105年6月30日,七層,三層 陽台
RPSNMLOKQHMFFAP86CA,1,33.24,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPTNMLOKQHMFFAP96CA,1,70.56,集合住宅,鋼筋混凝土造,105年6月30日,七層,三層 陽台
RPTNMLOKQHMFFAP96CA,1,33.24,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPPNMLOKQHMFFAP56CA,1,70.56,集合住宅,鋼筋混凝土造,105年6月30日,七層,四層 陽台
RPPNMLOKQHMFFAP56CA,1,63.04,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPQNMLOKQHMFFAP66CA,2,104.25,集合住宅,鋼筋混凝土造,105年6月30日,七層,五層 陽台
RPQNMLOKQHMFFAP66CA,2,78.92,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPRNMLOKQHMFFAP76CA,2,71.73,集合住宅,鋼筋混凝土造,105年6月30日,七層,六層 陽台
RPRNMLOKQHMFFAP76CA,2,33.80,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPUNMLOKQHMFFAP07CA,2,86.63,集合住宅,鋼筋混凝土造,105年6月30日,七層,四層 陽台
RPUNMLOKQHMFFAP07CA,2,70.62,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPTNMLNJQHMFFDP07CA,16,162.40,住家用,鋼筋混凝土造,90年4月11日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLOJQHMFFDP76CA,19,171.60,住家用,鋼筋混凝土造,87年1月19日,三層,一層 二層 三層 陽台 平台 電梯樓梯間
RPPNMLSJQHMFFDP17CA,2,210.39,住家用,鋼筋混凝土造,104年4月17日,四層,一層 二層 三層 四層 陽台 雨遮
RPUNMLKKQHMFFDP96CA,1,112.23,集合住宅,鋼筋混凝土造,106年4月11日,七層,三層 陽台
RPUNMLKKQHMFFDP96CA,1,85.40,防空避難室兼停車空間、梯間、機電、機械室、機電設備空間、管理維護空間、門廊、走廊,鋼筋混凝土造,106年4月11日,七層,
RPTOMLOKQHMFFAP07CA,1,70.56,集合住宅,鋼筋混凝土造,105年6月30日,七層,五層 陽台
RPTOMLOKQHMFFAP07CA,1,33.24,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPSOMLOKQHMFFAP96CA,2,70.56,集合住宅,鋼筋混凝土造,105年6月30日,七層,五層 陽台
RPSOMLOKQHMFFAP96CA,2,63.04,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPVNMLKKQHMFFDP07CA,2,108.66,集合住宅,鋼筋混凝土造,106年4月11日,七層,四層 陽台
RPVNMLKKQHMFFDP07CA,2,50.74,防空避難室兼停車空間、梯間、機電、機械室、機電設備空間、管理維護空間、門廊、走廊,鋼筋混凝土造,106年4月11日,七層,
RPQNMLKKQHMFFDP56CA,24,132.96,住家用,鋼筋混凝土造,82年3月8日,三層,一層 二層 三層 陽台
RPPNMLPKQHMFFFP17CA,18,77.05,住家用,鋼筋混凝土造,88年1月13日,八層,四層 陽台
RPPNMLPKQHMFFFP17CA,18,18.65,避難室兼停車空間、水箱、消防機械室、台電受電室、電梯、樓梯間、車道,鋼筋混凝土造,88年1月13日,八層,
RPPNMLPKQHMFFFP17CA,18,8.71,電梯、樓梯間、機械室、水箱,鋼筋混凝土造,88年1月13日,八層,
RPROMLOKQHMFFAP86CA,2,86.66,集合住宅,鋼筋混凝土造,105年6月30日,七層,三層 陽台
RPROMLOKQHMFFAP86CA,2,40.83,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPWNMLSLQHMFFAP77CA,22,22.72,住家用,鋼筋混凝土造,84年12月29日,七層,五層 陽台
RPWNMLSLQHMFFAP77CA,22,21.27,共有部份,鋼筋混凝土造,84年12月29日,七層,
RPTNMLTLQHMFFAP57CA,24,183.01,住家用,鋼筋混凝土造,82年12月12日,三層,一層 二層 三層 陽台 平台 電梯樓梯間
RPSNMLNJQHMFFFP27DA,1,183.38,店鋪，停車空間，住宅，梯間,鋼筋混凝土造,105年4月20日,三層,見其他登記事項 見其他登記事項
RPQNMLNJQHMFFCP86EA,1,165.93,住家用,鋼筋混凝土造,105年5月5日,三層,一層 二層 三層 陽台
RPPNMLNJQHMFFEP86DA,25,117.34,見其他登記事項,鋼筋混凝土造,81年10月16日,五層,五層
RPPNMLNJQHMFFEP86DA,25,.94,共有部份,鋼筋混凝土加強磚造,81年10月16日,,
RPOOMLOJRHMFFAP56CA,18,172.84,住家用,鋼筋混凝土造,88年4月12日,三層,一層 二層 三層 陽台 電梯樓梯間
RPQNMLRJQHMFFEP27CA,37,77.20,住商用,鋼筋混凝土加強磚造,69年6月30日,二層,一層 二層 騎樓
RPUNMLMJQHMFFEP17CA,25,76.88,住家用,加強磚造,82年1月12日,二層,一層 二層 陽台
RPRNMLSJQHMFFCP27CA,1,345.63,住宅、樓梯間,鋼筋混凝土造,105年6月4日,四層,一層 二層 三層 四層 陽台 見其他登記事項
