編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOQMLLJQHMFFAP66EB,東陽段,96.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210007
RPSNMLNJQHMFFAP96EB,東陽段,96.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210005
RPVNMLNJQHMFFAP27EB,東陽段,105.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210004
RPXNMLNJQHMFFAP47EB,東陽段,152.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210024
RPXNMLNJQHMFFAP47EB,東陽段,23.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210063
RPPOMLOJQHMFFAP86EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210014
RPPOMLOJQHMFFAP86EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210062
RPPOMLOJQHMFFAP86EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210000
RPXOMLNJQHMFFAP57EB,東陽段,102.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210017
RPXOMLNJQHMFFAP57EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210062
RPXOMLNJQHMFFAP57EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210000
RPPOMLNJQHMFFAP76EB,東陽段,108.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210026
RPPOMLNJQHMFFAP76EB,東陽段,3.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210065
RPPOMLNJQHMFFAP76EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210000
RPPOMLNJQHMFFAP76EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210062
RPOOMLOJQHMFFAP76EB,東陽段,104.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210015
RPOOMLOJQHMFFAP76EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210062
RPOOMLOJQHMFFAP76EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210000
RPSOMLNJQHMFFAP07EB,東陽段,99.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210021
RPSOMLNJQHMFFAP07EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210062
RPSOMLNJQHMFFAP07EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210000
RPTOMLNJQHMFFAP17EB,東陽段,100.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210019
RPTOMLNJQHMFFAP17EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210062
RPTOMLNJQHMFFAP17EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210000
RPQOMLNJQHMFFAP86EB,東陽段,121.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210028
RPQOMLNJQHMFFAP86EB,東陽段,2.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210067
RPUOMLNJQHMFFAP27EB,東陽段,102.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210018
RPUOMLNJQHMFFAP27EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210062
RPUOMLNJQHMFFAP27EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210000
RPQOMLOJQHMFFAP96EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210013
RPQOMLOJQHMFFAP96EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210062
RPQOMLOJQHMFFAP96EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210000
RPROMLNJQHMFFAP96EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210022
RPROMLNJQHMFFAP96EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210062
RPROMLNJQHMFFAP96EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210000
RPROMLOJQHMFFAP07EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210012
RPROMLOJQHMFFAP07EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210062
RPROMLOJQHMFFAP07EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210000
RPSOMLOJQHMFFAP17EB,東陽段,97.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210011
RPSOMLOJQHMFFAP17EB,東陽段,.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210062
RPSOMLOJQHMFFAP17EB,東陽段,22.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,33,1,持分移轉,16210000
RPSOMLOJQHMFFAP17EB,東陽段,1.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210089
RPPPMLOJQHMFFAP96EB,東陽段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,16210036
