鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
台東市,房地(土地+建物),臺東縣臺東市豐田路１８號,120.64,住,,,1060620,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0811216,151.54,4,2,2,有,無,4550000,30025,,0.0,0,,RPSOMLMJQHMFFAV27CA,151.54,0.0,0.0,,
卑南鄉,土地,利家段8243地號,52.0,,鄉村區,乙種建築用地,1060719,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,9615,,0.0,0,含增建或未登記建物。,RPTOMLLJQHMFFAV27CA,0.0,0.0,0.0,,
台東市,房地(土地+建物),臺東縣臺東市貴陽街３６巷７弄６號,159.1,住,,,1060627,土地3建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0620316,39.48,1,1,2,有,無,4100000,103850,,0.0,0,,RPPNMLMJQHMFFAV86CA,39.48,0.0,0.0,,
台東市,房地(土地+建物),臺東縣臺東市廣東路６６號,174.0,住,,,1060606,土地1建物1車位0,全,一層,透天厝,住家用,木造,,114.05,0,0,0,無,無,7890000,69180,,0.0,0,,RPQNMLNKQHMFFAV17CA,0.0,0.0,0.0,,
關山鎮,土地,電光段527地號,529.06,,特定農業區,農牧用地,1060629,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,378,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLSJQHMFFCV87CA,0.0,0.0,0.0,,
台東市,土地,建本段414-1地號,7.13,其他,,,1060615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,47058,6600,,0.0,0,協議價購,RPPNMLNJQHMFFAV07DA,0.0,0.0,0.0,,
台東市,土地,建本段416地號,405.38,其他,,,1060615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2675508,6600,,0.0,0,協議價購,RPQNMLNJQHMFFAV17DA,0.0,0.0,0.0,,
台東市,土地,建本段422地號,478.59,其他,,,1060615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3158694,6600,,0.0,0,協議價購,RPRNMLNJQHMFFAV27DA,0.0,0.0,0.0,,
台東市,土地,建本段493地號,103.14,其他,,,1060615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,680724,6600,,0.0,0,協議價購,RPSNMLNJQHMFFAV37DA,0.0,0.0,0.0,,
