編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLSJQHMFFAX67CA,29,64.59,住商用,鋼筋混凝土造,78年1月20日,五層,一層 二層 三層 四層 五層 地下層
RPRNMLRJQHMFFAX77CA,1,296.36,住家用,鋼筋混凝土造,105年5月4日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPPNMLNJQHMFFAX17CA,48,61.60,住家用,鋼筋混凝土加強空心磚造,58年4月8日,二層,一層 二層
RPRNMLTJQHMFFAX97CA,11,125.32,集合住宅,鋼筋混凝土造,95年6月29日,十三層,十一層 陽台
RPRNMLTJQHMFFAX97CA,11,84.98,共用部份,鋼筋混凝土造,95年6月29日,十四層,
RPQNMLOJQHMFFAX37CA,39,89.46,住家用,鋼筋混凝土加強磚造,67年8月28日,二層,一層 二層 電梯樓梯間
RPQNMLTJQHMFFAX87CA,55,41.18,住商用,鋼筋混凝土加強空心磚造,51年8月10日,二層,一層 二層
RPTNMLTJQHMFFAX18CA,,66.13,集合住宅,鋼筋混凝土造,106年3月28日,十層,七層 見其他登記事項
RPTNMLTJQHMFFAX18CA,,27.69,共同使用,鋼筋混凝土造,106年3月28日,十層,
RPQNMLOJRHMFFAX47CA,,277.89,住商用,鋼筋混凝土造,106年6月2日,四層,一層 二層 三層 四層 見其他登記事項 見其他登記事項
RPPNMLSLQHMFFAX87CA,33,101.20,見其他登記事項,鋼筋混凝土加強磚造,73年3月6日,三層,一層 二層 三層
RPPNMLMKQHMFFAX17CA,17,116.15,住家用,鋼筋混凝土造,89年2月19日,六層,六層 見其他登記事項
RPPNMLMKQHMFFAX17CA,17,23.30,停車位，電樓梯間,鋼筋混凝土造,89年2月19日,六層,
RPPNMLMKQHMFFAX17CA,17,14.19,電樓梯間，梯間,鋼筋混凝土造,89年2月19日,六層,
RPQNMLKKQHMFFAX27EA,23,147.39,國民住宅,鋼筋混凝土造,83年5月25日,三層,一層 二層 三層 見其他登記事項
RPRNMLLKQHMFFAX27CA,,277.70,住家用,鋼筋混凝土造,106年5月8日,四層,一層 二層 三層 四層 見其他登記事項 見其他登記事項
RPWNMLTJQHMFFAX48CA,44,96.16,住家用,加強磚造,62年2月1日,二層,一層 二層
RPXOMLOKNHOFFAX18CA,21,34.08,住家用,鋼筋混凝土造,85年3月8日,十層,四層 見其他登記事項
RPXOMLOKNHOFFAX18CA,21,7.96,停車場、梯間、機械房、蓄水池、電樓梯間、走道（１～１０樓）,鋼筋混凝土造,85年3月8日,十層,
RPSNMLRKQHMFFAX97CA,48,116.40,住商用,鋼筋混凝土加強磚造,58年5月19日,三層,一層 二層 三層
RPQNMLLLQHMFFAX27CA,17,204.07,住家用,鋼筋混凝土造,89年5月17日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項
RPPNMLKMQHMFFAX27DA,11,106.20,集合住宅,鋼筋混凝土造,95年7月10日,十層,九層 陽台
RPPNMLKMQHMFFAX27DA,11,68.62,共用部份,鋼筋混凝土造,95年7月10日,十四層,
RPPNMLNLQHMFFAX37CA,40,85.19,住家用,鋼筋混凝土加強磚造,66年11月11日,五層,三層 騎樓
RPRPMLOKNHOFFAX67CA,,83.58,集合住宅,鋼筋混凝土造,106年1月17日,五層,四層 見其他登記事項
RPRPMLOKNHOFFAX67CA,,32.13,共有部份,鋼筋混凝土造,106年1月17日,五層,
RPQPMLOKNHOFFAX57CA,23,110.42,集合住宅,鋼筋混凝土造,84年1月19日,五層,四層 見其他登記事項
RPQPMLOKNHOFFAX57CA,23,8.41,樓梯間,鋼筋混凝土造,84年1月19日,五層,
RPVNMLTLQHMFFAX68DA,,66.13,集合住宅,鋼筋混凝土造,106年3月28日,十層,十層 見其他登記事項
RPVNMLTLQHMFFAX68DA,,51.00,共同使用,鋼筋混凝土造,106年3月28日,十層,
RPXNMLTLQHMFFAX78CA,,79.50,集合住宅,鋼筋混凝土造,106年3月28日,十層,九層 見其他登記事項
RPXNMLTLQHMFFAX78CA,,54.71,共同使用,鋼筋混凝土造,106年3月28日,十層,
SPXNMLTLQHMFFAX88CA,,.00,集合住宅,鋼筋混凝土造,106年3月28日,十層,一層 見其他登記事項
RPQNMLPJRHMFFAX57CA,,265.96,住家用,鋼筋混凝土造,106年5月23日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPRNMLMKRHMFFAX47CA,34,94.39,住家用,鋼筋混凝土加強磚造,72年11月23日,二層,一層 二層 電梯樓梯間
RPPNMLLKRHMFFAX17CA,,257.87,住家用,鋼筋混凝土造,106年5月23日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPQNMLSJRHMFFAX87CA,23,113.85,住家用,鋼筋混凝土造,83年5月9日,七層,二層 見其他登記事項
RPQNMLSJRHMFFAX87CA,23,2.46,梯間,鋼筋混凝土造,83年5月9日,七層,
RPQNMLSJRHMFFAX87CA,23,11.37,電梯間,鋼筋混凝土造,83年5月9日,七層,
RPQNMLSJRHMFFAX87CA,23,23.28,機械室、避難室,鋼筋混凝土造,83年5月9日,七層,
RPQNMLMKRHMFFAX37CA,39,79.38,住家用,鋼筋混凝土加強磚造,67年8月28日,二層,一層 二層 電梯樓梯間
RPPNMLMJIIMFFAX09DA,11,108.47,集合住宅,鋼筋混凝土造,95年6月29日,十二層,十一層 陽台
RPPNMLMJIIMFFAX09DA,11,72.20,共用部份,鋼筋混凝土造,95年6月29日,十四層,
RPVOMLOKNHOFFAX97CA,21,107.23,住家用,鋼筋混凝土造,85年3月8日,十層,八層 見其他登記事項
RPVOMLOKNHOFFAX97CA,21,29.54,停車場、梯間、機械房、蓄水池、電樓梯間、走道（１～１０樓）,鋼筋混凝土造,85年3月8日,十層,
RPVNMLSJRHMFFAX38CA,25,112.24,住家用,鋼筋混凝土造,81年9月18日,七層,五層 六層
RPVNMLSJRHMFFAX38CA,25,21.59,電梯間．梯間,鋼筋混凝土造,81年9月18日,七層,
RPPPMLOKNHOFFAX47CA,19,90.32,住家用,鋼筋混凝土造,87年7月23日,十層,四層 見其他登記事項
RPPPMLOKNHOFFAX47CA,19,21.67,見其他登記事項,鋼筋混凝土造,87年7月23日,十層,
RPSNMLQLRHMFFAX18DA,18,261.52,住家用,加強磚造,88年12月16日,二層,一層 二層
RPQNMLLLRHMFFAX37CA,,257.87,住家用,鋼筋混凝土造,106年5月23日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPQNMLKLRHMFFAX27CA,24,98.93,住家用,鋼筋混凝土加強磚造,82年8月27日,一層,一層 陽台 電梯樓梯間
RPSNMLLLRHMFFAX57CA,32,30.38,商業用,空心磚造,75年1月30日,一層,一層
RPPNMLSLRHMFFAX97CA,30,123.39,住家用,鋼筋混凝土加強磚造,76年7月9日,二層,一層 二層 電梯樓梯間 夾層
RPPNMLQLIIMFFAX17EA,98,113.16,住家用,造,8年1月1日,一層,一層
RPRNMLKMRHMFFAX47CA,39,191.67,住商用,鋼筋混凝土造,67年10月3日,三層,一層 二層 三層 電梯樓梯間 地下層
SPQNMLNKIIMFFAX76CA,33,38.02,集合住宅,鋼筋混凝土造,73年6月29日,五層,一層 二層 騎樓
SPRNMLNJIIMFFAX76CA,,87.34,集合住宅,鋼筋混凝土造,,,
RPQNMLNJIIMFFAX56CA,,324.40,住家用,鋼筋混凝土造,,,
RPVNMLPJIIMFFAX27CA,12,192.09,住家用,鋼筋混凝土造,94年8月1日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPPNMLQJIIMFFAX96EA,,194.10,住家用,鋼筋混凝土加強磚造,,,
RPQNMLMKIIMFFAX56CA,39,72.12,住家用,鋼筋混凝土加強磚造,67年3月31日,二層,一層 二層 電梯樓梯間
RPPNMLKLIIMFFAX98CA,2,188.94,住家用,鋼筋混凝土造,104年12月21日,三層,一層 二層 三層 見其他登記事項
RPWNMLRJJIMFFAX87EA,,88.06,住家用,鋼筋混凝土造,,,
RPWNMLRJJIMFFAX87EA,,26.02,避難室,鋼筋混凝土造,,,
RPWNMLRJJIMFFAX87EA,,7.66,電樓梯間,鋼筋混凝土造,,,
RPSNMLKMIIMFFAX76CA,,239.03,住家用,鋼筋混凝土造,106年8月2日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPTNMLTKIIMFFAX67DA,33,76.05,集合住宅,鋼筋混凝土造,73年6月29日,五層,一層 二層 騎樓
RPTOMLOKNHOFFAX77CA,37,85.58,住家用,鋼筋混凝土加強磚造,69年3月31日,二層,一層 二層 電梯樓梯間
RPPNMLPLIIMFFAX86CA,38,83.49,住家用,鋼筋混凝土加強磚造,68年4月25日,二層,一層 二層 電梯樓梯間
RPQNMLKLIIMFFAX09CA,2,290.36,住家用,鋼筋混凝土造,104年9月8日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPQNMLRLIIMFFAX17CA,21,189.89,住家用,鋼筋混凝土造,85年4月25日,五層,一層 二層 三層 四層 五層
RPSNMLNLIIMFFAX96CA,23,48.06,住家用,鋼筋混凝土造,83年6月1日,七層,四層 見其他登記事項
RPSNMLNLIIMFFAX96CA,23,9.46,梯間,鋼筋混凝土造,83年6月1日,七層,
RPSNMLNLIIMFFAX96CA,23,3.60,避難室,鋼筋混凝土造,83年6月1日,七層,
RPRNMLKMIIMFFAX66CA,,239.03,住家用,鋼筋混凝土造,106年8月2日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPRNMLRLIIMFFAX27CA,46,72.88,住家用,鋼筋混凝土加強空心磚造,61年3月15日,二層,一層 二層
RPPNMLTJJIMFFAX17CA,,542.91,住家用,鋼筋混凝土造,,,
RPSNMLOLIIMFFAX17DA,11,106.29,集合住宅,鋼筋混凝土造,95年7月10日,十四層,十一層 陽台
RPSNMLOLIIMFFAX17DA,11,67.26,共用部份,鋼筋混凝土造,95年7月10日,十四層,
RPRNMLSJJIMFFAX37DA,,14.27,住家用,造,,一層,一層
RPSNMLLMIIMFFAX86CA,39,74.36,住家用,鋼筋混凝土加強磚造,67年6月23日,五層,五層 電梯樓梯間
RPXNMLLMIIMFFAX37CA,1,241.99,住家用,鋼筋混凝土造,105年8月30日,三層,一層 二層 三層 見其他登記事項
RPPNMLLJJIMFFAX98CA,35,144.52,住商用,鋼筋混凝土造,72年1月25日,三層,一層 二層 三層 電梯樓梯間 地下層
RPUNMLRLJIMFFAX77DA,,9.07,住家用,造,,二層,
RPQNMLKMJIMFFAX66CA,3,265.87,住家用,鋼筋混凝土造,103年10月16日,三層,一層 二層 三層 見其他登記事項
