編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOJQHMFFAX27CA,四維段,188.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08710000
RPPNMLOJQHMFFAX27CA,四維段,13.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08780000
RPPNMLSJQHMFFAX67CA,馬公段,12.67,非都市： ; 非都市編定：,3,1,持分移轉,25090002
RPRNMLRJQHMFFAX77CA,文石段,231.80,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01730001
RPSNMLOJQHMFFAX57CA,鎖港西段,164.66,非都市： ; 非都市編定：,1,1,全筆移轉,01580000
RPPNMLNJQHMFFAX17CA,馬公段,30.00,非都市： ; 非都市編定：,1,1,全筆移轉,00020010
RPRNMLTJQHMFFAX97CA,文光段,31.27,非都市： ; 非都市編定：,100000,717,持分移轉,00570000
RPQNMLOJQHMFFAX37CA,埕東段,66.56,非都市： ; 非都市編定：,1,1,全筆移轉,05720000
RPRNMLOJQHMFFAX47CA,烏崁新段,1856.90,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,03840000
RPQNMLTJQHMFFAX87CA,馬公段,21.00,非都市： ; 非都市編定：,1,1,全筆移轉,16210010
RPTNMLTJQHMFFAX18CA,東澳段,21.92,非都市： ; 非都市編定：,10000,138,持分移轉,05940000
RPSNMLTJQHMFFAX08CA,東澳段,21.92,非都市： ; 非都市編定：,10000,138,持分移轉,05940000
RPRNMLSJQHMFFAX87CA,文寮段,471.60,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11310000
RPVNMLTJQHMFFAX38CA,尖山南段,490.85,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,05250000
RPQNMLOJRHMFFAX47CA,六合段,123.74,非都市： ; 非都市編定：,1,1,全筆移轉,06890002
RPQNMLQKQHMFFAX67CA,林投南段,376.71,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01750000
RPPNMLTJQHMFFAX87DA,風櫃西段,436.87,非都市：風景區 ; 非都市編定：林業用地,1,1,全筆移轉,00520000
RPPNMLTJQHMFFAX87DA,風櫃西段,467.65,非都市：風景區 ; 非都市編定：林業用地,1,1,全筆移轉,00530000
RPPNMLSLQHMFFAX87CA,後寮段,54.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,30350004
RPQNMLLKQHMFFAX17CA,井垵西段,33.03,非都市：一般農業區 ; 非都市編定：水利用地,1,1,全筆移轉,15250001
RPQNMLOKQHMFFAX67EA,馬公段,127.00,非都市： ; 非都市編定：,1,1,全筆移轉,07530000
RPPNMLMKQHMFFAX17CA,北澳段,48.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,350,持分移轉,03350000
RPQNMLKKQHMFFAX27EA,風櫃西段,48.02,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05370000
RPQNMLKKQHMFFAX27EA,風櫃西段,64.07,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05380000
RPSNMLPKQHMFFAX77CA,山水北段,232.72,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,07290000
RPSNMLPKQHMFFAX77CA,山水北段,232.72,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,07290000
RPRNMLLKQHMFFAX27CA,國宅段,145.65,非都市： ; 非都市編定：,1,1,全筆移轉,03190010
RPTNMLPKQHMFFAX08EA,湖西南段,886.94,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,19830000
RPRNMLMLQHMFFAX67EA,馬公段,55.00,非都市： ; 非都市編定：,2,1,持分移轉,07230000
RPRNMLMLQHMFFAX67EA,馬公段,55.00,非都市： ; 非都市編定：,2,1,持分移轉,07230000
