編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPPMLOKJIMFFAB37CA,11,138.05,集合住宅,鋼筋混凝土造,95年12月22日,十五層,十層 陽台 雨遮
RPPPMLOKJIMFFAB37CA,11,28.48,共用部分,鋼筋混凝土造,95年12月22日,十五層,
RPPPMLOKJIMFFAB37CA,11,70.61,共用部分,鋼筋混凝土造,95年12月22日,十五層,
RPPNMLPKJIMFFAB27CA,24,36.29,住家用,鋼筋混凝土造,82年11月2日,十六層,十六層 陽台 花台
RPPNMLPKJIMFFAB27CA,24,19.92,管理員辦公室、防空避難室、廣告塔、人行道、停車空間、交誼廳、水塔、機械房、梯間,鋼筋混凝土造,82年11月2日,十六層,
RPPNMLPKJIMFFAB27CA,24,33.56,住家用,鋼筋混凝土造,82年11月2日,十六層,十六層 陽台
RPPNMLPKJIMFFAB27CA,24,18.45,管理員辦公室、防空避難室、廣告塔、人行道、停車空間、交誼廳、水塔、機械房、梯間,鋼筋混凝土造,82年11月2日,十六層,
RPSNMLKLJIMFFAB17CA,1,118.56,集合住宅,鋼筋混凝土造,106年9月22日,十五層,十五層 陽台 雨遮
RPSNMLKLJIMFFAB17CA,1,106.42,本共有部分係依使用執照之建築概要表記載項目有：停車空間、排煙室、樓梯間、昇降機間、消防機房、雨水回收機房、水箱、車道、緊集發電機室、防空避難室兼停車空間、台電配電室、電信室、機車停車區、梯廳、垃圾集中室、管委會使用空間、梯間、機房、電梯機房等共計１９項。,鋼筋混凝土造,106年9月22日,十五層,
RPUNMLKLJIMFFAB37CA,1,93.40,集合住宅,鋼筋混凝土造,106年9月22日,十五層,十五層 陽台 雨遮
RPUNMLKLJIMFFAB37CA,1,69.08,本共有部分係依使用執照之建築概要表記載項目有：停車空間、排煙室、樓梯間、昇降機間、消防機房、雨水回收機房、水箱、車道、緊集發電機室、防空避難室兼停車空間、台電配電室、電信室、機車停車區、梯廳、垃圾集中室、管委會使用空間、梯間、機房、電梯機房等共計１９項。,鋼筋混凝土造,106年9月22日,十五層,
RPRNMLKLJIMFFAB07CA,1,118.56,集合住宅,鋼筋混凝土造,106年9月22日,十五層,十四層 陽台 雨遮
RPRNMLKLJIMFFAB07CA,1,106.42,本共有部分係依使用執照之建築概要表記載項目有：停車空間、排煙室、樓梯間、昇降機間、消防機房、雨水回收機房、水箱、車道、緊集發電機室、防空避難室兼停車空間、台電配電室、電信室、機車停車區、梯廳、垃圾集中室、管委會使用空間、梯間、機房、電梯機房等共計１９項。,鋼筋混凝土造,106年9月22日,十五層,
RPTNMLKLJIMFFAB27CA,1,93.40,集合住宅,鋼筋混凝土造,106年9月22日,十五層,十三層 陽台 雨遮
RPTNMLKLJIMFFAB27CA,1,69.08,本共有部分係依使用執照之建築概要表記載項目有：停車空間、排煙室、樓梯間、昇降機間、消防機房、雨水回收機房、水箱、車道、緊集發電機室、防空避難室兼停車空間、台電配電室、電信室、機車停車區、梯廳、垃圾集中室、管委會使用空間、梯間、機房、電梯機房等共計１９項。,鋼筋混凝土造,106年9月22日,十五層,
SPVNMLQKJIMFFAB08CA,3,220.75,店舖、辦公室,鋼筋混凝土造,103年10月1日,十九層,一層 二層 陽台
SPVNMLQKJIMFFAB08CA,3,108.12,本共有部份係依使用執照之建築概要表記載項目有：停車空間、消防機械室、水箱、安全梯、排煙室、昇降機間、緊急昇降機間、機械室、防空避難室兼停車空間、緊急發電機室、電信室、電錶室、台電配電室、門廊、機車區、管理員室、門廳、公共服務空間、環保室、機電空間、梯廳、安全梯間、特別安全梯間、管委會使用空間、防災中心、中繼機房、排煙室兼梯廳、牌樓、梯間、緊急昇降機、錶箱室、電梯機械室共３２項。,鋼筋混凝土造,103年10月1日,十九層,
RPVNMLNKJIMFFAB67CA,38,134.70,集合住宅,鋼筋混凝土造,68年7月31日,五層,一層 地下層
RPRPMLOKJIMFFAB57CA,23,38.29,集合住宅,鋼筋混凝土造,83年5月26日,十三層,七層 陽台
RPRPMLOKJIMFFAB57CA,23,7.38,樓梯間．人行道．水箱．機械房．防空避難室．停車空間,鋼筋混凝土造,83年5月26日,十三層,
RPVNMLQKJIMFFAB97CA,3,172.30,店舖、辦公室,鋼筋混凝土造,103年10月1日,十九層,一層 二層 陽台
