編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOPMLOKJIMFFAB47CC,坡道平面,0,29.00,
RPOOMLPKJIMFFCB67CC,坡道平面,0,,
RPVOMLOKJIMFFCB28CC,坡道平面,0,32.17,
RPVOMLOKJIMFFCB28CC,坡道平面,0,32.17,
RPTTMLPKJIMFFBB58CC,坡道平面,0,34.09,
RPQPMLPKJIMFFAB77CC,坡道平面,0,,
RPQPMLPKJIMFFAB77CC,坡道機械,0,,
RPQPMLPKJIMFFAB77CC,坡道平面,0,,
RPTPMLPKJIMFFAB08CC,坡道平面,0,,
RPSNMLQKJIMFFCB08CC,坡道平面,0,28.75,
RPSNMLQKJIMFFCB08CC,坡道平面,0,32.17,
RPTNMLQKJIMFFCB18CC,坡道平面,0,28.75,
RPTNMLQKJIMFFCB18CC,坡道平面,0,32.17,
RPXNMLPKJIMFFIB56DC,坡道機械,0,18.55,
RPWNMLQKJIMFFAB28CC,坡道平面,0,33.40,
RPSOMLQKJIMFFAB97CC,坡道機械,0,7.29,
RPQOMLRKJIMFFBB97CC,升降機械,0,,
RPQPMLRKJIMFFBB08CC,坡道平面,0,15.04,
RPQPMLRKJIMFFBB08CC,坡道機械,0,9.32,
RPPRMLRKJIMFFCB28CC,坡道平面,0,15.20,
RPSOMLLLJIMFFCB77CC,坡道平面,0,,
RPVOMLLLJIMFFCB08CC,坡道平面,0,,
RPRPMLLLJIMFFCB77CC,坡道機械,2000,14.60,
RPXOMLLLJIMFFCB28CC,坡道平面,0,12.40,
RPXOMLLLJIMFFCB28CC,坡道平面,0,12.40,
RPPPMLLLJIMFFCB57CC,坡道平面,0,26.94,
RPQRMLLLJIMFFBB77CC,坡道平面,0,,
RPWQMLLLJIMFFBB28CC,坡道平面,3500,27.23,
RPVQMLLLJIMFFBB18CC,坡道平面,0,27.90,
RPRQMLMLJIMFFCB97CC,坡道平面,0,16.69,
RPVNMLNLJIMFFCB18CC,坡道平面,0,,
RPQPMLNLJIMFFCB87CC,坡道機械,0,,
RPQPMLNLJIMFFCB87CC,坡道機械,0,,
RPSNMLNLJIMFFAB67CC,坡道平面,0,,
RPXNMLNLJIMFFCB38CC,坡道平面,0,,
RPXNMLNLJIMFFCB38CC,坡道機械,0,,
RPSNMLNLJIMFFCB87CC,坡道平面,0,19.55,
RPVNMLNLJIMFFAB97CC,其他,0,,
RPTOMLNLJIMFFAB87CC,坡道平面,0,,
RPPOMLNLJIMFFCB67CC,坡道平面,0,,
RPPOMLNLJIMFFCB67CC,坡道平面,0,,
RPPOMLNLJIMFFCB67CC,坡道平面,0,,
RPROMLNLJIMFFCB97DC,其他,0,13345.41,
RPSNMLOLJIMFFAB77CC,坡道平面,0,16.46,
RPQPMLRLJIMFFCB28CC,坡道平面,0,37.80,
RPQPMLRLJIMFFBB18CC,坡道機械,1800,15.94,
RPPPMLRLJIMFFBB08CC,坡道平面,3500,31.88,
RPTPMLRLJIMFFBB48CC,坡道機械,2000,15.94,
RPWPMLRLJIMFFBB78CC,坡道機械,0,13.62,
RPROMLSLJIMFFBB28CC,坡道平面,0,,
RPROMLSLJIMFFBB28CC,坡道平面,0,,
RPOOMLTLJIMFFCB18CC,坡道機械,0,,
RPQOMLTLJIMFFCB38CC,坡道平面,0,,
RPPQMLTLJIMFFBB38CC,坡道平面,0,25.81,
RPQPMLKMJIMFFCB67CC,坡道機械,0,18.91,
RPSPMLLJKIMFFCB77CC,坡道平面,2500,35.91,
RPVPMLLJKIMFFCB08CC,坡道平面,3000,37.80,
RPRQMLLJKIMFFCB77CC,坡道機械,1500,18.99,
RPWPMLLJKIMFFCB18CC,坡道機械,1000,18.99,
RPVQMLOJKIMFFBB38CC,坡道機械,0,13.59,
