編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSOMLRKJIMFFBC18CB,坡道平面,0,,
RPTOMLRKJIMFFBC28CB,坡道平面,0,,
RPXOMLRKJIMFFBC68CB,坡道平面,0,,
RPUOMLRKJIMFFBC38CB,坡道平面,0,,
RPOPMLRKJIMFFBC87CB,坡道平面,0,,
RPWOMLRKJIMFFBC58CB,坡道平面,0,,
RPPPMLRKJIMFFBC97CB,坡道平面,0,,
RPQPMLRKJIMFFBC08CB,坡道平面,0,,
RPSPMLRKJIMFFBC28CB,坡道平面,0,,
RPVPMLRKJIMFFBC58CB,坡道平面,0,,
RPUPMLRKJIMFFBC48CB,坡道平面,0,,
RPWPMLRKJIMFFBC68CB,坡道平面,0,,
RPOQMLRKJIMFFBC97CB,坡道平面,0,,
RPPQMLRKJIMFFBC08CB,坡道平面,0,,
RPQQMLRKJIMFFBC18CB,坡道平面,0,,
RPXPMLRKJIMFFBC78CB,坡道平面,0,,
RPPNMLSKJIMFFBC87CB,坡道平面,0,,
RPUNMLSKJIMFFBC38CB,坡道平面,0,,
RPTNMLSKJIMFFBC28CB,坡道平面,0,,
RPSNMLSKJIMFFBC18CB,坡道平面,0,,
RPVNMLSKJIMFFBC48CB,坡道平面,0,,
RPRNMLSKJIMFFBC08CB,坡道平面,0,,
RPXNMLSKJIMFFBC68CB,坡道平面,0,,
RPOOMLSKJIMFFBC87CB,坡道平面,0,,
RPROMLSKJIMFFBC18CB,坡道平面,0,,
RPWNMLSKJIMFFBC58CB,坡道平面,0,,
RPPOMLSKJIMFFBC97CB,坡道平面,0,,
RPSOMLSKJIMFFBC28CB,坡道平面,0,,
RPVOMLSKJIMFFBC58CB,坡道平面,0,,
RPQOMLSKJIMFFBC08CB,坡道平面,0,,
RPTOMLSKJIMFFBC38CB,坡道平面,0,,
RPWOMLSKJIMFFBC68CB,坡道平面,0,,
RPXOMLSKJIMFFBC78CB,坡道平面,0,,
RPQVMLKLJIMFFBC08CB,坡道平面,0,,
RPRVMLKLJIMFFBC18CB,坡道平面,0,,
RPUNMLLLJIMFFBC77CB,坡道平面,810000,24.17,
RPWNMLLLJIMFFBC97CB,坡道平面,0,,
RPOOMLLLJIMFFBC27CB,坡道平面,0,,
RPROMLLLJIMFFBC57CB,坡道平面,0,,
RPVNMLLLJIMFFBC87CB,坡道平面,0,,
RPTOMLLLJIMFFBC77CB,坡道平面,0,,
RPSOMLLLJIMFFBC67CB,坡道平面,0,,
RPVOMLLLJIMFFBC97CB,坡道平面,0,,
RPPOMLLLJIMFFBC37CB,坡道平面,0,,
RPQOMLLLJIMFFBC47CB,坡道平面,0,,
RPWOMLLLJIMFFBC08CB,坡道平面,0,,
RPPPMLLLJIMFFBC47CB,坡道平面,0,,
RPSPMLLLJIMFFBC77CB,坡道平面,0,,
RPVPMLLLJIMFFBC08CB,坡道平面,0,,
RPRPMLLLJIMFFBC67CB,坡道平面,0,,
RPUPMLLLJIMFFBC97CB,坡道平面,0,,
RPUNMLMLJIMFFBC87CB,坡道平面,0,,
RPUOMLMLJIMFFBC97CB,坡道平面,0,,
RPXOMLLLJIMFFBC18CB,坡道平面,0,,
RPOQMLLLJIMFFBC47CB,坡道平面,0,,
RPQPMLMLJIMFFBC67CB,坡道平面,0,,
RPOPMLMLJIMFFBC47CB,坡道平面,0,,
RPXPMLLLJIMFFBC28CB,坡道平面,0,,
RPTPMLMLJIMFFBC97CB,坡道平面,0,,
