編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLLKJIMFFBE47CC,21,251.92,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPRNMLLKJIMFFDE87CC,42,76.56,,鋼筋混凝土造,64年12月22日,三層,
RPVNMLNKJIMFFDE48CC,21,330.00,商業用,鋼筋混凝土造,85年10月19日,十四層,
RPSNMLLKJIMFFDE97CC,42,153.12,,鋼筋混凝土造,64年12月22日,三層,
RPSNMLNKJIMFFDE18CC,21,330.00,商業用,鋼筋混凝土造,85年10月19日,十四層,
RPUNMLNKJIMFFDE38CC,21,165.00,商業用,鋼筋混凝土造,85年10月19日,十四層,
RPXOMLNKJIMFFEE88CC,11,59.57,住家用,鋼筋混凝土造,95年10月23日,十五層,
RPXOMLNKJIMFFEE88CC,11,20.54,門廳、樓梯間、管委會使用空間、門廊、車道、機械室、水箱、避難室、停車空間,鋼筋混凝土造,95年10月23日,十五層,
RPQNMLLKJIMFFBE57CC,39,62.95,,鋼筋混凝土造,67年11月21日,四層,
RPWOMLNKJIMFFEE78CC,20,66.91,住家用,鋼筋混凝土造,86年11月27日,八層,
RPWOMLNKJIMFFEE78CC,20,21.58,見使用執照,鋼筋混凝土造,86年11月27日,八層,
RPWOMLNKJIMFFEE78CC,20,.29,住家用,鋼筋混凝土造,86年11月27日,八層,
RPWNMLNKJIMFFCE58DC,17,161.98,辦公室,鋼骨造,89年11月4日,三十層,
RPVOMLNKJIMFFBE48DC,4,113.96,住商用,鋼筋混凝土造,103年4月7日,五層,
RPUNMLNKJIMFFGE78DC,40,42.31,住商用,鋼筋混凝土造,67年1月16日,三層,
RPXNMLNKJIMFFEE78CC,18,117.59,住家用,見使用執照,88年6月24日,十四層,
RPXNMLNKJIMFFEE78CC,18,17.57,住家用,見使用執照,88年6月24日,十四層,
