編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLOKJIMFFAG87CC,水源段,105.11,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00880000
RPUNMLKLJIMFFAG08CC,中華段,82.00,都市：住,,,,15280000
RPVNMLPKJIMFFAG58CC,東安段,24.82,都市：住,,,,04900011
RPVNMLPKJIMFFAG58CC,東安段,24.82,都市：住,,,,04900010
RPRNMLSLJIMFFAG78EC,興東段,53.00,都市：商,,,,14560000
RPPOMLRLJIMFFBG48CC,珍子滿力段擺厘小段,.00,都市：住,,,,00310000
RPVNMLLJKIMFFAG18CC,和平段,102.98,都市：住,,,,06620000
RPUNMLRJKIMFFBG78CC,乾門二段,7.11,都市：商,,,,01230000
RPUNMLRJKIMFFBG78CC,乾門二段,311.95,都市：商,,,,01420000
RPUOMLSJKIMFFBG09DC,金六結二段,.00,都市：住,,,,10120000
RPROMLPKKIMFFBG48CC,金六結段六結小段,86.00,都市：商,,,,00900011
RPTOMLSJKIMFFBG98DC,金六結段金結小段,.00,都市：住,,,,00500039
RPTOMLSJKIMFFBG98DC,金六結段金結小段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00500084
RPXNMLMKKIMFFAG78EC,東光段,13.17,都市：住,,,,06330000
RPUOMLSKKIMFFAG98CC,羅莊段,17.65,都市：住,,,,00090000
RPVOMLSKKIMFFAG09CC,興東段,8.16,都市：商,,,,09060000
RPTOMLPJKIMFFAG48CC,信義段,22.41,都市：商,,,,06400000
RPPNMLSKKIMFFBG68EC,巽門二段,.00,都市：商,,,,05110000
RPQNMLQJKIMFFBG28CC,珍子滿力段擺厘小段,.00,都市：住,,,,00230011
RPSPMLQJKIMFFBG78DC,乾門二段,.00,都市：住,,,,03390000
RPTNMLMLKIMFFAG28CC,興東段,33.30,都市：商,,,,09060000
RPQOMLPJKIMFFAG18CC,興東段,8.16,都市：商,,,,09060000
RPVNMLPLKIMFFAG78CC,東安段,.00,都市：住,,,,10000000
RPSPMLSKKIMFFAG88CC,興東段,.00,都市：商,,,,03970004
RPVOMLPJJHNFFBG68CC,進士段,93.57,都市：住,,,,01230002
RPVNMLTJJHNFFAG88CC,北成段,9.72,都市：住,,,,07150000
RPVNMLTJJHNFFBG98CC,黎明段,.00,都市：住,,,,02630000
RPXNMLRLKIMFFBG66CC,珍子滿力段擺厘小段,.00,都市：住,,,,01320002
RPQOMLPKJHNFFAG18CC,維揚段,24.23,都市：住,,,,06080000
RPQOMLPKJHNFFAG18CC,維揚段,1.16,都市：住,,,,06090002
RPTNMLPLKIMFFAG58CC,新群一段,52.29,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02220000
RPOOMLMJJHNFFBG67CC,金六結段金結小段,120.00,都市：住,,,,00540000
RPROMLNLJHNFFAG38EC,中華段,37.75,都市：商,,,,09390000
RPROMLPLKIMFFBG78EC,金六結三段,.00,都市：住,,,,00710000
RPTNMLOLJHNFFAG38CC,維揚段,115.00,都市：住,,,,11330000
RPWNMLOLJHNFFBG98EC,永興段,.00,都市：住,,,,01510000
RPOOMLMKJHNFFBG97EC,和睦段,78.69,都市：住,,,,11050000
RPOOMLMKJHNFFBG97EC,和睦段,37.57,都市：其他:道路用地,,,,11060000
RPUNMLOLJHNFFBG68DC,坤門二段,.00,都市：住,,,,03010000
RPWNMLTKJHNFFAG09CC,北成一段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01170000
RPRNMLOLJHNFFAG18CC,羅莊段,31.97,都市：住,,,,00520000
RPTNMLPLJHNFFAG48CC,中華段,.00,都市：商,,,,09490000
RPWNMLOLJHNFFAG68CC,季新段,53.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05390000
RPUNMLTLJHNFFBG09CC,金六結段七結小段,.00,都市：住,,,,00540050
RPROMLKMJHNFFBG08CC,新塭段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,01450002
RPWNMLLJKHNFFBG38CC,珍子滿力段擺厘小段,.00,都市：住,,,,00560000
RPVOMLMJKHNFFAG38CC,維揚段,28.00,都市：商,,,,04050000
RPVNMLTJKHNFFBG56DC,坤門二段,.00,都市：住,,,,03400000
RPPNMLPJKHNFFAG97CC,蘇港段,.00,都市：其他:住商,,,,05650000
RPRNMLPJKHNFFBG28CC,新二圍段,2074.80,非都市：特定農業區 ; 非都市編定：農牧用地,,,,02700000
RPTOMLMJKHNFFAG18CC,羅莊段,28.03,都市：住,,,,00390015
RPPNMLNJKHNFFAG77CC,義成三段,.00,都市：住,,,,06420008
