編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLSKJIMFFAH78CA,4,193.00,住家用,鋼筋混凝土造,106年8月24日,二十九層,十七層 陽台
RPVNMLSKJIMFFAH78CA,4,135.25,本共有部分之項目有：集合住宅（附屬開放空間、公共服務空間、梯間、機房、水箱、停車空間、台電配電場所、電錶室、電信室、發電機房、垃圾處理室、防災中心、水景機房、泳池設備室、泳池蓄水池、防空避難室兼停車空間、蓄水池、消防泵浦室、污水及雨水回收機房）等１９項,鋼筋混凝土造,106年8月24日,二十九層,
RPSQMLPKJIMFFAH48CA,15,100.84,住家用,鋼筋混凝土造,91年11月28日,八層,五層 陽台 雨遮
RPQQMLPKJIMFFAH28CA,23,174.38,停車場﹐自用倉庫﹐集合住宅,鋼筋混凝土造,83年11月8日,三層,一層 二層 三層 陽台 平台 屋頂突出物 雨遮 地下層 見其他登記事項
RPSQMLPKJIMFFAH48CA,15,42.57,共有部份,鋼筋混凝土造,91年11月28日,八層,
RPQQMLPKJIMFFAH28CA,23,22.82,共有部份,鋼筋混凝土造,83年11月8日,三層,
RPSQMLPKJIMFFAH48CA,15,.37,警衛室,鋼筋混凝土造,91年11月28日,八層,一層 雨遮
RPSQMLPKJIMFFAH48CA,15,15.08,共有部份,鋼筋混凝土造,91年11月28日,八層,
RPSQMLPKJIMFFAH48CA,15,20.03,共有部份,鋼筋混凝土造,91年11月28日,八層,
RPWNMLSKJIMFFAH88CA,4,156.87,住家用,鋼筋混凝土造,106年8月24日,二十九層,十七層 陽台
RPWNMLSKJIMFFAH88CA,4,117.02,本共有部分之項目有：集合住宅（附屬開放空間、公共服務空間、梯間、機房、水箱、停車空間、台電配電場所、電錶室、電信室、發電機房、垃圾處理室、防災中心、水景機房、泳池設備室、泳池蓄水池、防空避難室兼停車空間、蓄水池、消防泵浦室、污水及雨水回收機房）等１９項,鋼筋混凝土造,106年8月24日,二十九層,
RPORMLOKJIMFFAH08CA,14,.03,管理員室,鋼筋混凝土造,92年6月23日,十層,一層
RPORMLOKJIMFFAH08CA,14,28.48,共有部份,鋼筋混凝土造,92年6月23日,十層,
SPSOMLSKJIMFFAH68CA,4,193.02,住家用,鋼筋混凝土造,106年8月24日,二十九層,二十四層 陽台
SPSOMLSKJIMFFAH68CA,4,135.25,本共有部分之項目有：集合住宅（附屬開放空間、公共服務空間、梯間、機房、水箱、停車空間、台電配電場所、電錶室、電信室、發電機房、垃圾處理室、防災中心、水景機房、泳池設備室、泳池蓄水池、防空避難室兼停車空間、蓄水池、消防泵浦室、污水及雨水回收機房）等１９項,鋼筋混凝土造,106年8月24日,二十九層,
RPPOMLSKJIMFFAH28CA,4,193.00,住家用,鋼筋混凝土造,106年8月24日,二十九層,十九層 陽台
RPPOMLSKJIMFFAH28CA,4,153.48,本共有部分之項目有：集合住宅（附屬開放空間、公共服務空間、梯間、機房、水箱、停車空間、台電配電場所、電錶室、電信室、發電機房、垃圾處理室、防災中心、水景機房、泳池設備室、泳池蓄水池、防空避難室兼停車空間、蓄水池、消防泵浦室、污水及雨水回收機房）等１９項,鋼筋混凝土造,106年8月24日,二十九層,
RPQOMLQKJIMFFAH18CA,,56.15,住家用,鋼筋混凝土造,106年8月1日,十二層,二層 陽台 雨遮
RPQOMLQKJIMFFAH18CA,,69.37,共有部分之項目有：停車空間、消防泵浦室、梯間、汙水雨水機房、水箱、發電機房、防空避難室兼停車空間、電信室、台電配電場所、垃圾處理空間、管委會使用空間、機械室等項。,鋼筋混凝土造,106年8月1日,十二層,
RPSOMLSKJIMFFAH58CA,4,156.87,住家用,鋼筋混凝土造,106年8月24日,二十九層,二十四層 陽台
RPSOMLSKJIMFFAH58CA,4,117.02,本共有部分之項目有：集合住宅（附屬開放空間、公共服務空間、梯間、機房、水箱、停車空間、台電配電場所、電錶室、電信室、發電機房、垃圾處理室、防災中心、水景機房、泳池設備室、泳池蓄水池、防空避難室兼停車空間、蓄水池、消防泵浦室、污水及雨水回收機房）等１９項,鋼筋混凝土造,106年8月24日,二十九層,
RPROMLQKJIMFFAH28CA,,56.15,住家用,鋼筋混凝土造,106年8月1日,十二層,三層 陽台 雨遮
RPROMLQKJIMFFAH28CA,,66.09,共有部分之項目有：停車空間、消防泵浦室、梯間、汙水雨水機房、水箱、發電機房、防空避難室兼停車空間、電信室、台電配電場所、垃圾處理空間、管委會使用空間、機械室等項。,鋼筋混凝土造,106年8月1日,十二層,
RPRNMLSLJIMFFAH48CA,4,101.60,住家用,鋼筋混凝土造,103年3月19日,十五層,一層
RPSNMLSJKIMFFAH48CA,1,212.21,住家用,鋼筋混凝土造,106年3月22日,二十三層,十七層 陽台 雨遮
RPRNMLSLJIMFFAH48CA,4,18.52,本共有部分之項目有梯間、機械室及水箱等３項。,鋼筋混凝土造,103年3月19日,十五層,
RPSNMLSJKIMFFAH48CA,1,189.47,本共有部分之項目有：防空避難室兼停車空間、停車空間、門廳及公共服務空間、機房及水箱等項,鋼筋混凝土造,106年3月22日,二十三層,
RPRNMLSLJIMFFAH48CA,4,61.95,本共有部分之項目有防空避難室、停車空間及公共設施等３項。,鋼筋混凝土造,103年3月19日,十五層,
RPTNMLSLJIMFFAH68CA,4,134.12,住家用,鋼筋混凝土造,103年3月19日,十五層,十二層 陽台 雨遮
RPTNMLSLJIMFFAH68CA,4,143.17,本共有部分之項目有防空避難室、停車空間及公共設施等３項。,鋼筋混凝土造,103年3月19日,十五層,
RPTNMLSLJIMFFAH68CA,4,24.45,本共有部分之項目有梯間、機械室及水箱等３項。,鋼筋混凝土造,103年3月19日,十五層,
RPOOMLSLJIMFFAH28CA,20,260.79,停車空間．集合住宅,鋼筋混凝土造,86年5月31日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物 露台 雨遮 見其他登記事項
RPOOMLSLJIMFFAH28CA,20,2.05,辦公屋．住宅．停車空間,鋼筋混凝土造,86年5月31日,五層,一層 二層 三層 四層 五層 屋頂突出物 露台
RPWTMLLKKIMFFAH88CA,17,83.76,住家用,鋼筋混凝土造,89年9月15日,七層,四層 陽台
RPWTMLLKKIMFFAH88CA,17,11.16,共有部份,鋼筋混凝土造,89年9月15日,七層,
RPWTMLLKKIMFFAH88CA,17,18.39,共有部份,鋼筋混凝土造,89年9月15日,九層,
RPWTMLLKKIMFFAH88CA,17,32.77,共有部份,鋼筋混凝土造,89年9月15日,九層,
RPWTMLLKKIMFFAH88CA,17,.05,管理員室,鋼筋混凝土造,89年9月15日,九層,一層
RPUNMLMJKIMFFAH08CA,5,147.57,住家用,鋼筋混凝土造,101年7月15日,十五層,十層 陽台 雨遮
RPUNMLMJKIMFFAH08CA,5,125.50,本共有部分之項目有附屬停車空間、蓄水池、消防泵浦室、污水機房、梯間、發電機房、防空避難室兼停車場、台電配電場所、電信室、管理室、開放空間、公共服務空間、垃圾處理室、水箱及機房等１５項。,鋼筋混凝土造,101年7月15日,十五層,
RPVOMLOKJIMFFBH58CA,1,94.63,集合住宅,鋼筋混凝土造,105年4月22日,十三層,五層 陽台
