鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,建物,桃園市中壢區後興路一段８０號,0.0,住,,,1061028,土地0建物1車位1,一層,9,店面(店鋪),見其他登記事項,鋼筋混凝土造,0890120,100.15,0,0,0,無,有,無,10000,100,坡道平面,0.0,0,,RPTOMLNKJIMFFBH48CC
中壢區,建物,桃園市中壢區興平路４１號六樓,0.0,住,,,1061028,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830517,159.84,4,2,2,有,有,無,15000,94,,0.0,0,,RPXOMLNKJIMFFBH88CC
中壢區,建物,桃園市中壢區復華街１８６巷５７之１３號,0.0,住,,,1061028,土地0建物0車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,1000613,20.99,3,3,3,有,無,有,7000,333,,0.0,0,,RPTPMLNKJIMFFBH58CC
桃園區,建物,桃園市桃園區萬壽路三段１６４號,0.0,商,,,1061026,土地0建物0車位0,一層,5,店面(店鋪),見其他登記事項,見其他登記事項,0641028,106.73,0,0,0,無,無,無,32000,300,,0.0,0,,RPOOMLNKJIMFFAH87CC
龜山區,房地(土地+建物),桃園市龜山區自強西路376號2樓之2,11.34,商,,,1061007,土地1建物1車位0,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020531,70.88,2,2,1,有,有,有,13500,190,,0.0,0,,RPRNMLNKJIMFFHH78CC
龜山區,房地(土地+建物),桃園市龜山區興一街23號,74.19,住,,,1061112,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1020905,227.41,0,0,0,無,無,無,28000,123,,0.0,0,,RPTNMLNKJIMFFHH98CC
龜山區,建物,桃園市龜山區萬壽路一段３５９號,0.0,住,,,1061025,土地0建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0640715,218.52,0,0,0,無,無,無,60000,275,,0.0,0,含三樓,RPVNMLNKJIMFFHH56CC
龜山區,房地(土地+建物),桃園市龜山區文化二路191之1號,303.0,住,,,1061110,土地1建物1車位0,一層,4,店面(店鋪),見其他登記事項,見其他登記事項,1060811,172.6,0,0,0,無,無,無,73500,426,,0.0,0,一樓+夾層,RPWNMLNKJIMFFHH66CC
平鎮區,建物,桃園市平鎮區南平路１４９之３號,0.0,住,,,1061026,土地0建物1車位0,一層,13,店面(店鋪),見其他登記事項,鋼筋混凝土造,1030711,84.06,0,0,0,無,有,無,10000,119,,0.0,0,,RPVNMLNKJIMFFGH09CC
平鎮區,房地(土地+建物),桃園市平鎮區龍祥路200號,75.46,,特定農業區,甲種建築用地,1061022,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0880105,177.14,4,2,3,有,無,有,12000,68,,0.0,0,,RPROMLNKJIMFFGH78CC
桃園區,房地(土地+建物),桃園市桃園區上海路226號7樓,28.2,住,,,1061109,土地1建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0911223,106.69,3,2,2,有,有,無,11000,103,,0.0,0,,RPXOMLNKJIMFFAH88DC
桃園區,房地(土地+建物),桃園市桃園區上海路137號4樓,15.15,住,,,1061109,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920414,94.74,3,2,1,有,有,無,10600,112,,0.0,0,,RPRPMLNKJIMFFAH38DC
中壢區,房地(土地+建物),桃園市中壢區環中東路二段454號,174.0,住,,,1061107,土地1建物1車位0,見其他登記事項,2,店面(店鋪),見其他登記事項,見其他登記事項,0870113,245.02,0,0,0,無,無,無,60000,245,,0.0,0,,RPVPMLNKJIMFFBH88DC
大園區,房地(土地+建物)+車位,桃園市大園區高鐵南路1段95號12樓,24.1,住,,,1061112,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040706,169.81,3,2,2,有,有,有,16000,94,坡道平面,25.81,0,,RPPPMLNKJIMFFEH58DC
