編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLOKJIMFFAN88CA,35,124.37,住商用,鋼筋混凝土造,71年9月24日,五層,一層 二層 騎樓
RPVPMLQJKIMFFAN76CA,1,247.03,停車空間、住宅、樓梯間、水箱,鋼筋混凝土造,105年8月10日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPTNMLKLJIMFFAN48CA,39,92.34,住家用,鋼筋混凝土加強磚造,68年1月4日,二層,一層 二層
RPTNMLSKJIMFFAN56CA,40,154.56,住家用,加強磚造,67年1月1日,二層,一層 二層
RPOOMLMLJIMFFAN28CA,37,268.57,住家、避難室、門廊、店舖,鋼筋混凝土造,70年4月2日,四層,一層 二層 三層 四層 防空避難室
RPPOMLRJKIMFFAN78CA,19,199.15,住家用,鋼筋混凝土造,88年2月5日,三層,一層 二層 三層 陽台 平台 屋頂突出物
RPPOMLRJKIMFFAN78CA,19,7.34,兒童遊戲球池、閱讀室、娛樂室,鋼筋混凝土造,88年2月5日,三層,
RPPOMLRJKIMFFAN78CA,19,68.26,停車空間,鋼筋混凝土造,88年2月5日,四層,
RPRNMLLLJIMFFBN48CA,26,87.34,住家用,鋼筋混凝土造,80年4月25日,五層,二層 陽台
RPRNMLLLJIMFFBN48CA,26,24.86,梯間，避難室，停車空間,鋼筋混凝土造,80年4月25日,五層,
RPTNMLKLJIMFFBN58CA,42,118.44,住商用,鋼筋混凝土造,64年12月5日,二層,一層 二層 騎樓
RPRNMLLKKIMFFCN58CA,3,181.38,住家用,鋼筋混凝土造,103年12月29日,四層,一層 二層 三層 四層 陽台
RPPOMLQKJIMFFFN56CA,,206.58,住宅,鋼筋混凝土造,106年6月21日,三層,一層 二層 三層 陽台
RPQOMLQKJIMFFFN66CA,,175.92,住宅,鋼筋混凝土造,106年6月21日,三層,一層 二層 三層 陽台
RPROMLQKJIMFFFN76CA,,190.67,住宅,鋼筋混凝土造,106年6月21日,三層,一層 二層 三層 陽台
RPSNMLQJKIMFFFN76CA,26,96.27,住商用,加強磚造,81年3月11日,二層,一層 二層 騎樓
RPUNMLNKJIMFFHN86CA,23,215.08,住家用,鋼筋混凝土造,84年4月15日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPQNMLKLJIMFFBN38DA,26,92.57,住家用,鋼筋混凝土造,80年4月25日,五層,四層 陽台
RPQNMLKLJIMFFBN38DA,26,23.51,梯間，避難室，停車空間,鋼筋混凝土造,80年4月25日,五層,
RPOOMLLLJIMFFHN88CA,38,92.34,住家用,加強磚造,68年7月15日,二層,一層 二層
RPQNMLPKJIMFFGN66DA,40,105.84,住商用,加強磚造,66年11月9日,三層,一層 二層 三層
RPSNMLOKJIMFFGN66CA,37,98.56,住家用,加強磚造,69年5月23日,,一層 二層
RPPNMLKMJIMFFGN78CA,2,204.81,住商用,鋼筋混凝土造,104年11月30日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓
RPQNMLOLJIMFFFN09CA,21,191.40,人行道、店舖、住宅,鋼筋混凝土造,85年5月2日,二層,一層 二層 陽台 屋頂突出物 騎樓
RPPNMLLJKIMFFEN48CA,23,121.62,住家用,鋼筋混凝土造,83年10月19日,三層,一層 二層 三層 電梯樓梯間
RPWNMLPKJIMFFEN96CA,22,265.83,住家用,鋼筋混凝土造,84年11月24日,四層,一層 二層 三層 四層 陽台 平台 見其他登記事項
RPWOMLRKJIMFFDN17CA,26,120.86,住家用,鋼筋混凝土造,81年1月28日,三層,一層 二層 三層
RPPNMLKLJIMFFEN48CA,26,268.65,住工用,鋼筋混凝土造,81年3月26日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPQNMLKLJIMFFEN58CA,,47.12,農舍,鋼骨造,106年9月26日,一層,一層
RPPNMLTLKIMFFCN66CA,,190.94,住宅,鋼筋混凝土造,106年8月9日,四層,一層 二層 三層 四層 雨遮
RPTNMLQJKIMFFDN66CA,24,80.17,住家用,鋼筋混凝土造,82年12月15日,七層,五層 陽台
RPTNMLQJKIMFFDN66CA,24,9.95,共用部份,鋼筋混凝土造,82年12月15日,七層,
RPTNMLQJKIMFFDN66CA,24,10.91,防空避難室兼停車場,鋼筋混凝土造,82年12月15日,七層,
RPPNMLQKJIMFFCN78CA,49,82.53,住家用,鋼筋混凝土加強磚造,58年2月8日,二層,一層 二層
RPTNMLQKJIMFFCN56CA,,184.02,住宅,鋼筋混凝土造,106年8月8日,三層,一層 二層 三層
RPVNMLQJKIMFFDN86CA,23,60.19,住家用,鋼筋混凝土造,83年5月13日,三層,一層 二層 三層 陽台 電梯樓梯間
RPROMLPKJIMFFCN98CA,4,191.95,住家用、停車空間,鋼筋混凝土造,102年10月21日,四層,一層 二層 三層 四層 陽台
RPSNMLQKJIMFFCN09CA,,183.36,住宅,鋼筋混凝土造,106年8月8日,三層,一層 二層 三層
RPRNMLPKJIMFFBN78CA,37,205.60,住家用,鋼筋混凝土加強磚造,69年9月30日,四層,一層 二層 三層 四層 騎樓
RPXNMLPKJIMFFAN66CA,24,221.84,儲藏室、住家、梯間,鋼筋混凝土造,82年9月22日,四層,一層 二層 三層 四層 陽台 地下層
RPROMLSJKIMFFAN09CA,31,93.67,住家用,加強磚造,75年6月20日,二層,一層 二層 屋頂突出物 夾層
RPXNMLKLJIMFFAN88CA,20,112.12,住家用,鋼筋混凝土造,86年5月26日,十七層,十七層 陽台 花台
RPXNMLKLJIMFFAN88CA,20,56.89,避難室、停車空間、梯間、機械室、水箱,鋼筋混凝土造,86年5月26日,十七層,
RPRNMLQKJIMFFAN78CA,2,160.54,住宅、停車空間,鋼筋混凝土造,104年7月20日,四層,一層 二層 三層 四層 陽台
RPQNMLMLJIMFFAN38CA,1,241.31,住宅、停車空間、樓梯間,鋼筋混凝土造,106年1月3日,四層,一層 二層 三層 四層 屋頂突出物
RPQOMLRLJIMFFAN98CA,50,116.95,住家用,加強磚造,57年2月2日,二層,一層 二層 騎樓
RPTNMLRKJIMFFAN09CA,1,155.03,梯間、停車空間、住宅,鋼筋混凝土造,105年4月12日,三層,一層 二層 三層 屋頂突出物
RPQOMLRKJIMFFAN88CA,40,98.80,住家用,鋼筋混凝土加強磚造,67年1月11日,二層,一層 二層
RPUNMLQKJIMFFAN09CA,42,172.65,住商用,鋼筋混凝土加強磚造,64年10月23日,三層,一層 二層 三層 騎樓
