編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLSJLHNFFDB58CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPXNMLSJLHNFFDB88CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPPOMLSJLHNFFDB18CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPOOMLSJLHNFFDB08CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPWOMLSJLHNFFDB88CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPQOMLSJLHNFFDB28CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPOPMLSJLHNFFDB18CB,豐圳段,27.21,都市：住,10000,102,持分移轉,04630000
RPPPMLSJLHNFFDB28CB,豐圳段,27.21,都市：住,10000,102,持分移轉,04630000
RPQPMLSJLHNFFDB38CB,豐圳段,27.21,都市：住,10000,102,持分移轉,04630000
RPSPMLSJLHNFFDB58CB,豐圳段,27.21,都市：住,10000,102,持分移轉,04630000
RPRPMLSJLHNFFDB48CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPSOMLSJLHNFFDB48CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPTPMLSJLHNFFDB68CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPTOMLSJLHNFFDB58CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPUPMLSJLHNFFDB78CB,豐圳段,27.21,都市：住,10000,102,持分移轉,04630000
RPUOMLSJLHNFFDB68CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPVPMLSJLHNFFDB88CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPXPMLSJLHNFFDB09CB,豐圳段,27.21,都市：住,10000,102,持分移轉,04630000
RPWPMLSJLHNFFDB98CB,豐圳段,27.21,都市：住,10000,102,持分移轉,04630000
RPPQMLSJLHNFFDB38CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPOQMLSJLHNFFDB28CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPQQMLSJLHNFFDB48CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPTQMLSJLHNFFDB78CB,豐圳段,21.07,都市：住,10000,79,持分移轉,04630000
RPRQMLSJLHNFFDB58CB,豐圳段,26.94,都市：住,10000,101,持分移轉,04630000
RPWQMLSJLHNFFDB09CB,豐圳段,21.07,都市：住,10000,79,持分移轉,04630000
RPUQMLSJLHNFFDB88CB,豐圳段,21.07,都市：住,10000,79,持分移轉,04630000
RPVQMLSJLHNFFDB98CB,豐圳段,21.07,都市：住,10000,79,持分移轉,04630000
RPXQMLSJLHNFFDB56CB,豐圳段,21.07,都市：住,10000,79,持分移轉,04630000
RPXOMLSJLHNFFDB98CB,豐圳段,27.21,都市：住,10000,102,持分移轉,04630000
RPQRMLSJLHNFFDB58CB,豐圳段,21.07,都市：住,10000,79,持分移轉,04630000
RPRRMLSJLHNFFDB68CB,豐圳段,21.07,都市：住,10000,79,持分移轉,04630000
RPPRMLSJLHNFFDB48CB,豐圳段,21.07,都市：住,10000,79,持分移轉,04630000
RPORMLSJLHNFFDB38CB,豐圳段,21.07,都市：住,10000,79,持分移轉,04630000
RPSRMLSJLHNFFDB78CB,豐圳段,21.07,都市：住,10000,79,持分移轉,04630000
RPXRMLSJLHNFFDB66CB,豐圳段,21.07,都市：住,10000,79,持分移轉,04630000
RPWRMLSJLHNFFDB56CB,豐圳段,21.07,都市：住,10000,79,持分移轉,04630000
