編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWPMLMKKHNFFCB38CC,福安段,18.25,都市：住,,,,02250000
RPRPMLMKKHNFFCB87CC,惠民段,17.56,都市：其他:新市政中心專用區,,,,01430001
RPOQMLMKKHNFFCB67CC,福安段,9.00,都市：住,,,,02250000
RPUQMLMKKHNFFCB28CC,福順段,22.88,都市：住,,,,01670000
RPWQMLMKKHNFFCB48CC,惠民段,12.94,都市：其他:新市政中心專用區,,,,00110000
RPUNMLMKKHNFFCB97CC,上石碑段,.00,都市：住,,,,05410000
RPVPMLMKKHNFFCB28CC,惠民段,14.43,都市：其他:新市政中心專用區,,,,01380000
RPRSMLMKKHNFFCB18CC,中正段,5.99,都市：商,,,,01550000
RPXNMLMKKHNFFBB18CC,太原段,16.29,都市：住,,,,01000000
RPPQMLMKKHNFFCB77CC,惠民段,14.21,都市：其他:新市政中心專用區,,,,01380000
RPORMLMKKHNFFCB77CC,惠民段,19.23,都市：其他:新市政中心專用區,,,,00110000
RPOTMLMKKHNFFCB97CC,上石碑段,3.40,都市：商,,,,17900000
RPOTMLMKKHNFFCB97CC,上石碑段,3.04,都市：商,,,,18000007
RPWSMLMKKHNFFCB68CC,中正段,10.54,都市：商,,,,01550000
RPUSMLMKKHNFFCB48CC,中正段,5.99,都市：商,,,,01550000
RPQPMLMKKHNFFBB67CC,北屯段,7.24,都市：住,,,,00180004
RPWPMLMKKHNFFBB28CC,東山段,22.48,都市：住,,,,00610000
RPTQMLMKKHNFFBB08CC,平田段,80.00,都市：住,,,,08060000
RPSPMLMKKHNFFBB87CC,太順段,21.77,都市：住,,,,00130000
RPPOMLMKKHNFFBB47CC,仁美段,.00,都市：住,,,,17640000
RPPOMLMKKHNFFBB47CC,仁美段,.00,都市：住,,,,17650000
RPQSMLMKKHNFFBB97CC,賴厝?段,2.97,都市：商,,,,00310003
RPQSMLMKKHNFFBB97CC,邱厝子段,2.39,都市：商,,,,00310062
RPRSMLMKKHNFFBB08CC,賴厝?段,2.97,都市：商,,,,00310003
RPRSMLMKKHNFFBB08CC,邱厝子段,2.39,都市：商,,,,00310062
RPTSMLMKKHNFFBB28CC,賴厝?段,.14,都市：商,,,,00310003
RPURMLMKKHNFFBB28CC,東新段,.41,都市：住,,,,01530000
RPTSMLMKKHNFFBB28CC,邱厝子段,.11,都市：商,,,,00310062
RPORMLMKKHNFFBB67CC,陳平段,37.79,都市：住,,,,14850000
RPUSMLMKKHNFFBB38CC,賴厝?段,3.19,都市：商,,,,00310003
RPUSMLMKKHNFFBB38CC,邱厝子段,2.56,都市：商,,,,00310062
RPVSMLMKKHNFFBB48CC,賴厝?段,3.24,都市：商,,,,00310003
RPVSMLMKKHNFFBB48CC,邱厝子段,2.60,都市：商,,,,00310062
RPSSMLMKKHNFFBB18CC,賴厝?段,2.96,都市：商,,,,00310003
RPSSMLMKKHNFFBB18CC,邱厝子段,2.38,都市：商,,,,00310062
RPVRMLMKKHNFFBB38CC,東新段,.41,都市：住,,,,01530000
RPQTMLMKKHNFFBB08CC,東峰段,9.15,都市：商,,,,01580000
RPQQMLNKKHNFFAB77CC,自由段二小段,19.00,都市：住,,,,00040039
RPQQMLNKKHNFFAB77CC,自由段二小段,146.00,都市：住,,,,00040048
RPVOMLMKKHNFFDB28CC,豐南段,75.28,都市：商,,,,03810000
RPVOMLMKKHNFFDB28CC,豐南段,10.11,都市：商,,,,03820000
RPXSMLMKKHNFFBB68CC,東峰段,10.25,都市：商,,,,01580000
RPWOMLMKKHNFFDB38CC,三陽段,319.51,都市：住,,,,01830000
RPPTMLNKKHNFFBB08CC,北屯段,24.90,都市：住,,,,01690057
RPUPMLOKKHNFFCB38CC,上石碑段,13.27,都市：商,,,,26800000
RPSOMLMKKHNFFAB67CC,樹子腳段,1.92,都市：商,,,,00390000
RPRPMLOKKHNFFCB08CC,大進段,25.37,都市：商,,,,08580000
RPQNMLKLKHNFFAB27CC,麻園頭段,.00,都市：住,,,,01810000
RPOOMLOKKHNFFHB18CC,大新段,50.16,都市：住,,,,01810003
RPQQMLMKKHNFFCB97DC,民安段,272.03,都市：住,,,,19640000
RPQQMLMKKHNFFCB97DC,民安段,270.09,都市：住,,,,19710000
RPRNMLNKKHNFFCB77CC,廣明段,.00,都市：住,,,,06750000
RPXPMLOKKHNFFBB68DC,陳平段,113.00,都市：住,,,,18040004
RPXPMLOKKHNFFBB68DC,陳平段,28.90,都市：住,,,,18040042
RPROMLOKKHNFFDB08CC,豐原段,224.00,都市：住,,,,07650607
RPROMLOKKHNFFDB08CC,豐原段,111.00,都市：住,,,,07650159
RPRNMLLLKHNFFAB47CC,東勢子段,.00,都市：住,,,,00630007
RPSPMLLLKHNFFBB87CC,賴厝?段,.28,都市：商,,,,00310003
RPSPMLLLKHNFFBB87CC,邱厝子段,.22,都市：商,,,,00310062
RPROMLLLKHNFFBB67CC,平田段,13.79,都市：住,,,,01000000
RPROMLLLKHNFFBB67CC,平田段,2.55,都市：住,,,,01000001
RPUPMLLLKHNFFBB08CC,松昌段,157.00,都市：住,,,,00990009
RPOQMLLLKHNFFBB57CC,東峰段,10.62,都市：商,,,,01580000
RPQPMLLLKHNFFBB67CC,賴厝?段,9.65,都市：住,,,,03490001
RPPQMLLLKHNFFBB67CC,東峰段,11.63,都市：商,,,,01580000
RPQOMLLLKHNFFCB67CC,國安段,11.87,都市：住,,,,00120014
RPWPMLLLKHNFFBB28CC,東峰段,5.84,都市：商,,,,01580000
RPQQMLLLKHNFFBB77CC,東峰段,9.57,都市：商,,,,01580000
RPWNMLLLKHNFFCB18CC,大進段,15.09,都市：住,,,,06170000
RPTPMLLLKHNFFCB08CC,中正段,10.54,都市：商,,,,01550000
RPPOMLMLKHNFFCB67CC,國安段,.00,都市：住,,,,01740000
RPPPMLLLKHNFFCB67CC,中正段,9.74,都市：商,,,,01550000
RPRPMLLLKHNFFCB87CC,大墩段,4.76,都市：住,,,,04640000
RPUPMLMLKHNFFCB28CC,福順段,22.88,都市：住,,,,01670000
RPTPMLMLKHNFFCB18CC,大明段,84.00,都市：商,,,,00590000
RPOPMLLLKHNFFCB57CC,上石碑段,3.48,都市：商,,,,17900000
RPOPMLNLKHNFFCB77CC,上石碑段,4.61,都市：商,,,,18000007
RPPQMLNLKHNFFCB97CC,國安段,.00,都市：住,,,,01040002
RPPQMLNLKHNFFCB97CC,國安段,.00,都市：住,,,,01040003
RPSQMLNLKHNFFCB28CC,大進段,.00,都市：商,,,,06870000
RPPOMLNLKHNFFAB57CC,後?子段,6.09,都市：住,,,,02480015
RPSPMLLLKHNFFCB97CC,中正段,5.67,都市：商,,,,01550000
RPPNMLOLKHNFFDB87CC,南村段,41.12,都市：住,,,,02870000
RPXOMLMLKHNFFCB48CC,惠仁段,125.45,都市：住,,,,00550029
RPWNMLNLKHNFFIB98CC,新三和段,79.63,都市：住,,,,00740021
RPTNMLNLKHNFFAB87CC,旱溪段,234.00,都市：住,,,,01990012
RPRNMLOLKHNFFCB97CC,中正段,5.55,都市：住,,,,01550000
RPVNMLQLKHNFFCB58CC,何厝段,.00,都市：商,,,,00880011
RPVNMLQLKHNFFCB58CC,何厝段,.00,都市：商,,,,00880016
RPQNMLOLKHNFFAB67CC,麻園頭段,16.61,都市：住,,,,00290000
RPSOMLQLKHNFFCB38CC,上石碑段,60.00,都市：其他:學校用地,,,,10100000
RPSOMLQLKHNFFCB38CC,上石碑段,60.00,都市：其他:學校用地,,,,10200000
RPOQMLQLKHNFFCB18CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPPQMLQLKHNFFCB28CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPTOMLQLKHNFFCB48CC,寶山段,7.59,都市：住,,,,12770000
RPUQMLQLKHNFFCB78CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPSNMLQLKHNFFCB28CC,大墩段,26.44,都市：住,,,,03500000
RPPPMLQLKHNFFCB18CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPTRMLQLKHNFFCB78CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPXQMLQLKHNFFCB09CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPSPMLQLKHNFFCB48CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPPRMLQLKHNFFCB38CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPWNMLQLKHNFFAB48CC,麻園頭段,.00,都市：住,,,,01730023
RPUNMLQLKHNFFHB98CC,四德段,74.00,都市：住,,,,01340038
RPURMLQLKHNFFCB88CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPVRMLQLKHNFFCB98CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPPOMLQLKHNFFJB78CC,東平段,25.60,都市：其他:市場用地,,,,15420000
RPRNMLQLKHNFFIB78CC,美群段,25.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00080000
RPQOMLQLKHNFFJB88CC,東平段,25.60,都市：其他:市場用地,,,,15420000
RPUNMLRLKHNFFAB38CC,麻園頭段,10.97,都市：住,,,,01320000
RPOOMLRLKHNFFAB87CC,麻園頭段,11.77,都市：住,,,,01320000
RPOPMLRLKHNFFBB08CC,平田段,77.00,都市：住,,,,00640000
RPPOMLQLKHNFFAB87CC,下橋子頭段,1.85,都市：商,,,,02170014
RPPNMLRLKHNFFAB87CC,福壽段二小段,.00,都市：住,,,,00010008
RPWPMLRLKHNFFBB88CC,東光段,20.57,都市：住,,,,01900001
RPQOMLRLKHNFFAB08CC,麻園頭段,13.24,都市：住,,,,01320000
RPPOMLRLKHNFFAB97CC,麻園頭段,22.39,都市：住,,,,01810000
RPTNMLRLKHNFFCB48CC,國安段,11.87,都市：住,,,,00120014
RPPPMLRLKHNFFBB18CC,北屯段,12.85,都市：住,,,,01910000
RPPPMLRLKHNFFCB28CC,豐富段,73.31,都市：住,,,,00120003
RPUOMLRLKHNFFCB68CC,何安段,12.83,都市：住,,,,08940000
RPUOMLRLKHNFFCB68CC,何安段,15.73,都市：住,,,,08920000
RPUPMLRLKHNFFCB78CC,惠仁段,21.39,都市：住,,,,00810000
RPORMLRLKHNFFCB38CC,大新段,15.77,都市：住,,,,08650000
RPOPMLRLKHNFFCB18CC,何厝段,10.66,都市：住,,,,00840000
RPPQMLRLKHNFFCB38CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPRQMLRLKHNFFCB58CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPWQMLRLKHNFFCB09CC,永春段,650.50,都市：住,,,,00170000
RPVOMLLJLHNFFCB08CC,黎明段,14.32,都市：住,,,,00310000
RPRRMLRLKHNFFCB68CC,上石碑段,26.28,都市：住,,,,15110000
RPVNMLLJLHNFFCB97CC,大墩段,22.21,都市：住,,,,03340000
RPTNMLSLKHNFFCB58CC,國安段,125.00,都市：其他:,,,,05930293
RPUNMLLJLHNFFCB87CC,何厝段,25.02,都市：商,,,,00840000
RPQQMLLJLHNFFCB77CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPWOMLLJLHNFFCB18CC,惠智段,9.76,都市：住,,,,01590000
RPRQMLLJLHNFFCB87CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPUQMLLJLHNFFCB18CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPXPMLLJLHNFFBB28CC,東峰段,11.13,都市：商,,,,01580000
RPSQMLLJLHNFFCB97CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPOQMLLJLHNFFBB47CC,東峰段,11.80,都市：商,,,,01580000
RPQQMLLJLHNFFBB67CC,東峰段,6.93,都市：商,,,,01580000
RPXPMLMJLHNFFBB38CC,景美段,238.01,都市：住,,,,02760000
RPQNMLMJLHNFFAB37CC,下橋子頭段,1.83,都市：商,,,,02170014
RPRNMLMJLHNFFAB47CC,下橋子頭段,1.87,都市：商,,,,02170014
RPPNMLMJLHNFFAB27CC,下橋子頭段,1.83,都市：商,,,,02170014
RPSQMLMJLHNFFAB87CC,後?子段,8.30,都市：住,,,,02100010
RPRQMLMJLHNFFAB77CC,旱溪段,164.00,都市：住,,,,03450000
RPRQMLMJLHNFFAB77CC,旱溪段,28.00,都市：住,,,,03450033
RPRQMLMJLHNFFAB77CC,旱溪段,118.00,都市：住,,,,03450034
RPRQMLMJLHNFFAB77CC,旱溪段,59.00,都市：住,,,,03450039
RPQNMLNJLHNFFCB67CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPPNMLNJLHNFFCB57CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPSNMLNJLHNFFCB87CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPRNMLNJLHNFFCB77CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPVNMLNJLHNFFCB18CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPUNMLNJLHNFFCB08CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPXNMLNJLHNFFCB38CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPOOMLNJLHNFFCB57CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPROMLNJLHNFFCB87CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPPOMLNJLHNFFCB67CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPQOMLNJLHNFFCB77CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPVOMLNJLHNFFCB28CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPSOMLNJLHNFFCB97CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPTOMLNJLHNFFCB08CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPWOMLNJLHNFFCB38CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPUOMLNJLHNFFCB18CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPXOMLNJLHNFFCB48CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPOPMLNJLHNFFCB67CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPQPMLNJLHNFFCB87CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPUNMLPJLHNFFCB28CC,寶文段,8.08,都市：住,,,,00720019
RPRPMLNJLHNFFCB97CC,寶文段,.00,非都市： ; 非都市編定：,,,,00720019
RPWPMLPJLHNFFCB68CC,惠國段,20.89,都市：其他:第三種新市政中心專用區,,,,00770000
