編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLQLKHNFFBC08CC,復興段二小段,.00,都市：商,,,,00630000
RPQNMLQLKHNFFBC08CC,復興段二小段,.00,都市：商,,,,00760000
RPTNMLQLKHNFFBC38CC,中興段一小段,33.25,都市：商,,,,00270000
RPTNMLQLKHNFFBC38CC,中興段一小段,4.25,都市：商,,,,00280000
RPPOMLMLLHNFFBC77CC,港濱段,24.60,都市：商,,,,14870000
RPQNMLNLLHNFFBC87CC,中興段三小段,.00,都市：商,,,,00750000
RPTNMLNLLHNFFBC18CC,長潭段,.00,都市：住,,,,08450003
RPPNMLQKMHNFFCC18CC,麥金段,6.82,都市：住,,,,05250000
RPPNMLQKMHNFFCC18CC,麥金段,.00,都市：住,,,,05270001
RPPNMLQKMHNFFCC18CC,麥金段,.00,都市：住,,,,05290002
RPPNMLQKMHNFFBC08CC,延平段,39.00,都市：商,,,,01680000
RPUNMLNLLHNFFBC28CC,調和段,.00,都市：住,,,,12650000
RPQNMLQKMHNFFBC18CC,中央段一小段,10.00,都市：商,,,,00100000
RPQNMLQKMHNFFBC18CC,中央段一小段,2.50,都市：商,,,,00110000
RPQNMLQKMHNFFBC18CC,中央段一小段,2.50,都市：商,,,,00120000
RPQNMLQKMHNFFBC18CC,中央段一小段,9.87,都市：商,,,,00130000
RPPOMLRLMHNFFCC58DC,情人湖段,28.09,都市：住,,,,01350000
RPUOMLOLMHNFFBC58CC,調和段,.00,都市：住,,,,14140000
RPUNMLKMMHNFFCC28CC,工建段,27.82,都市：其他:乙種工業區,,,,09090006
RPUNMLKMMHNFFCC28CC,工建段,33.63,都市：其他:乙種工業區,,,,09090111
RPUNMLKMMHNFFCC28CC,工建段,10.52,都市：其他:乙種工業區,,,,09090113
RPUNMLKMMHNFFCC28CC,工建段,5.59,都市：其他:乙種工業區,,,,09090116
RPUNMLKMMHNFFCC28CC,工建段,6.38,都市：其他:乙種工業區,,,,09090126
RPUNMLKMMHNFFCC28CC,工建段,34.29,都市：其他:乙種工業區,,,,09090148
RPUNMLKMMHNFFCC28CC,工建段,31.67,都市：其他:乙種工業區,,,,09090151
RPUNMLKMMHNFFCC28CC,工建段,6.82,都市：其他:乙種工業區,,,,09090152
RPQNMLKLMHNFFBC67CC,中興段三小段,.00,都市：商,,,,00750000
RPWNMLNJNHNFFCC58CC,五堵段五堵北小段,25.35,都市：住,,,,09030000
RPWNMLSLLHNFFCC09CC,五堵段五堵北小段,14.22,都市：其他:市場用地,,,,09190000
RPVNMLMKMHNFFCC48DC,大武崙段內寮小段,42.22,都市：住,,,,07230000
RPROMLSJNHNFFBC58CC,中央段一小段,.00,都市：商,,,,00040000
RPROMLSJNHNFFBC58CC,中央段一小段,.00,都市：商,,,,00050000
RPROMLSJNHNFFBC58CC,中央段一小段,.00,都市：商,,,,00060000
RPROMLSJNHNFFBC58CC,中央段一小段,.00,都市：商,,,,00070000
RPTNMLMKMHNFFCC28DC,安國段,1312.00,都市：住,,,,00030003
RPQOMLSLLHNFFCC58CC,工建段,.00,都市：工,,,,09020000
