鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中西區,房地(土地+建物),臺南市中西區正興街１６１號八樓之２０,2.83,商,,,1070106,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830528,26.89,1,1,1,有,有,1160000,43139,,0.0,0,,RPUPMLMKKHNFFAD97CA,17.32,0.0,3.36,,
北區,房地(土地+建物)+車位,臺南市北區開元路５０７號二十樓之１,11.49,商,,,1070129,土地3建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1041105,159.7,3,2,2,有,有,6880000,43081,坡道平面,32.55,0,,RPQNMLNKKHNFFAD47CA,74.26,2.66,12.25,,
北區,房地(土地+建物)+車位,臺南市北區北園街８巷２８號五樓之１,11.66,商,,,1061230,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0961227,148.57999999999998,3,2,2,有,有,5850000,39373,坡道機械,0.0,0,,RPWNMLNKKHNFFAD08CA,84.13,2.17,7.3,,
中西區,房地(土地+建物),臺南市中西區西寧街５８號,38.0,住,,,1061226,土地2建物1車位0,全,二層,透天厝,住家用,磚造,0520101,71.04,3,2,3,有,無,4880000,68694,,0.0,0,,RPOOMLNKKHNFFAD37CA,71.04,0.0,0.0,,
北區,房地(土地+建物)+車位,臺南市北區文賢路１１２２巷２３號三樓之７,44.5,住,,,1061222,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1060810,120.57,3,2,2,有,有,7900000,65123,其他,10.01,700000,,RPUOMLNKKHNFFAD97CA,74.26,0.0,7.58,,
中西區,房地(土地+建物)+車位,臺南市中西區湖美街７０巷６號七樓之９,16.75,其他,,,1070120,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871203,152.42000000000002,3,2,2,有,有,5300000,34772,坡道平面,0.0,0,,RPTQMLNKKHNFFAD08CA,91.75,0.0,11.01,,
北區,房地(土地+建物),臺南市北區北忠街５８巷３７號四樓之５,15.84,商,,,1070106,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700703,63.82,2,1,1,有,無,2450000,38389,,0.0,0,,RPUQMLNKKHNFFAD18CA,54.04,0.0,0.0,,
中西區,房地(土地+建物),臺南市中西區忠義路二段１８５號六樓之３,7.61,商,,,1070116,土地1建物1車位0,六層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0691203,48.07,1,1,1,有,有,1380000,28708,,0.0,0,,RPOOMLLLKHNFFAD27CA,48.07,0.0,0.0,,
安平區,房地(土地+建物),臺南市安平區永華二街４０巷３號,97.0,住,,,1070110,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,0920701,265.23,4,1,5,有,無,15200000,57309,,0.0,0,,RPVNMLOKKHNFFAD08CA,253.83,0.0,11.4,,
北區,房地(土地+建物),臺南市北區國華街四段５巷１２號二樓之１,26.05,商,,,1070118,土地4建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701222,55.88,2,1,1,有,無,2300000,41160,,0.0,0,,RPQNMLMLKHNFFAD47CA,41.32,0.0,4.6,,
