鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
朴子市,房地(土地+建物),嘉義縣朴子市大?榔１０３６巷２弄５號,106.35,,鄉村區,乙種建築用地,1070115,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0970408,296.65,4,2,2,有,有,8820000,29732,,0.0,0,,RPRNMLNKKHNFFBQ98CA,248.22,13.41,0.0,,
布袋鎮,土地,過溝新段1405地號,2905.33,,一般農業區,養殖用地,1070201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,103,,0.0,0,姊弟特殊關係間之交易。,RPSNMLNKKHNFFBQ09CA,0.0,0.0,0.0,,
六腳鄉,土地,港尾寮段豐美小段428地號,646.25,,特定農業區,農牧用地,1070202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,620000,959,,0.0,0,,RPPNMLLLKHNFFBQ68CA,0.0,0.0,0.0,,
朴子市,土地,鎮安段1275-14地號,155.0,住,,,1070202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3750000,24194,,0.0,0,,RPPNMLMLKHNFFBQ78CA,0.0,0.0,0.0,,
東石鄉,土地,型厝段342地號,111.31,,鄉村區,乙種建築用地,1070118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,760000,6828,,0.0,0,未保存房屋一楝親友、員工或其他特殊關係間之交易。,RPTNMLMLKHNFFBQ56CA,0.0,0.0,0.0,,
朴子市,房地(土地+建物),嘉義縣朴子市八德路７巷１１號,112.89,住,,,1070122,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0920527,169.72,4,2,4,有,無,10500000,61867,,0.0,0,契稅增值稅由賣方繳納,RPRNMLNLKHNFFBQ09CA,159.51,10.21,0.0,,
朴子市,房地(土地+建物),嘉義縣朴子市朴子三路１６９巷６號七樓２９,5.52,商,,,1070125,土地1建物1車位0,七層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941003,27.05,1,1,1,有,有,700000,25878,,0.0,0,,RPPNMLOJLHNFFBQ88CA,15.98,0.0,1.66,,
朴子市,房地(土地+建物),嘉義縣朴子市朴子三路１６９巷６號七樓２６,5.55,商,,,1070125,土地1建物1車位0,七層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941003,27.200000000000003,1,1,1,有,有,700000,25735,,0.0,0,,RPQNMLOJLHNFFBQ98CA,16.07,0.0,1.66,,
民雄鄉,土地,民工段393地號,132.0,住,,,1070118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3900000,29545,,0.0,0,,RPSNMLNKKHNFFCQ56CA,0.0,0.0,0.0,,
新港鄉,房地(土地+建物),嘉義縣新港鄉南港村８鄰２３０號,728.91,,鄉村區,乙種建築用地,1070130,土地3建物2車位0,全,一層,透天厝,工業用,鐵造,0640206,261.01,3,2,2,有,無,12600000,48274,,0.0,0,,RPVNMLNKKHNFFCQ86CA,261.01,0.0,0.0,,
大林鎮,房地(土地+建物),嘉義縣大林鎮平林里16鄰信義街２７巷９號,49.59,住,,,1070123,土地4建物1車位0,一層，二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720926,87.76,3,2,2,有,無,2930000,33387,,0.0,0,,RPWNMLNKKHNFFCQ96CA,87.76,0.0,0.0,,
新港鄉,土地,大崙段大崙小段287地號,2699.0,,特定農業區,農牧用地,1070131,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7287300,2700,,0.0,0,,RPPNMLOKKHNFFCQ98CA,0.0,0.0,0.0,,
大林鎮,房地(土地+建物),嘉義縣大林鎮過溪里永祿新城１５巷１３號,69.37,,鄉村區,乙種建築用地,1070126,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0710128,118.21,4,1,2,有,無,2460000,20810,,0.0,0,,RPVOMLOKKHNFFCQ07CA,118.21,0.0,0.0,,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉興南村頭橋７３１號二樓,31.16,住,,,1070122,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0811130,100.69,3,2,2,有,有,1930000,19168,,0.0,0,,RPWOMLOKKHNFFCQ17CA,76.81,0.0,8.26,,
