編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLNKKHNFFAX27CA,鐵線段,93.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10460000
RPQNMLMLKHNFFAX96DA,馬公段,274.00,非都市： ; 非都市編定：,1,1,全筆移轉,05330000
RPPNMLMJLHNFFAX66CA,南寮北段,292.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08770000
RPPNMLMJLHNFFAX66CA,南寮北段,1183.05,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07060000
RPRNMLNKKHNFFAX96CA,興崁段,357.80,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08690000
RPPNMLMKLHNFFAX96EA,埕中段,64.42,非都市： ; 非都市編定：,1,1,全筆移轉,02050000
RPQNMLOKNHOFFAX37CA,文光段,26.95,非都市： ; 非都市編定：,100000,618,持分移轉,00570000
RPVNMLNKKHNFFAX47DA,馬公段,42.00,非都市： ; 非都市編定：,2,1,持分移轉,01030162
RPVNMLNKKHNFFAX47DA,馬公段,7.50,非都市： ; 非都市編定：,2,1,持分移轉,01030232
RPQNMLNKKHNFFAX86CA,北極段,1134.14,非都市： ; 非都市編定：,1,1,全筆移轉,02370000
RPSNMLNKKHNFFAX27EA,文東段,7.01,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,09780000
RPSNMLNKKHNFFAX27EA,文東段,43.57,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,09790000
RPSNMLNKKHNFFAX27EA,東衛段,277.85,非都市：一般農業區 ; 非都市編定：農牧用地,10,1,持分移轉,05000000
RPSNMLOKKHNFFAX37EA,竹篙灣段,1119.00,非都市：一般農業區 ; 非都市編定：農牧用地,8,1,持分移轉,33790000
RPSNMLOKKHNFFAX37EA,竹灣段,123.74,非都市：一般農業區 ; 非都市編定：農牧用地,8,1,持分移轉,20110000
RPTNMLLLKHNFFAX07CA,埕中段,.57,非都市： ; 非都市編定：,2604,113,持分移轉,04280000
