編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLOKNHNFFAD97CA,漁光段,8.99,都市：商,100000,136,持分移轉,08660000
RPVOMLOKNHNFFAD48CA,大港段,132.69,都市：其他:市場用地,10000,432,持分移轉,00780002
RPVOMLLKNHNFFAD18CA,立人段,1.40,都市：住,100000,1543,持分移轉,11760000
RPOPMLOKNHNFFAD87CA,南門段,9.81,都市：住,100000,503,持分移轉,18530000
RPVOMLLKNHNFFAD18CA,立人段,5.15,都市：商,100000,1543,持分移轉,11770000
RPXOMLPKNHNFFAD78CA,漁光段,11.48,都市：商,100000,344,持分移轉,08690000
RPWNMLOKNHNFFAD48CA,金城段,193.00,都市：住,1,1,全筆移轉,00030009
RPWNMLOKNHNFFAD48CA,金城段,106.00,都市：住,1,1,全筆移轉,00030010
RPWNMLOKNHNFFAD48CA,金城段,109.00,都市：住,1,1,全筆移轉,00030021
RPVOMLPKNHNFFAD58CA,大興段,93.02,都市：住,1,1,全筆移轉,09570000
RPTPMLPKNHNFFAD48CA,漁光段,7.31,都市：商,100000,219,持分移轉,08690000
RPUNMLSKNHNFFAD68CA,康樂段,58.00,都市：商,1,1,全筆移轉,02740007
RPQNMLOKNHNFFAD87CA,漁光段,12.03,都市：商,100000,182,持分移轉,08660000
RPSQMLPKNHNFFAD48CA,金華段,20.63,都市：住,10000,181,持分移轉,00590000
RPORMLKMNHNFFAD87CA,保安段,54.00,都市：住,1,1,全筆移轉,16900000
RPSQMLPKNHNFFAD48CA,金華段,2.05,都市：商,10000,18,持分移轉,00590000
RPORMLKMNHNFFAD87CA,保安段,2.00,都市：其他:道路用地,1,1,全筆移轉,16900001
RPORMLKMNHNFFAD87CA,保安段,32.00,都市：住,1,1,全筆移轉,16910000
RPSQMLPKNHNFFAD48CA,金華段,2.05,都市：住,10000,18,持分移轉,00590000
RPORMLKMNHNFFAD87CA,保安段,3.00,都市：其他:道路用地,1,1,全筆移轉,16910001
RPOQMLPKNHNFFAD08CA,金城段,16.65,都市：住,10000,111,持分移轉,00090013
RPVNMLTKNHNFFAD88CA,金城段,92.00,都市：住,1,1,全筆移轉,00830014
RPQNMLMLNHNFFAD77CA,大興段,105.69,都市：其他:道路用地,1000,938,持分移轉,00960001
RPQNMLMLNHNFFAD77CA,大興段,48.22,都市：其他:道路用地,1,1,全筆移轉,00990003
RPRNMLPLNHNFFAD18CA,漁光段,11.97,都市：商,100000,181,持分移轉,08660000
RPPNMLOKNHNFFBD87CA,淵東段,3.33,都市：其他:道路用地,56,1,持分移轉,07260001
RPPNMLOKNHNFFBD87CA,淵東段,3.33,都市：其他:道路用地,56,1,持分移轉,07260001
RPPNMLOKNHNFFBD87CA,淵東段,3.33,都市：其他:道路用地,56,1,持分移轉,07260001
RPPNMLOKNHNFFBD87CA,淵東段,3.33,都市：其他:道路用地,56,1,持分移轉,07260001
RPQQMLOJOHNFFAD18CA,郡王祠段,209.47,都市：商,1,1,全筆移轉,06020000
RPQQMLOJOHNFFAD18CA,郡王祠段,37.24,都市：商,1,1,全筆移轉,06030000
RPPOMLLLNHNFFBD77CA,海西段,9.76,都市：農,112,1,持分移轉,04590000
RPPOMLLLNHNFFBD77CA,海西段,13.22,都市：農,112,1,持分移轉,04600000
RPPOMLLLNHNFFBD77CA,海西段,115.47,都市：農,112,1,持分移轉,04610000
RPPOMLLLNHNFFBD77CA,海西段,12.56,都市：農,112,1,持分移轉,04610002
RPPOMLLLNHNFFBD77CA,海西段,7.95,都市：農,112,1,持分移轉,04620000
RPPOMLLLNHNFFBD77CA,海西段,4.14,都市：農,112,1,持分移轉,04620001
RPPOMLLLNHNFFBD77CA,海西段,270.39,都市：農,112,1,持分移轉,04630000
RPPOMLLLNHNFFBD77CA,海西段,198.81,都市：農,112,1,持分移轉,04630001
RPPOMLLLNHNFFBD77CA,海西段,22.33,都市：農,112,1,持分移轉,04640000
RPPOMLLLNHNFFBD77CA,海西段,8.61,都市：農,112,1,持分移轉,04640001
RPPOMLLLNHNFFBD77CA,海西段,567.46,都市：農,112,1,持分移轉,04650000
RPPOMLLLNHNFFBD77CA,海西段,59.72,都市：農,112,1,持分移轉,04650001
RPPOMLLLNHNFFBD77CA,海西段,35.29,都市：農,112,1,持分移轉,04660000
RPPOMLLLNHNFFBD77CA,海西段,41.10,都市：農,112,1,持分移轉,04680000
RPPOMLLLNHNFFBD77CA,海西段,46.31,都市：農,112,1,持分移轉,04700000
RPPOMLLLNHNFFBD77CA,海西段,1553.21,都市：農,112,1,持分移轉,04710000
RPPOMLLLNHNFFBD77CA,海西段,7.39,都市：農,112,1,持分移轉,04720000
RPPOMLLLNHNFFBD77CA,海西段,20.79,都市：農,112,1,持分移轉,04730000
RPPOMLLLNHNFFBD77CA,海西段,850.72,都市：農,112,1,持分移轉,04670000
RPPOMLLLNHNFFBD77CA,海西段,908.78,都市：農,112,1,持分移轉,04690000
RPUOMLLLNHNFFBD28CA,砂崙段,645.11,都市：農,1,1,全筆移轉,04000000
RPUOMLLLNHNFFBD28CA,砂崙段,1372.30,都市：其他:部分道路用地，部分住宅區,1,1,全筆移轉,04010001
RPUOMLLLNHNFFBD28CA,砂崙段,1050.74,都市：其他:部分道路用地，部分住宅區,1,1,全筆移轉,04010000
RPPNMLLMNHNFFAD67CA,金華段,28.58,都市：商,10000,110,持分移轉,01470006
