編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSOMLLKNHNFFDE48CC,灣中段,.00,非都市： ; 非都市編定：,,,,05010000
RPQOMLLKNHNFFEE38CC,果貿段,76.00,都市：住,,,,00060006
RPROMLLKNHNFFEE48CC,新庄段十二小段,27.47,都市：住,,,,10310000
RPWNMLLKNHNFFAE48CC,龍華段八小段,11.17,都市：商,,,,22800000
RPSOMLLKNHNFFCE38CC,店鎮段一小段,71.00,非都市： ; 非都市編定：,,,,10900001
RPPPMLLKNHNFFEE38CC,新民段,.00,都市：商,,,,01440000
RPSOMLLKNHNFFEE58CC,新庄段十三小段,.00,都市：商,,,,14450000
RPSOMLLKNHNFFGE78CC,華英段,.00,都市：住,,,,00570000
RPSOMLLKNHNFFGE78CC,華英段,.00,都市：住,,,,00570001
RPQNMLMKNHNFFEE38CC,?後段,36.08,都市：住,,,,00190009
RPPNMLLKNHNFFLE88CC,磚子?段,2439.00,都市：工,,,,30720000
RPPNMLLKNHNFFLE88CC,磚子?段,48.00,都市：其他:,,,,30720002
RPSNMLMKNHNFFDE48CC,大港段,79.00,都市：住,,,,34140003
RPPNMLLKNHNFFFE28CC,大德段,385.69,都市：住,,,,01270000
RPPNMLLKNHNFFFE28CC,大德段,462.07,都市：住,,,,01280000
RPRNMLMKNHNFFDE38CC,建民段,5.52,都市：商,,,,00440000
RPTNMLMKNHNFFDE58CC,中華段二小段,.00,都市：商,,,,14880000
RPPNMLNKNHNFFBE08CC,大統段一小段,.00,都市：商,,,,03400000
RPROMLOKNHNFFAE38CC,前金段,2.84,都市：商,,,,01080005
RPUOMLOKNHNFFAE68CC,龍華段八小段,.00,都市：商,,,,21880000
RPXNMLOKNHNFFDE56CC,灣中段,.00,非都市： ; 非都市編定：,,,,01210000
RPSQMLOKNHNFFBE78CC,大統段二小段,.00,都市：商,,,,02560000
RPOOMLOKNHNFFEE48CC,新庄段十二小段,.00,都市：住,,,,10710000
RPVOMLOKNHNFFAE78CC,博孝段,.00,都市：商,,,,05360000
RPSOMLOKNHNFFAE48CC,大成段,9.01,都市：商,,,,07170000
RPVOMLPKNHNFFEE66CC,新庄段十二小段,137.00,都市：住,,,,10380002
RPXOMLOKNHNFFEE76CC,新光段,18.60,都市：商,,,,03690000
RPRNMLPKNHNFFDE68CC,三塊厝段三小段,10.20,都市：住,,,,36400000
RPWNMLPKNHNFFBE98CC,新興段二小段,17.34,都市：商,,,,17510000
RPQPMLPKNHNFFCE68CC,盛興段,27.62,都市：住,,,,00750001
RPXOMLPKNHNFFAE09CC,龍華段八小段,162.00,都市：商,,,,22800002
RPROMLPKNHNFFBE58CC,林德官段四小段,75.00,都市：商,,,,38330000
RPROMLPKNHNFFBE58CC,林德官段四小段,56.00,都市：商,,,,38340000
RPSNMLQKNHNFFCE78CC,孔宅段,53.00,都市：商,,,,12100000
RPVNMLQKNHNFFCE09CC,獅甲段,.31,都市：住,,,,03300000
RPVNMLQKNHNFFCE09CC,獅甲段,.98,都市：住,,,,03310000
RPSPMLPKNHNFFCE88CC,獅甲段二小段,93.73,都市：住,,,,05910000
RPSNMLPKNHNFFDE78CC,鼎泰段,7.60,都市：住,,,,14030001
RPPOMLPKNHNFFDE58CC,中華段一小段,600.00,都市：工,,,,08790000
RPUNMLQKNHNFFCE98CC,獅甲段,1.34,都市：住,,,,03300000
RPWNMLQKNHNFFCE56CC,愛群段,128.00,都市：商,,,,01820012
RPUNMLQKNHNFFCE98CC,獅甲段,4.22,都市：住,,,,03310000
RPTNMLQKNHNFFIE96DC,豐禾段,68.71,都市：住,,,,10060000
RPSNMLQKNHNFFBE68CC,苓雅寮段,61.00,都市：商,,,,06810000
RPXNMLQKNHNFFBE56CC,五塊厝段,.00,都市：住,,,,19740000
RPXNMLQKNHNFFBE56CC,五塊厝段,.00,都市：住,,,,19750001
RPQOMLQKNHNFFBE58CC,大統段二小段,123.00,都市：商,,,,03360000
RPROMLQKNHNFFBE68CC,大統段一小段,.00,都市：商,,,,14050000
RPRNMLQKNHNFFAE48CC,內惟段九小段,.00,都市：住,,,,00190000
RPSNMLQKNHNFFIE86DC,新後港西段,92.33,都市：住,,,,00690006
RPOOMLQKNHNFFBE38CC,正言段,.00,都市：住,,,,01310000
RPOOMLQKNHNFFDE58CC,覆鼎金段覆鼎金小段,.00,都市：住,,,,12260000
RPPNMLQKNHNFFDE58CC,建民段,.00,都市：商,,,,04960000
