編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLLKNHNFFAE48CC,坡道機械,0,11.96,
RPQNMLMKNHNFFEE38CC,坡道平面,0,,
RPROMLOKNHNFFAE38CC,坡道平面,0,9.02,
RPXNMLOKNHNFFDE56CC,坡道平面,0,21.44,
RPRNMLQKNHNFFAE48CC,坡道平面,0,21.31,
RPRNMLRKNHNFFDE88CC,坡道平面,0,,
RPWNMLLLNHNFFBE68CC,坡道平面,1500,12.66,
RPTNMLLLNHNFFAE28CC,坡道平面,0,19.34,
RPROMLLLNHNFFEE58CC,坡道平面,0,25.25,
RPVNMLMLNHNFFEE98CC,坡道平面,0,20.67,
RPSNMLMLNHNFFAE28CC,坡道平面,0,5.02,
RPWOMLMLNHNFFAE78CC,坡道平面,0,,
RPQNMLNLNHNFFDE48CC,坡道機械,0,,
RPXNMLNLNHNFFEE66CC,坡道平面,0,18.23,
RPVOMLNLNHNFFCE98CC,坡道機械,0,8.68,
RPOOMLPLNHNFFBE38CC,坡道平面,1500,12.66,
RPTNMLTLNHNFFCE66CC,坡道平面,0,24.18,
RPPOMLTLNHNFFCE98CC,坡道平面,0,24.18,
RPWOMLTLNHNFFBE96CC,坡道平面,0,18.87,
RPPNMLLMNHNFFCE18CC,坡道平面,0,30.79,
RPQNMLMJOHNFFBE08CC,坡道平面,2200,14.64,
RPRNMLMJOHNFFBE18CC,坡道平面,2200,14.64,
RPRNMLOJOHNFFDE58CC,坡道平面,0,,
RPQNMLOJOHNFFEE58CC,坡道平面,0,,
RPSNMLOJOHNFFBE48CC,坡道平面,0,,
RPSNMLOJOHNFFBE48CC,坡道平面,0,,
RPSNMLOJOHNFFBE48CC,坡道平面,0,,
RPROMLOJOHNFFAE38CC,坡道機械,0,8.14,
RPVNMLPJOHNFFBE88CC,坡道平面,0,,
RPOOMLPJOHNFFDE48CC,坡道機械,0,17.09,
RPTNMLQJOHNFFIE86CC,坡道平面,0,31.47,
RPTNMLRJOHNFFAE78CC,坡道平面,0,,
RPVNMLRJOHNFFBE09CC,坡道平面,1700,12.66,
RPRNMLRJOHNFFGE56CC,坡道平面,0,,
RPSOMLRJOHNFFCE98CC,坡道平面,0,23.60,
RPPNMLSJOHNFFEE88CC,坡道機械,0,13.28,
RPTNMLSJOHNFFBE98CC,坡道平面,2000,14.64,
RPXNMLSJOHNFFBE76CC,坡道機械,0,,
