編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPQMLQKNHNFFAF48CA,港子嘴段,23.80,都市：住,3000,100,持分移轉,01140000
RPPOMLOKNHNFFAF08CA,光華段,30.00,都市：住,5,1,持分移轉,06780001
RPROMLOKNHNFFAF28CA,大庭段,22.25,都市：住,4,1,持分移轉,15800000
RPPRMLPKNHNFFAF48CA,重慶段,1.00,都市：其他:道路用地,10,1,持分移轉,02530000
RPPRMLPKNHNFFAF48CA,重慶段,1.10,都市：其他:道路用地,10,1,持分移轉,02740000
RPUQMLMLNHNFFAF68CA,力行段,23.70,都市：住,100000,36,持分移轉,04080004
RPSNMLRKNHNFFAF58CA,府中段,2.88,都市：其他:道路用地,8,1,持分移轉,11710000
RPURMLOKNHNFFAF88CA,民生段,29.04,都市：住,10000,687,持分移轉,04470000
RPWQMLMLNHNFFAF88CA,力行段,25.02,都市：住,100000,38,持分移轉,04080004
RPUOMLLLNHNFFAF38CA,永安段,30.59,都市：住,4,1,持分移轉,01460000
RPUSMLRKNHNFFAF66CA,板院段,16.01,都市：住,100000,626,持分移轉,08130000
RPXRMLMLNHNFFAF09CA,力行段,13.17,都市：住,100000,20,持分移轉,04080004
RPXQMLMLNHNFFAF98CA,力行段,13.17,都市：住,100000,20,持分移轉,04080004
RPVRMLMLNHNFFAF88CA,力行段,13.17,都市：住,100000,20,持分移轉,04080004
RPOSMLMLNHNFFAF28CA,力行段,25.02,都市：住,100000,38,持分移轉,04080004
RPPRMLMLNHNFFAF28CA,力行段,13.83,都市：住,100000,21,持分移轉,04080004
RPQSMLMLNHNFFAF48CA,力行段,23.70,都市：住,100000,36,持分移轉,04080004
RPXSMLMLNHNFFAF56CA,力行段,13.17,都市：住,100000,20,持分移轉,04080004
RPRSMLMLNHNFFAF58CA,力行段,13.83,都市：住,100000,21,持分移轉,04080004
RPPSMLMLNHNFFAF38CA,力行段,25.02,都市：住,100000,38,持分移轉,04080004
RPUSMLMLNHNFFAF88CA,力行段,13.17,都市：住,100000,20,持分移轉,04080004
RPWRMLMLNHNFFAF98CA,新興段,2.94,都市：商,100000,285,持分移轉,06730000
RPOTMLMLNHNFFAF38CA,力行段,24.36,都市：住,100000,37,持分移轉,04080004
RPRRMLMLNHNFFAF48CA,力行段,32.26,都市：住,100000,49,持分移轉,04080004
RPSRMLMLNHNFFAF58CA,力行段,32.26,都市：住,100000,49,持分移轉,04080004
RPTNMLNLNHNFFAF38CA,力行段,13.17,都市：住,100000,20,持分移轉,04080004
RPWSMLMLNHNFFAF09CA,力行段,13.17,都市：住,100000,20,持分移轉,04080004
RPVNMLNLNHNFFAF58CA,力行段,26.34,都市：住,100000,40,持分移轉,04080004
RPWOMLOLNHNFFAF88CA,亞東段,21.80,都市：住,5,1,持分移轉,00990005
RPWNMLNLNHNFFAF68CA,力行段,26.34,都市：住,100000,40,持分移轉,04080004
RPRNMLPLNHNFFAF38CA,廷寮段,25.81,都市：住,10000,77,持分移轉,04300000
RPXPMLNLNHNFFAF98CA,江子翠段第二崁小段,9.89,都市：住,10000,44,持分移轉,02570126
RPUTMLKMNHNFFAF88CA,公館段,32.67,都市：住,3,1,持分移轉,15220000
RPRPMLLKNHNFFBF18CA,成福段,2.97,都市：住,10000,7,持分移轉,11330000
RPQQMLOKNHNFFBF48CA,自強段,27.51,都市：住,4,1,持分移轉,01580000
RPPPMLLKNHNFFBF97CA,成福段,18.27,都市：住,10000,43,持分移轉,11330000
RPTSMLOKNHNFFBF98CA,四維段,12.22,都市：住,10000,38,持分移轉,06850000
