編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPURMLOKNHNFFAF88CA,升降機械,0,15.48,
RPWQMLMLNHNFFAF88CA,坡道平面,0,31.65,
RPPRMLMLNHNFFAF28CA,坡道平面,0,31.65,
RPRSMLMLNHNFFAF58CA,坡道平面,0,31.65,
RPPSMLMLNHNFFAF38CA,坡道平面,0,31.65,
RPOTMLMLNHNFFAF38CA,坡道平面,0,31.65,
RPRRMLMLNHNFFAF48CA,坡道平面,0,31.65,
RPSRMLMLNHNFFAF58CA,坡道平面,0,31.65,
RPVNMLNLNHNFFAF58CA,坡道平面,0,31.65,
RPWNMLNLNHNFFAF68CA,坡道平面,0,31.65,
RPXPMLNLNHNFFAF98CA,坡道機械,0,28.35,
RPRPMLLKNHNFFBF18CA,坡道平面,1500000,,
RPQQMLPKNHNFFBF58CA,坡道平面,100000,5.94,
RPSUMLOKNHNFFBF09CA,坡道平面,1600000,,
RPRPMLQKNHNFFBF68CA,坡道平面,2100000,40.69,
RPRPMLQKNHNFFBF68CA,坡道平面,2100000,40.69,
RPTPMLQKNHNFFBF88CA,坡道平面,2200000,40.69,
RPVPMLQKNHNFFBF09CA,坡道平面,2200000,40.69,
RPWRMLRKNHNFFBF86CA,坡道平面,2000000,18.41,
RPVPMLNLNHNFFBF88CA,坡道平面,2300000,40.69,
RPVPMLNLNHNFFBF88CA,坡道平面,2300000,40.69,
RPUPMLNLNHNFFBF78CA,坡道平面,2300000,40.69,
RPUPMLNLNHNFFBF78CA,坡道平面,2200000,40.69,
RPWPMLNLNHNFFBF98CA,坡道平面,2300000,40.69,
RPWPMLNLNHNFFBF98CA,坡道平面,2300000,40.69,
RPOTMLLMNHNFFBF48CA,升降平面,0,42.98,
RPRQMLPKNHNFFCF78CA,其他,0,,
RPSQMLPKNHNFFCF88CA,其他,1900000,14.17,
RPVOMLQKNHNFFCF09CA,坡道平面,0,29.63,
RPSNMLOKNHNFFDF58CA,坡道平面,2150000,27.22,
RPTNMLOKNHNFFDF68CA,坡道平面,2150000,24.33,
RPQPMLOKNHNFFDF58CA,坡道平面,0,37.80,
RPRQMLOKNHNFFDF78CA,坡道平面,0,64.89,
RPQNMLPLNHNFFDF58CA,坡道平面,0,33.21,
RPVNMLSLNHNFFDF76CA,坡道平面,2100000,27.22,
RPVNMLSLNHNFFDF76CA,坡道平面,2100000,24.33,
RPVPMLLKNHNFFEF88CA,坡道平面,1200000,36.30,
RPUPMLLKNHNFFEF78CA,坡道機械,650000,18.15,
RPWPMLLKNHNFFEF98CA,坡道平面,1200000,36.30,
RPPNMLPLNHNFFDF48CA,坡道平面,1400000,14.56,
RPSNMLPLNHNFFDF78CA,坡道平面,0,,
RPTPMLLKNHNFFEF68CA,坡道機械,700000,18.15,
RPXPMLLKNHNFFEF09CA,坡道平面,1350000,36.30,
RPTOMLSKNHNFFEF66CA,坡道機械,0,15.42,
RPUNNLSKNHNFFEF76CA,坡道平面,1500000,28.99,
RPTNMLQLNHNFFEF09CA,坡道平面,1400000,35.17,
RPVNNLSKNHNFFEF86CA,坡道平面,1450000,28.99,
RPUQMLMLNHNFFEF09CA,坡道平面,900000,37.86,
RPTOMLNJOHNFFEF78CA,坡道平面,0,40.16,
RPTOMLNJOHNFFEF78CA,坡道平面,0,40.16,
RPRPMLOJOHNFFEF78CA,坡道平面,0,32.43,
RPVNMLQJOHNFFEF56CA,坡道平面,0,30.89,
RPSNMLOKNHNFFGF88CA,坡道平面,0,28.56,
RPTNMLLJOHNFFGF68CA,升降機械,0,,
RPPPMLPKNHNFFHF98CA,塔式車位,1500000,21.33,
RPVOMLPKNHNFFHF86CA,塔式車位,1500000,21.33,
RPVQMLPKNHNFFHF07CA,坡道平面,0,34.91,
RPVQMLLJOHNFFHF66CA,坡道平面,2330000,34.58,
RPROMLOKNHNFFIF09CA,坡道平面,0,39.74,
RPWQMLLJOHNFFHF76CA,坡道平面,2320000,34.58,
RPWNMLQJOHNFFHF96CA,坡道機械,0,18.94,
RPXQMLLJOHNFFHF86CA,坡道平面,2200000,34.58,
RPPNMLKLNHNFFIF48CA,坡道平面,0,39.83,
RPWNMLLLNHNFFIF66CA,坡道平面,0,27.69,
RPQPMLNLNHNFFIF09CA,坡道平面,0,35.47,
RPPOMLPKNHNFFAF28DA,坡道平面,0,,
RPPNMLKLNHNFFBF87DA,坡道平面,2000000,30.90,
RPPNMLKLNHNFFBF87DA,坡道平面,2000000,30.90,
RPQOMLLMNHNFFIF88CA,坡道平面,1500000,29.09,
RPOUMLMLNHNFFBF68DA,坡道平面,1500000,33.05,
RPOUMLMLNHNFFBF68DA,坡道平面,1500000,33.05,
RPPUMLMLNHNFFBF78DA,坡道平面,1900000,17.95,
RPUUMLMLNHNFFBF66DA,坡道平面,1500000,53.46,
