編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLOKNHNFFAG18CA,24,88.37,住家用,鋼筋混凝土造,82年12月20日,五層,四層 陽台
RPPOMLOKNHNFFAG18CA,,5.83,共同使用部份﹙車道﹚,鋼筋混凝土造,,五層,
RPQNMLPKNHNFFAG28CA,37,51.94,住家用,鋼筋混凝土造,70年8月11日,七層,四層
RPQNMLPKNHNFFAG28CA,37,14.89,公共設施,鋼筋混凝土造,70年8月11日,七層,
RPTNMLQKNHNFFAG68CA,48,76.96,住家用,鋼筋混凝土加強磚造,58年11月27日,二層,一層 二層
RPUNMLQKNHNFFAG78CA,24,67.38,住家用,鋼筋混凝土造,83年6月10日,十二層,六層 陽台
RPUNMLQKNHNFFAG78CA,24,10.24,共同使用部份（防空避難室及梯間）,鋼筋混凝土造,83年6月10日,十二層,
SPOOMLOLNHNFFAG28CA,29,108.50,住家用,鋼筋混凝土造,78年3月7日,五層,五層 陽台
SPOOMLOLNHNFFAG28CA,29,41.34,公共部份,鋼筋混凝土造,78年3月7日,地下層,
RPOOMLOLNHNFFAG18CA,29,108.50,住家用,鋼筋混凝土造,78年3月7日,五層,五層 陽台
RPOOMLOLNHNFFAG18CA,29,73.82,公共部份,鋼筋混凝土造,78年3月7日,地下層,
RPPNMLPKNHNFFAG18CA,,193.90,住宅、私設騎樓,鋼筋混凝土（ＲＣ）,107年3月6日,三層,一層 二層 三層 陽台
RPWOMLPKNHNFFAG98CA,1,200.97,住家用,ＲＣ造,106年9月5日,三層,一層 二層 三層 陽台
RPRNMLPKNHNFFBG48CA,36,20.63,商業用,鋼筋混凝土造,71年7月27日,八層,二層 陽台
RPRNMLPKNHNFFBG48CA,36,2.57,共有部份,鋼筋混凝土造,71年7月27日,八層,
RPRNMLPKNHNFFBG48CA,36,2.76,共有部份,鋼筋混凝土造,71年7月27日,八層,
RPPNMLNKNHNFFBG08CA,35,73.29,住家用,鋼筋混凝土造,72年8月18日,五層,四層
RPPNMLNKNHNFFBG08CA,35,5.28,共有部份,鋼筋混凝土造,72年8月18日,五層,
RPPQMLOKNHNFFBG48CA,19,84.46,住家用,鋼筋混凝土造,87年11月19日,十二層,八層 陽台
