編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLOKNHNFFAG18CA,羅莊段,23.03,都市：住,9999,157,持分移轉,00520000
RPQNMLPKNHNFFAG28CA,東光段,15.02,都市：住,10000,72,持分移轉,11460000
RPTNMLQKNHNFFAG68CA,中華段,77.00,都市：住,1,1,全筆移轉,08120000
RPOOMLPKNHNFFAG18CA,鎮安段,14.49,都市：住,1,1,全筆移轉,07480002
RPOOMLPKNHNFFAG18CA,鎮安段,4.33,都市：其他:溝渠用地,1,1,全筆移轉,07480029
RPUNMLQKNHNFFAG78CA,學進段,10.30,都市：住,100000,1534,持分移轉,02720000
SPOOMLOLNHNFFAG28CA,蘇港段,20.97,都市：商,2109,21,持分移轉,05650000
RPOOMLOLNHNFFAG18CA,蘇港段,27.05,都市：商,21090,271,持分移轉,05650000
RPOOMLSLNHNFFAG58CA,柑仔坑段,6070.60,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00700000
RPPNMLPKNHNFFAG18CA,大洲二段,108.55,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,13860000
RPPNMLPKNHNFFAG18CA,大洲二段,.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,10,1,持分移轉,13890000
RPPNMLPKNHNFFAG18CA,大洲二段,18.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,13910000
RPPNMLPKNHNFFAG18CA,大洲二段,.86,非都市：特定農業區 ; 非都市編定：甲種建築用地,10,1,持分移轉,13950000
RPQOMLTLNHNFFAG88CA,安平段,3694.42,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06300000
RPWOMLPKNHNFFAG98CA,大吉三段,105.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14820013
RPWOMLPKNHNFFAG98CA,大吉三段,.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14820018
RPRNMLPKNHNFFBG48CA,玉石段,1.53,都市：其他:健康休閒專用區,1000,6,持分移轉,08850000
RPRNMLPKNHNFFBG48CA,玉石段,.69,都市：其他:健康休閒專用區,1000,6,持分移轉,08850002
RPRNMLPKNHNFFBG48CA,玉石段,2.28,都市：其他:健康休閒專用區,1000,6,持分移轉,08850003
RPWNMLPKNHNFFBG98CA,望龍埤段,2271.04,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,03250000
RPOOMLTLNHNFFAG68CA,安平段,2550.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06300003
RPPNMLNKNHNFFBG08CA,乾門三段,25.29,都市：住,10000,328,持分移轉,07290000
RPPQMLOKNHNFFBG48CA,黎明段,20.89,都市：住,10000,71,持分移轉,06840000
RPVPMLOKNHNFFBG98CA,珍子滿力段擺厘小段,26.10,都市：住,15430,261,持分移轉,01320000
RPRNMLOKNHNFFBG38CA,金六結二段,78.56,都市：住,1,1,全筆移轉,01340000
RPXNMLQKNHNFFBG56CA,新公園段,201.64,都市：住,1,1,全筆移轉,00850000
RPOOMLOKNHNFFBG18CA,古結段,75.20,非都市：特定農業區 ; 非都市編定：甲種建築用地,10,1,持分移轉,12900000
RPOOMLOKNHNFFBG18CA,古結段,14.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,5,1,持分移轉,12920000
RPOOMLOKNHNFFBG18CA,古結段,81.40,非都市：特定農業區 ; 非都市編定：甲種建築用地,5,1,持分移轉,12870000
RPRNMLOKNHNFFAG48EA,公正段,84.00,都市：住,1,1,全筆移轉,13040019
RPRNMLOKNHNFFAG48EA,公正段,11.00,都市：住,1,1,全筆移轉,13080002
RPUOMLOKNHNFFBG98EA,新洲子段,495.78,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00830000
RPROMLRKNHNFFBG78CA,珍子滿力段擺厘小段,3.99,都市：住,100,3,持分移轉,00580008
RPROMLRKNHNFFBG78CA,珍子滿力段擺厘小段,17.45,都市：住,658,9,持分移轉,00580009
RPROMLRKNHNFFBG78CA,珍子滿力段擺厘小段,5.22,都市：住,100,3,持分移轉,00580010
RPROMLRKNHNFFBG78CA,珍子滿力段擺厘小段,17.07,都市：住,100,3,持分移轉,00580015
RPXNMLRKNHNFFBG86EA,宜榮段,260.00,都市：其他:道路用地,2,1,持分移轉,06050000
RPRNMLSKNHNFFBG78CA,珍子滿力段擺厘小段,31.40,都市：住,3310,157,持分移轉,00150001
RPVNMLQKNHNFFAG09EA,香城段,2419.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03730000
