編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVOMLOKNHNFFDH66CB,草湳坡段埔心小段,25.51,都市：住,10000,76,持分移轉,00220005
RPUPMLOKNHNFFDH66CB,草湳坡段埔心小段,18.80,都市：住,10000,56,持分移轉,00220005
RPQPMLOKNHNFFDH88CB,草湳坡段埔心小段,23.16,都市：住,10000,69,持分移轉,00220005
RPWOMLOKNHNFFDH76CB,草湳坡段埔心小段,23.16,都市：住,10000,69,持分移轉,00220005
RPRPMLOKNHNFFDH98CB,草湳坡段埔心小段,25.51,都市：住,10000,76,持分移轉,00220005
RPTPMLOKNHNFFDH56CB,草湳坡段埔心小段,23.16,都市：住,10000,69,持分移轉,00220005
RPOPMLOKNHNFFDH68CB,草湳坡段埔心小段,18.13,都市：住,10000,54,持分移轉,00220005
RPWPMLOKNHNFFDH86CB,草湳坡段埔心小段,23.16,都市：住,10000,69,持分移轉,00220005
RPXPMLOKNHNFFDH96CB,草湳坡段埔心小段,23.16,都市：住,10000,69,持分移轉,00220005
RPXOMLOKNHNFFDH86CB,草湳坡段埔心小段,27.86,都市：住,10000,83,持分移轉,00220005
RPPPMLOKNHNFFDH78CB,草湳坡段埔心小段,23.16,都市：住,10000,69,持分移轉,00220005
RPRQMLOKNHNFFDH09CB,草湳坡段埔心小段,27.86,都市：住,10000,83,持分移轉,00220005
RPVPMLOKNHNFFDH76CB,草湳坡段埔心小段,23.16,都市：住,10000,69,持分移轉,00220005
RPSQMLOKNHNFFDH56CB,草湳坡段埔心小段,21.48,都市：住,10000,64,持分移轉,00220005
RPQQMLOKNHNFFDH98CB,草湳坡段埔心小段,25.51,都市：住,10000,76,持分移轉,00220005
RPPQMLOKNHNFFDH88CB,草湳坡段埔心小段,25.51,都市：住,10000,76,持分移轉,00220005
RPTQMLOKNHNFFDH66CB,草湳坡段埔心小段,25.51,都市：住,10000,76,持分移轉,00220005
RPRNMLPKNHNFFDH09EB,草湳坡段埔心小段,24.84,都市：住,100000,504,持分移轉,00570001
RPUQMLOKNHNFFDH76CB,草湳坡段埔心小段,25.51,都市：住,10000,76,持分移轉,00220005
RPOQMLOKNHNFFDH78CB,草湳坡段埔心小段,25.51,都市：住,10000,76,持分移轉,00220005
RPUQMLRKNHNFFDH07CB,草湳坡段埔心小段,23.16,都市：住,10000,69,持分移轉,00220005
RPRQMLRKNHNFFDH76CB,草湳坡段埔心小段,25.51,都市：住,10000,76,持分移轉,00220005
RPVQMLRKNHNFFDH17CB,草湳坡段埔心小段,18.80,都市：住,10000,56,持分移轉,00220005
RPVQMLOKNHNFFDH86CB,草湳坡段埔心小段,25.51,都市：住,10000,76,持分移轉,00220005
RPSQMLRKNHNFFDH86CB,草湳坡段埔心小段,23.16,都市：住,10000,69,持分移轉,00220005
RPXQMLRKNHNFFDH37CB,草湳坡段埔心小段,18.13,都市：住,10000,54,持分移轉,00220005
RPORMLRKNHNFFDH56CB,草湳坡段埔心小段,21.48,都市：住,10000,64,持分移轉,00220005
RPQRMLRKNHNFFDH76CB,草湳坡段埔心小段,18.80,都市：住,10000,56,持分移轉,00220005
