編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLOKNHNFFAI78CA,24,166.05,住家用,鋼筋混凝土造,83年4月7日,三層,一層 二層 三層 陽台 電梯樓梯間
RPOPMLOKNHNFFAI38CA,26,74.39,住家用,鋼筋混凝土造,81年9月14日,九層,八層 陽台 花台
RPOPMLOKNHNFFAI38CA,26,2.91,共有部份,鋼筋混凝土造,81年9月14日,九層,
RPOPMLOKNHNFFAI38CA,26,11.29,共有部份,鋼筋混凝土造,81年9月14日,九層,
RPRNMLQLNHNFFAI78CA,24,99.78,住家用,鋼筋混凝土造,83年4月6日,十二層,十二層 陽台
RPRNMLQLNHNFFAI78CA,24,17.62,共有部份,鋼筋混凝土造,83年4月6日,十二層,
RPRNMLQLNHNFFAI78CA,24,11.98,共有部份,鋼筋混凝土造,83年4月6日,十二層,
RPOOMLRKNHNFFAI58CA,20,89.09,住家用,鋼筋混凝土造,87年3月19日,二十二層,十八層
RPOOMLRKNHNFFAI58CA,20,15.84,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPOOMLRKNHNFFAI58CA,20,19.39,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPPNMLRKNHNFFAI58CA,24,111.40,住家用,鋼筋混凝土造,82年11月11日,十三層,十一層 陽台
RPPNMLRKNHNFFAI58CA,24,32.13,共有部份,鋼筋混凝土造,82年11月11日,十三層,
RPQNMLRLNHNFFAI78CA,26,99.32,住家用,鋼筋混凝土造,81年8月28日,十層,三層 陽台
RPQNMLRLNHNFFAI78CA,26,29.75,共有部份,鋼筋混凝土造,81年8月28日,十層,
RPTOMLNLNHNFFAI78CA,4,211.58,停車空間、住宅、樓梯間,鋼筋混凝土構造,102年10月16日,三層,一層 二層 三層 陽台 見其他登記事項
RPSOMLLMNHNFFAI58CA,27,77.13,住家用,鋼筋混凝土造,80年1月4日,六層,一層 平台
RPSOMLLMNHNFFAI58CA,27,18.26,共有部份,鋼筋混凝土造,80年1月4日,六層,
RPSOMLLMNHNFFAI58CA,27,21.24,停車場、避難室,鋼筋混凝土造,80年1月4日,六層,
RPROMLLMNHNFFAI48CA,40,105.34,住家用,鋼筋混凝土加強磚造,67年9月18日,二層,一層 二層
RPRNMLNLNHNFFAI68EA,17,347.94,商業用,鋼筋混凝土造,90年6月21日,三層,一層 二層 三層 陽台 騎樓 電梯樓梯間
RPSOMLPKNHNFFAI98EA,39,108.62,住家用,鋼筋混凝土加強磚造,68年3月7日,二層,一層 二層
RPQOMLTLNHNFFAI09CA,28,207.22,住家用,鋼筋混凝土造,79年8月30日,三層,一層 二層 三層 電梯樓梯間
RPTNMLRKNHNFFAI56EA,27,109.95,住家用,鋼筋混凝土造,80年6月27日,十五層,五層 陽台 花台
RPTNMLRKNHNFFAI56EA,27,20.42,共有部份,鋼筋混凝土造,80年6月27日,十五層,
RPTNMLRKNHNFFAI56EA,27,.42,共有部份,鋼筋混凝土造,80年6月27日,十五層,
RPTNMLRKNHNFFAI56EA,27,6.24,停車場、避難室,鋼筋混凝土造,80年6月27日,十五層,
RPVNMLQJOHNFFAI09CA,32,118.75,住家用,加強磚造,75年4月8日,二層,一層 二層 電梯樓梯間
RPSNMLSKNHNFFAI56EA,24,102.47,住家用,鋼筋混凝土造,83年9月14日,十二層,十層 陽台 花台
RPSNMLSKNHNFFAI56EA,24,32.95,共有部份,鋼筋混凝土造,83年9月14日,十二層,
RPQNMLKMNHNFFAI18CA,26,55.68,住家用,鋼筋混凝土造,80年11月2日,八層,五層 陽台
RPQNMLKMNHNFFAI18CA,26,12.78,共有部份,鋼筋混凝土造,80年11月2日,八層,
RPQNMLSKNHNFFAI78CA,,217.68,住宅、樓梯間,鋼筋混凝土構造,107年1月30日,三層,一層 二層 三層 陽台 見其他登記事項
RPVNMLSKNHNFFAI66CA,23,84.14,住家用,鋼筋混凝土造,84年10月9日,七層,二層 陽台 花台
RPVNMLSKNHNFFAI66CA,23,27.97,共有部份,鋼筋混凝土造,84年10月9日,七層,
RPUOMLQJOHNFFAI09CA,48,38.93,住家用,木石磚造,59年3月8日,一層,一層
RPXNMLQJOHNFFAI66CA,23,231.36,住商用,鋼筋混凝土造,83年11月25日,十六層,一層 二層 陽台 平台 騎樓
RPXNMLQJOHNFFAI66CA,23,12.97,共有部份,鋼筋混凝土造,83年11月25日,十六層,
RPXNMLQJOHNFFAI66CA,23,17.68,共有部份,鋼筋混凝土造,83年11月25日,十六層,
RPUNMLOLNHNFFAI88CA,22,78.54,住家用,鋼筋混凝土造,84年10月2日,十三層,六層 陽台 花台
RPUNMLOLNHNFFAI88CA,22,17.67,共有部份,鋼筋混凝土造,84年10月2日,十四層,
RPUNMLOLNHNFFAI88CA,22,14.60,共有部份,鋼筋混凝土造,84年10月2日,十三層,
RPRNMLQKNHNFFAI88EA,3,323.60,停車空間、住宅、梯間,鋼筋混凝土構造,104年4月16日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPRNMLQKNHNFFAI88EA,3,2.53,本共有部分之項目有管理維護空間及入口穿廊等二項。,鋼筋混凝土構造,104年4月16日,一層,
RPQNMLLKOHNFFAI38EA,31,78.36,住家用,加強磚造,75年11月4日,二層,一層 二層 電梯樓梯間
RPTOMLPLNHNFFAI56EA,25,209.82,住商用,鋼筋混凝土造,82年7月6日,四層,一層 二層 三層 四層 陽台 平台 電梯樓梯間
RPRNMLKMNHNFFAI48EA,40,108.24,住家用,鋼筋混凝土加強磚造,67年1月24日,二層,一層 二層 騎樓
RPQNMLQKNHNFFAI78EA,49,111.89,店舖、住房,鋼筋混凝土補強磚造,58年1月28日,三層,一層 二層 三層 地下一層
RPWNMLRKNHNFFAI66CA,22,77.26,住家用,鋼筋混凝土造,85年3月11日,二十層,十一層 陽台
RPWNMLRKNHNFFAI66CA,22,19.58,共有部份,鋼筋混凝土造,85年3月11日,二十層,
RPXNMLRKNHNFFAI76CA,22,33.96,住家用,鋼筋混凝土造,85年3月11日,二十層,四層 陽台
RPXNMLRKNHNFFAI76CA,22,15.06,共有部份,鋼筋混凝土造,85年3月11日,二十層,
RPTOMLTLNHNFFAI96EA,5,133.08,住家用,鋼筋混凝土構造,102年9月2日,三層,一層 二層 三層 陽台
RPPOMLMLNHNFFAI28CA,50,78.42,商業用,加強磚造,57年4月21日,二層,一層 二層
RPVNMLQKNHNFFAI09CA,16,214.86,住商用,鋼筋混凝土造,90年12月12日,四層,一層 二層 三層 四層 陽台
RPWNMLQKNHNFFAI56CA,49,74.00,住家用,加強磚造,58年7月9日,二層,一層 二層
RPUNMLQKNHNFFAI98CA,23,69.22,住家用,鋼筋混凝土造,84年10月4日,十一層,九層 陽台 花台
RPUNMLQKNHNFFAI98CA,23,14.58,共有部份,鋼筋混凝土造,84年10月4日,十一層,
