編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLNLNHNFFAM68CA,24,86.64,住家用,鋼筋混凝土造,83年9月8日,五層,四層 陽台 花台
RPPNMLNLNHNFFAM68CA,24,4.34,機械房、水塔、梯間,鋼筋混凝土造,83年9月8日,五層,
RPRNMLQKNHNFFAM09CA,1,201.66,住宅、樓梯間、水箱間,鋼筋混凝土造,105年11月2日,三層,一層 二層 三層 陽台 屋頂突出物 見其他登記事項
RPRPMLPKNHNFFBM66CA,,60.16,集合住宅,鋼筋混凝土造,106年12月20日,九層,八層 陽台
RPRPMLPKNHNFFBM66CA,,69.54,停車空間兼防空避難室、機電設備空間、台電配電室、發電機房、消防機房、電信室、停車空間、管理委員會使用空間、樓梯間,鋼筋混凝土造,106年12月20日,九層,
RPTPMLPKNHNFFBM86CA,20,189.77,住商用,鋼筋混凝土造,87年6月11日,四層,一層 二層 三層 四層 騎樓
RPQNMLSLNHNFFBM76CA,,89.15,集合住宅,鋼筋混凝土造,106年12月20日,九層,三層 陽台
RPQNMLSLNHNFFBM76CA,,83.91,停車空間兼防空避難室、機電設備空間、台電配電室、發電機房、消防機房、電信室、停車空間、管理委員會使用空間、樓梯間,鋼筋混凝土造,106年12月20日,九層,
RPTNMLSLNHNFFBM07CA,,89.15,集合住宅,鋼筋混凝土造,106年12月20日,九層,九層 陽台
RPTNMLSLNHNFFBM07CA,,83.91,停車空間兼防空避難室、機電設備空間、台電配電室、發電機房、消防機房、電信室、停車空間、管理委員會使用空間、樓梯間,鋼筋混凝土造,106年12月20日,九層,
RPXNMLSLNHNFFBM47CA,,89.15,集合住宅,鋼筋混凝土造,106年12月20日,九層,七層 陽台
RPXNMLSLNHNFFBM47CA,,83.91,停車空間兼防空避難室、機電設備空間、台電配電室、發電機房、消防機房、電信室、停車空間、管理委員會使用空間、樓梯間,鋼筋混凝土造,106年12月20日,九層,
RPQNMLOJOHNFFBM88CA,22,147.28,住商用,鋼筋混凝土造,85年3月12日,八層,一層 二層 三層 陽台 平台 花台
RPQNMLOJOHNFFBM88CA,22,28.28,停車空間、防空避難室、梯間、門廳、機械室、水箱,鋼筋混凝土造,85年3月12日,八層,
RPPNMLPJOHNFFBM88CA,,86.86,住宅、門廊,鋼筋混凝土造,106年9月25日,四層,一層 二層 三層 四層 陽台
RPPNMLPJOHNFFBM88CA,,86.86,住宅、門廊,鋼筋混凝土造,106年9月25日,四層,一層 二層 三層 四層 陽台
RPQNMLPJOHNFFBM98CA,,173.72,住宅、門廊,鋼筋混凝土造,106年9月25日,四層,一層 二層 三層 四層 陽台
RPWNMLOKNHNFFCM96CA,34,99.60,住家用,鋼筋混凝土造,73年8月23日,二層,一層 二層
RPUNMLQKNHNFFCM96CA,34,148.40,住家用,加強磚造,73年6月27日,二層,一層 二層 騎樓
RPPNMLLJOHNFFDM68CA,,114.90,住商用,鋼筋混凝土加強磚造,,二層,一層 二層 騎樓
RPVNMLLMNHNFFCM76CA,23,83.54,集合住宅,鋼筋混凝土造,84年10月2日,七層,四層 陽台
RPVNMLLMNHNFFCM76CA,23,25.90,公共設施,鋼筋混凝土造,84年10月2日,七層,
RPVNMLTLNHNFFCM47CA,29,128.07,住商用,鋼筋混凝土造,78年1月30日,二層,一層 二層 騎樓
RPPNMLRKNHNFFEM76CA,49,75.52,住家用,鋼筋混凝土加強磚造,58年3月10日,二層,一層 二層
RPPNMLRKNHNFFDM66CA,22,55.75,商業用,鋼筋混凝土造,85年3月9日,五層,一層 平台
RPPNMLRKNHNFFDM66CA,22,57.79,防空避難室、停車空間、門廳、屋頂突出物等公共設施,鋼筋混凝土造,85年3月9日,七層,
RPTOMLQKNHNFFBM86CA,,192.78,停車空間、集合住宅、樓梯間,鋼筋混凝土造,106年12月20日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPTOMLQKNHNFFBM86CA,,.18,停車空間兼防空避難室、機電設備空間、台電配電室、發電機房、消防機房、電信室、停車空間、管理委員會使用空間、樓梯間,鋼筋混凝土造,106年12月20日,九層,
RPQOMLQKNHNFFBM56CA,,234.29,停車空間、集合住宅、樓梯間,鋼筋混凝土造,106年12月20日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPQOMLQKNHNFFBM56CA,,.18,停車空間兼防空避難室、機電設備空間、台電配電室、發電機房、消防機房、電信室、停車空間、管理委員會使用空間、樓梯間,鋼筋混凝土造,106年12月20日,九層,
RPQPMLQKNHNFFBM66CA,,192.78,停車空間、集合住宅、樓梯間,鋼筋混凝土造,106年12月20日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPQPMLQKNHNFFBM66CA,,.18,停車空間兼防空避難室、機電設備空間、台電配電室、發電機房、消防機房、電信室、停車空間、管理委員會使用空間、樓梯間,鋼筋混凝土造,106年12月20日,九層,
RPSPMLPKNHNFFBM76CA,23,193.72,住家用,鋼筋混凝土造,84年8月2日,四層,一層 二層 三層 四層 陽台 平台 花台
RPSNMLRKNHNFFBM76CA,2,224.87,住家用,鋼筋混凝土造,105年1月22日,三層,一層 二層 三層 陽台
RPPNMLRJOHNFFBM09CA,24,93.31,住家用,鋼筋混凝土造,82年10月29日,十層,九層 陽台 花台
RPPNMLRJOHNFFBM09CA,24,17.01,防空避難室、停車空間、開放空間、梯間、水塔、機械室,鋼筋混凝土造,82年10月29日,十層,
RPSNMLRKNHNFFAM66CA,24,173.36,住家用,鋼筋混凝土造,83年10月7日,四層,一層 二層 三層 四層 陽台 平台
RPSNMLRKNHNFFAM66CA,24,46.66,屋頂突出物、梯間、警衛室、防空避難室、停車空間,鋼筋混凝土造,83年10月7日,十一層,
RPTNMLOLNHNFFAM56CA,38,86.04,住家用,鋼筋混凝土加強磚造,68年10月28日,二層,一層 二層
RPPNMLPKNHNFFAM78CA,26,97.50,農舍,鋼架造（有牆）,81年9月2日,一層,一層
RPRNMLQKNHNFFBM56CA,24,24.78,住家用,鋼筋混凝土造,83年7月21日,十三層,六層 陽台
RPRNMLQKNHNFFBM56CA,24,14.15,停車場、防空避難室、梯間、走道、水箱、機房,鋼筋混凝土造,83年7月21日,十三層,
RPTPMLQKNHNFFBM96CA,24,71.25,住家用,鋼筋混凝土造,83年10月8日,七層,四層 陽台
RPTPMLQKNHNFFBM96CA,24,25.14,防空避難室、停車空間、梯間,鋼筋混凝土造,83年10月8日,七層,
RPTNMLMLNHNFFBM09CA,27,123.25,商業用,鋼筋混凝土造,80年3月23日,十二層,八層
RPTNMLMLNHNFFBM09CA,27,67.79,樓梯間、人行道、門廊、門廳、機械室、水箱、避難室,鋼筋混凝土造,80年3月23日,十二層,
RPTNMLMLNHNFFBM09CA,27,15.67,停車空間、辦公室,鋼筋混凝土造,80年3月23日,十二層,
RPTNMLMLNHNFFBM09CA,27,1.06,樓梯間、人行道、門廊、門廳、機械室、水箱、避難室,鋼筋混凝土造,80年3月23日,十二層,
RPWNMLQJOHNFFCM17CA,34,98.33,住商用,鋼筋混凝土造,73年1月31日,二層,一層 二層 騎樓
RPRNMLRKNHNFFBM66CA,43,118.23,住商用,鋼筋混凝土加強磚造,64年1月20日,二層,一層 二層 騎樓
RPTNMLQKNHNFFCM86CA,21,116.29,農舍,鋼筋混凝土造,86年8月26日,一層,一層
RPSNMLRKNHNFFDM96CA,12,192.71,住家用,鋼筋混凝土造,95年1月26日,三層,一層 二層 三層 陽台 屋頂突出物
RPPNMLLMNHNFFEM98CA,35,55.42,住商用,鋼筋混凝土加強磚造,72年8月8日,二層,一層 二層 騎樓
RPPNMLLMNHNFFEM98CA,35,55.42,住商用,鋼筋混凝土加強磚造,72年8月8日,二層,一層 二層 騎樓
RPPNMLKMNHNFFCM68CA,35,53.68,住家用,鋼筋混凝土加強磚造,72年2月9日,二層,一層 二層 見其他登記事項
RPPNMLKMNHNFFCM68CA,35,53.68,住家用,鋼筋混凝土加強磚造,72年2月9日,二層,一層 二層 見其他登記事項
RPPNMLLJOHNFFEM78CA,23,187.54,住家用,鋼筋混凝土造,84年9月29日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 露台
RPRNMLPJOHNFFBM09CA,,87.17,住宅、門廊,鋼筋混凝土造,106年9月25日,四層,一層 二層 三層 四層 陽台
RPRNMLPJOHNFFBM09CA,,87.17,住宅、門廊,鋼筋混凝土造,106年9月25日,四層,一層 二層 三層 四層 陽台
RPWNMLKMNHNFFBM66CA,,183.25,住宅、樓梯間、水箱間,鋼筋混凝土造,107年3月2日,三層,一層 二層 三層 陽台 見其他登記事項
RPUNMLSKNHNFFCM17CA,21,167.75,住家用,鋼筋混凝土造,86年6月17日,三層,一層 二層 三層 陽台 屋頂突出物 花台
RPUNMLRKNHNFFBM96CA,42,121.71,住商用,鋼筋混凝土加強磚造,65年8月2日,二層,一層 二層 騎樓
RPUNMLOJOHNFFCM76CA,39,98.42,住家用,加強磚造,68年5月1日,二層,一層 二層
RPQNMLRKNHNFFBM56CA,34,88.77,住家用,鋼筋混凝土造,73年9月1日,二層,一層 二層 見其他登記事項
RPXNMLLLNHNFFAM66CA,4,135.77,住宅、樓梯間,鋼筋混凝土造,102年12月31日,三層,一層 二層 三層 屋頂突出物
RPSNMLNLNHNFFAM98CA,12,251.13,住家用,鋼筋混凝土造,95年1月9日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLRLNHNFFAM09CA,22,168.44,住家用,鋼筋混凝土造,85年8月3日,三層,一層 二層 三層 陽台 屋頂突出物
RPUNMLLLNHNFFAM98CA,24,133.89,住家用,鋼筋混凝土造,83年9月30日,三層,一層 二層 三層 陽台 花台 夾層
RPTNMLRKNHNFFAM76CA,,191.27,人行道、店舖、集合住宅、停車空間,鋼筋混凝土造,106年11月7日,四層,一層 二層 三層 四層 陽台
RPWNMLQJOHNFFAM96CA,18,177.93,住家用,鋼筋混凝土造,89年6月15日,三層,一層 二層 三層 陽台 屋頂突出物
RPVNMLKMNHNFFAM09CA,26,186.75,住商用,鋼筋混凝土造,80年9月26日,三層,一層 二層 三層 騎樓
RPUNMLKMNHNFFAM98CA,17,169.09,住家用,鋼筋混凝土造,90年1月18日,三層,一層 二層 三層 陽台 屋頂突出物
RPXNMLQJOHNFFAM07CA,17,235.76,住家用,見其他登記事項,90年6月8日,三層,一層 二層 三層
RPUNMLRKNHNFFAM86CA,,189.49,人行道、店舖、集合住宅、停車空間,鋼筋混凝土造,106年11月7日,四層,一層 二層 三層 四層 陽台
RPPNMLSKNHNFFBM56CA,40,73.66,住商用,鋼筋混凝土加強磚造,67年1月14日,三層,一層 二層 三層 騎樓
RPPNMLSKNHNFFBM56CA,40,73.66,住商用,鋼筋混凝土加強磚造,67年1月14日,三層,一層 二層 三層 騎樓
RPPNMLTKNHNFFBM66CA,39,81.76,住家用,鋼筋混凝土造,68年4月19日,二層,一層 二層
RPSNMLPJOHNFFBM56CA,,173.72,住宅、門廊,鋼筋混凝土造,106年9月25日,四層,一層 二層 三層 四層 陽台
RPQNMLOKOHNFFBM98CA,2,181.88,住宅、樓梯間,鋼筋混凝土造,104年10月8日,三層,一層 二層 三層 陽台 見其他登記事項
RPTNMLNKOHNFFCM66CA,24,400.53,農舍,鋼筋混凝土造,83年10月17日,三層,一層 二層 三層 陽台
RPXNMLLLNHNFFCM86CA,,215.20,住家用,鋼筋混凝土造,107年1月19日,四層,一層 二層 三層 四層 陽台
RPWNMLLLNHNFFCM76CA,,231.79,住宅、水箱間,鋼筋混凝土造,107年1月19日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPOOMLLLNHNFFCM68CA,,215.20,住家用,鋼筋混凝土造,107年1月19日,四層,一層 二層 三層 四層 陽台
RPPOMLLLNHNFFCM78CA,,215.20,住家用,鋼筋混凝土造,107年1月19日,四層,一層 二層 三層 四層 陽台
RPQNMLLLNHNFFCM78CA,38,249.18,住商用,鋼筋混凝土造,69年7月30日,三層,一層 二層 三層 騎樓
RPQOMLLLNHNFFCM88CA,,215.20,住家用,鋼筋混凝土造,107年1月19日,四層,一層 二層 三層 四層 陽台
RPROMLLLNHNFFCM98CA,,215.20,住家用,鋼筋混凝土造,107年1月19日,四層,一層 二層 三層 四層 陽台
RPTNMLSJOHNFFDM17CA,2,198.10,集合住宅,鋼筋混凝土造,105年1月20日,四層,一層 二層 三層 四層 陽台
RPPNMLLLNHNFFCM78DA,,215.20,住家用,鋼筋混凝土造,107年1月19日,四層,一層 二層 三層 四層 陽台
RPOOMLKMNHNFFAM58DA,24,238.61,住家用,鋼筋混凝土造,83年7月20日,三層,一層 二層 三層 陽台 屋頂突出物 地下層
RPOOMLKMNHNFFAM58DA,24,13.86,共有部份,鋼筋混凝土造,83年7月20日,三層,
RPUNMLLLNHNFFCM66DA,17,135.12,住家用,鋼筋混凝土造,90年5月17日,二層,一層 二層 陽台 屋頂突出物
RPQNMLOLNHNFFCM56DA,50,302.79,農業用,鋼筋混凝土加強磚造,57年7月22日,一層,一層 騎樓
RPSOMLLLNHNFFCM09CA,,215.20,住家用,鋼筋混凝土造,107年1月19日,四層,一層 二層 三層 四層 陽台
RPSNMLLLNHNFFCM98CA,7,71.58,住家用,鋼鐵造有牆,100年6月21日,一層,一層
RPTOMLLLNHNFFCM56CA,,272.31,補習班、住宅、水箱間,鋼筋混凝土造,107年1月19日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPSNMLMKOHNFFDM56CA,23,107.42,住家用,鋼筋混凝土造,84年1月24日,五層,五層 陽台
RPSNMLMKOHNFFDM56CA,23,15.35,梯間、水箱,鋼筋混凝土造,84年1月24日,五層,
RPWOMLLLNHNFFCM86CA,,210.81,住家用,鋼筋混凝土造,107年1月19日,四層,一層 二層 三層 四層 陽台
RPUOMLLLNHNFFCM66CA,,215.20,住家用,鋼筋混凝土造,107年1月19日,四層,一層 二層 三層 四層 陽台
RPQNMLPLNHNFFBM09CA,40,78.30,住商用,鋼筋混凝土加強磚造,67年8月21日,三層,一層 二層 三層 騎樓
RPVOMLLLNHNFFCM76CA,,210.81,住家用,鋼筋混凝土造,107年1月19日,四層,一層 二層 三層 四層 陽台
RPVNMLMLNHNFFBM66CA,21,145.85,住家用,鋼筋混凝土造,86年4月3日,三層,一層 二層 三層 陽台 平台 電梯樓梯間
RPUNMLLLNHNFFBM09CA,23,13.20,防空避難室兼停車空間、梯間、門廳、水塔、機械房,鋼筋混凝土造,84年7月19日,八層,
RPPNMLLLNHNFFAM48CA,24,184.50,住家用,鋼筋混凝土造,83年2月25日,四層,一層 二層 三層 四層
RPPNMLMLNHNFFAM58CA,39,209.72,住商用,鋼筋混凝土加強磚造,67年11月17日,四層,一層 二層 三層 四層 騎樓
RPPOMLNKOHNFFAM78CA,3,183.09,店舖、住宅、樓梯間、水箱間,鋼筋混凝土造,104年3月26日,三層,一層 二層 三層 陽台 屋頂突出物
RPUNMLTLNHNFFAM17CA,25,91.80,住家用,鋼筋混凝土造,82年5月19日,六層,五層 陽台
RPUNMLTLNHNFFAM17CA,25,58.08,屋頂突出物、梯間、地下室、水箱、機械房,鋼筋混凝土造,82年5月19日,六層,
RPQNMLMLNHNFFBM78CA,24,18.54,住家用,鋼筋混凝土造,83年7月21日,十三層,十一層 陽台
RPQNMLMLNHNFFBM78CA,24,10.21,停車場、防空避難室、梯間、走道、水箱、機房,鋼筋混凝土造,83年7月21日,十三層,
RPRNMLMKOHNFFCM98CA,,550.88,農業設施（農糧產品加工室）,鋼骨鋼筋混凝土造,107年2月9日,二層,一層 二層
RPQNMLMLNHNFFCM88CA,3,228.62,住宅、停車空間、樓梯間、水塔間,鋼筋混凝土造,104年3月30日,四層,一層 二層 三層 四層 陽台 雨遮 見其他登記事項
RPPOMLQJOHNFFCM56CA,11,143.56,住宅、樓梯間,鋼筋混凝土造,96年1月31日,三層,一層 二層 三層 陽台 屋頂突出物
RPVNMLMLNHNFFCM76CA,9,166.50,住宅、樓梯間,鋼筋混凝土造,97年11月18日,三層,一層 二層 三層 陽台 見其他登記事項
RPRNMLNLNHNFFCM09CA,26,158.79,住家用,鋼筋混凝土造,81年5月27日,四層,一層 二層 三層 四層
RPQNMLSLNHNFFDM96CA,12,192.73,住家用,鋼筋混凝土造,95年1月26日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLMLNHNFFDM98CA,24,201.10,住家用,鋼筋混凝土造,83年6月14日,四層,一層 二層 三層 四層 陽台 平台 水箱 電梯樓梯間
RPQNMLPKOHNFFDM66CA,1,368.42,店舖、停車空間、集合住宅,鋼筋混凝土造,106年8月25日,五層,一層 二層 三層 四層 五層 陽台
RPQNMLPKOHNFFDM66CA,1,.46,電信室,鋼筋混凝土造,106年8月25日,一層,
RPPNMLNLNHNFFDM98CA,28,212.85,住家用,鋼筋混凝土造,79年10月19日,三層,一層 二層 三層 陽台 平台 露台
