編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMKNHNFFAX96CA,文石段,10.69,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,05330000
RPPNMLMKNHNFFAX96CA,文石段,297.32,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05320000
RPQNMLQKNHNFFAX47CA,鎖港南段,713.13,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01720000
RPPNMLSKNHNFFAX57CA,龍門南段,47.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,02380000
RPPNMLPLNHNFFAX37CA,沙港東段,655.26,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01300000
RPRNMLQKNHNFFAX57CA,埕西段,73.74,非都市： ; 非都市編定：,1,1,全筆移轉,01700000
RPSNMLSKNHNFFAX97DA,赤崁中段,213.79,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07980003
RPSNMLSKNHNFFAX97DA,赤崁中段,87.39,非都市：一般農業區 ; 非都市編定：交通用地,5,1,持分移轉,07980004
RPVNMLOLNHNFFAX97DA,五福段,188.50,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09800009
RPVNMLOLNHNFFAX97DA,五福段,35.86,非都市：一般農業區 ; 非都市編定：交通用地,12,1,持分移轉,09800004
RPSNMLQKNHNFFAX77DA,東澳段,26.04,非都市： ; 非都市編定：,10000,164,持分移轉,05940000
RPPNMLRJOHNFFAX57DA,四維段,19.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00990000
RPPNMLRJOHNFFAX57DA,四維段,35.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01000000
RPQNMLMLNHNFFAX27DA,講美段,269.06,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12790000
RPQNMLMLNHNFFAX27DA,講美段,195.97,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12800000
RPQNMLMLNHNFFAX27DA,講美段,49.12,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,12810000
RPSNMLLLNHNFFAX37DA,北極段,.54,非都市： ; 非都市編定：,1,1,全筆移轉,12250001
RPSNMLLLNHNFFAX37DA,北極段,172.94,非都市： ; 非都市編定：,1,1,全筆移轉,12250002
RPPNMLKLNHNFFAX96DA,北極段,62.76,非都市： ; 非都市編定：,1,1,全筆移轉,12240000
RPVNMLPLNHNFFAX97CA,五福段,167.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09440001
RPVNMLPLNHNFFAX97CA,五福段,24.19,非都市：一般農業區 ; 非都市編定：交通用地,8,1,持分移轉,09440013
