編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLKQHNFFCA97CC,文德段二小段,31.64,都市：住,,,,02650000
RPQNMLLKQHNFFDA08CC,敦化段二小段,.00,都市：住,,,,02380000
RPRNMLLKQHNFFDA18CC,三興段三小段,.00,都市：住,,,,03150000
RPPNMLLKQHNFFDA97CC,美仁段二小段,.00,都市：住,,,,07610000
RPPNMLMKQHNFFCA97CC,文德段一小段,.00,非都市： ; 非都市編定：,,,,03060000
RPQNMLMKQHNFFEA28CC,三玉段二小段,.00,都市：住,,,,00610000
RPUNMLNKQHNFFCA58CC,中山段二小段,.00,都市：商,,,,00550021
RPUNMLNKQHNFFCA58CC,中山段二小段,.00,都市：商,,,,00550022
RPQOMLNKQHNFFCA28CC,碧湖段五小段,.00,都市：住,,,,00980000
RPVOMLNKQHNFFCA78CC,長安段一小段,.00,都市：住,,,,03020000
RPSOMLNKQHNFFCA48CC,榮星段三小段,.00,都市：住,,,,00540000
RPXOMLNKQHNFFCA98CC,舊宗段,.00,都市：住,,,,01130000
RPTNMLNKQHNFFEA68CC,百齡段二小段,.00,都市：工,,,,03280000
RPTNMLNKQHNFFEA68CC,百齡段二小段,.00,都市：工,,,,03300000
RPROMLNKQHNFFEA58CC,三玉段二小段,.00,都市：住,,,,07300000
RPUNMLNKQHNFFBA48CC,市府段一小段,.00,都市：商,,,,01440000
RPPOMLNKQHNFFDA28CC,敦化段三小段,.00,都市：商,,,,06130000
RPWNMLNKQHNFFDA88CC,玉成段四小段,.00,都市：住,,,,08640000
RPROMLNKQHNFFDA48CC,民生段,.00,都市：商,,,,00520000
RPSNMLNKQHNFFEA58CC,大業段三小段,.00,都市：商,,,,04930000
RPSNMLNKQHNFFEA58CC,大業段三小段,.00,都市：商,,,,05020000
RPWOMLNKQHNFFDA98CC,民生段,.00,都市：住,,,,00820026
RPXPMLNKQHNFFFA76CC,復興段三小段,139.00,都市：住,,,,02600000
RPVPMLNKQHNFFFA56CC,通化段三小段,.00,都市：住,,,,02620000
RPOQMLNKQHNFFFA58CC,大安段三小段,11.57,都市：商,,,,05210000
RPSOMLNKQHNFFDA68DC,經貿段,.00,都市：住,,,,00660001
RPOOMLOKQHNFFAA97CC,南海段三小段,.00,都市：住,,,,08380000
RPOOMLOKQHNFFAA97CC,南海段三小段,.00,都市：其他:道路用地,,,,08380001
RPOOMLOKQHNFFFA48CC,仁愛段二小段,9.34,都市：商,,,,06750000
RPRQMLNKQHNFFFA88CC,金華段一小段,.00,都市：商,,,,00020000
RPRNMLOKQHNFFAA18CC,福和段二小段,.00,都市：住,,,,00600000
RPTNMLOKQHNFFFA88CC,學府段一小段,49.00,都市：商,,,,03810000
RPROMLOKQHNFFFA78CC,大安段三小段,.00,都市：住,,,,02980000
RPVNMLOKQHNFFDA88CC,信義段五小段,.00,都市：住,,,,00050000
RPQOMLOKQHNFFFA68CC,仁愛段二小段,.00,都市：其他:道路用地,,,,05790000
RPQOMLOKQHNFFFA68CC,仁愛段二小段,.00,都市：商,,,,05800000
RPQOMLOKQHNFFFA68CC,仁愛段二小段,.00,都市：商,,,,05800001
RPTNMLOKQHNFFBA48CC,雙連段一小段,.00,都市：商,,,,06800000
RPPNMLOKQHNFFBA08CC,橋北段一小段,.00,都市：住,,,,05630000
RPQPMLNKQHNFFCA38CC,長安段三小段,.00,都市：其他:聯合開發區,,,,03970000
RPUPMLOKQHNFFDA98CC,南港段四小段,.00,都市：住,,,,03420005
RPPPMLOKQHNFFDA48CC,敦化段四小段,.00,都市：住,,,,02890000
RPROMLOKQHNFFDA58CC,敦化段一小段,.00,都市：商,,,,00670000
RPPOMLOKQHNFFDA38CC,敦化段一小段,.00,都市：住,,,,00600004
RPPOMLOKQHNFFDA38CC,敦化段一小段,.00,都市：住,,,,00670001
RPPOMLOKQHNFFDA38CC,敦化段一小段,.00,都市：住,,,,00900003
RPUOMLOKQHNFFDA88CC,虎林段四小段,.00,都市：住,,,,06490000
RPVPMLOKQHNFFDA09CC,南港段四小段,.00,都市：住,,,,03420005
RPWNMLOKQHNFFDA98CC,玉成段四小段,55.00,都市：住,,,,08110000
RPSPMLOKQHNFFCA68CC,德惠段四小段,.00,都市：商,,,,01300000
RPSPMLOKQHNFFCA68CC,德惠段四小段,.00,都市：商,,,,01300001
RPSOMLOKQHNFFCA58CC,北安段一小段,.00,都市：住,,,,00010007
RPOPMLOKQHNFFCA28CC,長春段二小段,.00,都市：住,,,,04260000
RPVPMLOKQHNFFCA98CC,西湖段四小段,.00,都市：工,,,,01760000
RPWPMLOKQHNFFCA09CC,西湖段四小段,.00,都市：工,,,,00330000
RPOQMLOKQHNFFCA38CC,西湖段四小段,.00,都市：工,,,,02740000
RPSQMLOKQHNFFCA78CC,金泰段,.00,都市：住,,,,01300002
RPQRMLOKQHNFFCA68CC,西湖段四小段,.00,都市：工,,,,01240000
RPORMLOKQHNFFCA48CC,吉林段四小段,.00,都市：商,,,,09230000
