鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
嘉義市,房地(土地+建物),嘉義市嘉義市西區民生南路465號1樓,155.86,住,,,1070720,土地1建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土加強磚造,0720817,155.86,0,0,0,無,無,無,51000,327,,0.0,0,,RPVNMLOKQHNFFAI86DC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路155號16樓1,14.48,住,,,1070725,土地1建物1車位0,十六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,119.94,2,2,2,有,有,有,11000,92,,0.0,0,,RPOOMLOKQHNFFAI88DC
嘉義市,建物,嘉義市嘉義市國華街310號,0.0,,,,1070725,土地0建物0車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1041110,16.72,1,0,1,有,無,有,6500,389,,0.0,0,含管理費、稅金或水電等費用。,RPQOMLOKQHNFFAI09DC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151號13樓1,14.48,住,,,1070801,土地1建物1車位0,十三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,119.94,3,2,2,有,有,有,12000,100,,0.0,0,,RPTNMLKLQHNFFAI98DC
嘉義市,建物,嘉義市嘉義市國華街312號,0.0,,,,1070801,土地0建物0車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1041110,16.72,1,0,1,有,無,有,6500,389,,0.0,0,含管理費、稅金或水電等費用。,RPWNMLKLQHNFFAI66DC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路117號15樓2,9.65,住,,,1070803,土地1建物1車位0,十五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,84.41,2,2,1,有,有,有,9000,107,,0.0,0,續租。；,RPXNMLKLQHNFFAI76DC
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市博東路155號13樓3,18.5,住,,,1070815,土地1建物1車位1,十三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,107.51,4,2,2,有,有,有,11500,107,坡道平面,15.0,0,,RPVNMLNLQHNFFAI76CC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路153號14樓2,15.28,住,,,1070806,土地1建物1車位0,十四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,124.32,3,2,2,有,有,有,10000,80,,0.0,0,續租。；,RPQOMLRLQHNFFAI86DC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151號10樓4,18.5,住,,,1070811,土地1建物1車位0,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,147.54,4,2,2,有,有,有,13000,88,,0.0,0,,RPROMLRLQHNFFAI96DC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151號8樓4,3.5,住,,,1070801,土地1建物1車位0,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,147.55,4,2,2,有,有,有,11000,75,,0.0,0,,RPWNMLTLQHNFFAI47CC
嘉義市,房地(土地+建物),嘉義市嘉義市義教街706巷8號,78.0,住,,,1070815,土地1建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1030807,64.42,0,1,1,有,無,無,10000,155,,0.0,0,,RPQNMLKMQHNFFAI68CC
嘉義市,房地(土地+建物),嘉義市嘉義市興業西路336之9號3樓之1,13.0,住,,,1070801,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830516,122.2,3,2,2,有,有,有,8500,70,,0.0,0,,RPTNMLKMQHNFFAI98CC
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路126號,21.32,商,,,1070820,土地2建物1車位0,一層,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0840522,235.7,0,0,0,無,有,無,40000,170,,0.0,0,,RPQNMLLMQHNFFAI98EC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路115號9樓3,9.65,住,,,1070815,土地1建物1車位0,九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,84.41,2,2,1,有,有,有,10000,118,,0.0,0,,RPTOMLNJRHNFFAI66DC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路117號4樓2,9.65,住,,,1070810,土地1建物1車位0,四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,60.0,2,1,1,有,有,有,8000,133,,0.0,0,,RPXNMLNJRHNFFAI86CC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路153號17樓1,14.48,住,,,1070901,土地1建物1車位0,十七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,86.28,3,2,2,有,有,有,9000,104,,0.0,0,,RPOOMLNJRHNFFAI68CC
嘉義市,房地(土地+建物),嘉義市嘉義市東洋新?123之9號5樓2,38.35,住,,,1070815,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780518,139.46,2,2,2,有,有,有,10000,72,,0.0,0,租賃層次：五層＋夾層,RPXNMLOJRHNFFAI07DC
嘉義市,房地(土地+建物),嘉義市嘉義市林森西路558號,116.0,住,,,1070901,土地2建物1車位0,見其他登記事項,5,店面(店鋪),住工用,鋼筋混凝土造,0700505,542.77,10,2,5,有,無,無,57000,105,,0.0,0,,RPOPMLOJRHNFFAI09EC
嘉義市,房地(土地+建物),嘉義市嘉義市嘉義市西區世賢路二段157號,93.0,住,,,1070901,土地1建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1000117,239.59,5,3,4,有,無,無,32000,134,,0.0,0,,RPVNMLPJRHNFFAI86CC
