編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLQKQHNFFBM86CC,50,76.90,住家用,鋼筋混凝土加強磚造,57年2月24日,二層,
RPPNMLSLQHNFFBM17CC,15,160.18,住家用,鋼筋混凝土造,92年8月4日,三層,
RPRNMLRKRHNFFBM27CC,44,81.55,住商用,鋼筋混凝土加強磚造,64年2月7日,二層,
RPTNMLRJRHNFFBM37CC,2,54.22,集合住宅,鋼筋混凝土造,105年12月29日,十二層,
RPPOMLLJIINFFAM18CC,29,55.44,住家用,鋼筋混凝土造,79年2月15日,三層,
RPWNMLRKRHNFFAM67CC,37,82.17,住家用,鋼筋混凝土加強磚造,70年4月29日,二層,
RPSNMLSKRHNFFCM57CC,21,140.01,住家用,鋼筋混凝土造,86年9月15日,三層,
RPUOMLLJIINFFAM68CC,21,22.18,住商用,鋼筋混凝土造,87年1月6日,四層,
RPRNMLPJIINFFAM68CC,24,93.81,住家用,鋼筋混凝土造,83年11月9日,十六層,
RPRNMLPJIINFFAM68CC,24,28.21,騎樓、人行道、梯間、避難室、機械室,鋼筋混凝土造,83年11月9日,十六層,
RPPNMLMJJINFFAM38DC,17,210.00,住商用,鋼筋混凝土造,90年7月18日,四層,
RPQNMLNJIINFFBM48CC,23,97.66,住家用,鋼筋混凝土造,85年1月12日,十層,
RPQNMLNJIINFFBM48CC,23,27.28,防空避難室兼停車場、梯間、屋頂突出物,鋼筋混凝土造,85年1月12日,十層,
RPUNMLQKIINFFBM66CC,44,118.23,住商用,鋼筋混凝土加強磚造,64年1月20日,二層,
RPSNMLQKIINFFBM09CC,23,101.59,住家用,鋼筋混凝土造,84年12月13日,十三層,
RPSNMLQKIINFFBM09CC,23,37.42,防空避難室兼停車空間、梯間、機械室、水塔室、電梯、門廳,鋼筋混凝土造,84年12月13日,十三層,
RPPNMLRKIINFFBM88CC,43,125.57,住家用,鋼筋混凝土加強磚造,64年5月30日,二層,
RPTNMLRKRHNFFBM47CC,1,52.23,集合住宅,鋼筋混凝土造,106年12月20日,九層,
