編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSLQHNFFBM17CC,將軍段,93.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04470009
RPPNMLQKQHNFFBM86CC,新屋段,62.80,都市：住,,,,06940000
RPTNMLQLRHNFFBM57DC,中興段,476.00,都市：住,,,,02220000
RPRNMLRKRHNFFBM27CC,草屯段,82.00,都市：住,,,,00760018
RPTNMLRJRHNFFBM37CC,新興段,34.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02410000
RPPOMLLJIINFFAM18CC,光興段,32.31,都市：住,,,,05880000
RPPOMLLJIINFFAM18CC,光興段,33.33,都市：住,,,,05890000
RPWNMLRKRHNFFAM67CC,茄苳腳段,76.00,都市：住,,,,04240046
RPSNMLSKRHNFFCM57CC,溪南段,85.39,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,15800000
RPUOMLLJIINFFAM68CC,南投段,.00,都市：住,,,,01320001
RPPNMLKMIINFFAM28CC,包尾段,407.00,都市：住,,,,08200000
RPRNMLPJIINFFAM68CC,包尾段,12.28,都市：住,,,,07350054
RPPNMLMJJINFFAM38DC,光興段,210.00,都市：住,,,,02680000
RPVNMLKMIINFFAM88CC,南投段,12.25,都市：商,,,,04840002
RPVNMLKMIINFFAM88CC,南投段,10.33,都市：商,,,,04840004
RPUNMLLMIINFFBM98CC,草鞋墩段,255.44,都市：住,,,,00160000
RPQNMLNJIINFFBM48CC,新虎山段,31.00,都市：住,,,,06920000
RPUNMLQKIINFFBM66CC,草屯段,77.00,都市：住,,,,00890019
RPSNMLQKIINFFBM09CC,炎峰段,16.33,都市：商,,,,07090000
RPPNMLRKIINFFBM88CC,草鞋墩段,92.13,都市：其他:倉儲區,,,,06130000
RPTNMLRKRHNFFBM47CC,草屯段,548.00,都市：住,,,,03510028
