編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLQKQHNFFCT97CC,建基段,82.82,都市：住,,,,04630000
RPXNMLMLQHNFFAT97CC,勝興段,17.40,都市：住,,,,00580000
RPVNMLMLQHNFFAT77CC,前進段,132.00,都市：工,,,,01490002
RPVNMLMLQHNFFAT77CC,前進段,2381.00,都市：工,,,,01620000
RPSNMLRJRHNFFAT97DC,福光段,.00,都市：商,,,,05480001
RPOOMLNLIINFFAT56CC,溝美段,982.00,都市：住,,,,02220001
RPOOMLNLIINFFAT56CC,溝美段,156.00,都市：住,,,,02230006
RPOOMLNLIINFFAT56CC,溝美段,2.00,都市：住,,,,02220003
RPOOMLNLIINFFAT56CC,溝美段,692.00,都市：住,,,,02230002
RPOOMLNLIINFFAT56CC,溝美段,29.00,都市：住,,,,02230005
RPSOMLLMIINFFAT86CC,公園段三小段,284.00,都市：商,,,,00010003
RPTOMLLMIINFFAT96CC,公園段三小段,284.00,都市：商,,,,00010003
RPUNMLMJJINFFAT96DC,磚寮段,84.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00870002
RPRPMLKKRHNFFAT37CC,檳榔腳段二小段,18.54,都市：住,,,,08250000
RPTPMLTKRHNFFAT48CC,勝興段,97.00,都市：住,,,,01010004
RPXNMLRLRHNFFAT58CC,斯文段,54.00,都市：住,,,,11510009
RPXNMLQLRHNFFAT48CC,水源段一小段,76.00,都市：住,,,,00100008
RPQOMLSLRHNFFCT28CC,新榮段,.00,都市：住,,,,06400000
RPRNMLMJIINFFCT66CC,中山段,53.94,非都市：一般農業區 ; 非都市編定：農牧用地,,,,08660000
RPRNMLMJIINFFCT66CC,中山段,370.81,非都市：一般農業區 ; 非都市編定：農牧用地,,,,08600000
RPRNMLMJIINFFCT66CC,中山段,1715.38,非都市：一般農業區 ; 非都市編定：農牧用地,,,,08650000
RPRNMLMJIINFFCT66CC,中山段,966.70,非都市：一般農業區 ; 非都市編定：農牧用地,,,,08640000
