編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLNKQHNFFAU67CC,廣賢段,42.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01530000
RPWNMLNKQHNFFAU08DC,國強段,1254.83,都市：農,,,,04100000
RPPOMLOKQHNFFAU47CC,民享段,4.51,都市：商,,,,14990000
RPTOMLOKQHNFFAU87CC,樹人段,6.89,都市：商,,,,05720000
RPVOMLOKQHNFFAU08CC,德安段,21.50,都市：商,,,,09710000
RPQOMLOKQHNFFAU57CC,北濱段,1.81,都市：商,,,,06890000
RPPNMLOKQHNFFAU37CC,慶豐段,65.00,都市：商,,,,20800000
RPXOMLOKQHNFFAU28CC,北濱段,9.81,都市：住,,,,13550000
RPSOMLOKQHNFFAU77CC,自強段,10.89,都市：住,,,,05600000
RPWOMLOKQHNFFAU18CC,裕民段,5.94,都市：商,,,,01880000
RPUOMLOKQHNFFAU97CC,嘉南段,95.00,都市：住,,,,08980001
RPXNMLPKQHNFFAU28CC,富國段,545.27,都市：住,,,,00760000
RPXOMLQKQHNFFAU48CC,林森段,106.00,都市：住,,,,36850000
RPXNMLRKQHNFFAU58DC,自強段,40.83,都市：住,,,,01940000
RPQOMLQKQHNFFAU77CC,富國段,9.42,都市：住,,,,01690000
RPXNMLQKQHNFFAU38CC,裕民段,81.00,都市：住,,,,03860000
RPSOMLRKQHNFFAU08CC,林森段,19.64,都市：住,,,,01610000
RPQNMLKLQHNFFAU27DC,國民段,338.52,都市：農,,,,02900000
RPVNMLPJRHNFFAU28EC,主商段,.00,都市：商,,,,07060000
RPTNMLQJRHNFFAU97CC,莊敬段,89.80,都市：住,,,,00890000
RPPOMLSLQHNFFAU97CC,慈安段,20.10,都市：住,,,,08730000
RPWNMLOJRHNFFAU08CC,仁義段,152.00,都市：住,,,,13040007
RPRNMLQJRHNFFAU77CC,仁恥段,9.82,都市：住,,,,07100010
RPQNMLNLQHNFFAU47CC,仁恥段,24.86,都市：住,,,,09550000
RPPNMLLJRHNFFAU07CC,仁義段,.00,都市：住,,,,08610000
RPUNMLNJRHNFFAU77CC,富國段,35.46,都市：住,,,,01970000
RPRNMLSLQHNFFAU08CC,慶豐段,326.00,都市：農,,,,07040000
RPRNMLSLQHNFFAU08CC,慶豐段,145.00,都市：農,,,,07020000
RPRNMLSLQHNFFAU08CC,慶豐段,411.00,都市：農,,,,07010000
RPRNMLSLQHNFFAU08CC,慶豐段,10.00,都市：農,,,,07050002
RPWNMLSLQHNFFAU58CC,民生段,75.00,都市：商,,,,05080002
RPWNMLSLQHNFFAU58CC,民生段,4.00,都市：商,,,,05080001
RPWNMLSLQHNFFAU58CC,民生段,3.00,都市：商,,,,05080003
RPPOMLMLQHNFFAU37CC,德安段,17.35,都市：住,,,,19020000
RPUNMLRJRHNFFAU18CC,林森段,2.37,都市：住,,,,31000000
RPQOMLQLRHNFFAU97CC,主權段,.00,都市：住,,,,07850000
RPUNMLQJRHNFFAU08CC,明義段,21.91,都市：商,,,,07480000
RPQNMLRKRHNFFAU87CC,大湖腳段,1877.54,非都市：一般農業區 ; 非都市編定：農牧用地,,,,12220000
RPSOMLQLRHNFFAU38EC,國民段,338.52,都市：農,,,,02900000
RPROMLQLRHNFFAU18DC,仁禮段,57.00,都市：住,,,,03200000
RPQOMLSKRHNFFAU08CC,莊敬段,.00,都市：住,,,,07480000
RPWNMLQLRHNFFAU58DC,永安段,65.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08420000
RPPNMLKKIINFFAU88CC,主權段,102.00,都市：住,,,,11600011
RPPOMLSLRHNFFAU08CC,林森段,.00,都市：住,,,,31000000
RPQOMLRKIINFFAU17CC,自強段,131.00,都市：住,,,,03120000
RPTOMLOJIINFFAU07CC,莊敬段,31.60,都市：住,,,,00890000
RPSOMLOJIINFFAU96CC,北濱段,45.57,都市：住,,,,13560000
RPROMLOJIINFFAU86CC,主商段,8.03,都市：商,,,,05530000
RPPNMLMKIINFFAU09CC,民生段,80.00,都市：商,,,,04080000
RPQNMLKKIINFFAU98CC,德安段,80.00,都市：住,,,,12020004
RPQOMLTJIINFFAU27CC,民意段,15.89,都市：住,,,,08190000
RPROMLSJIINFFAU27CC,國風段,131.00,都市：住,,,,08160000
RPROMLSJIINFFAU27CC,國風段,9.00,都市：住,,,,08090002
